Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra
7.2;19.6;12.4;Salida;4;4.45;MC;DI;Z1;A3
19.7;31.7;12.0;Salida;4;4.46;MC;DI;Z2;A3
31.8;37.1;5.3;Marcaje;2;4.47;MC;DI;Z2;A3
37.2;42.5;5.3;Zapateado;2;4.48;MC;DI;Z3;A3
42.5;47.7;5.2;Movimiento;2;4.49;MC;DI;Z1;A3
47.7;53.0;5.3;Marcaje;2;4.50;MC;DI;Z2;A3
53.1;64.4;11.3;Pies;4;4.51;MC;DI;Z3;A3
64.6;74.8;10.2;Marcajes;4;4.52;MC;DI;Z2;A3
74.9;85.7;10.8;Escobilla;4;4.53;MC;DI;Z3;A3
85.8;96.0;10.2;Escobilla;4;4.54;MI;DI;Z3;A3
96.0;107.3;11.3;Escobilla;4;4.55;MI;DI;Z3;A1
107.5;113.6;6.1;Respiro;2;4.56;MI;DI;Z1;A1
113.7;122.2;8.5;Escobilla;4;4.57;MI;DI;Z3;A1
122.3;136.7;14.4;Escobilla;8;4.58;MI;DI;Z3;A2
136.7;150.9;14.2;Marcajes;8;4.59;MC;DI;Z3;A1
151.0;158.3;7.3;Movimiento;4;4.60;MI;DI;Z1;A2
158.4;164.8;6.4;Giros, Lo he visto antes;4;4.61;MC;DI;Z1;A2
164.9;171.2;6.3;Llamada;4;4.62;MC;DC;Z2;A1
171.3;177.6;6.3;Llamada, Cierre;4;4.63;MC;DI;Z2;A1
177.7;184.2;6.5;Escobilla;4;4.64;MI;DI;Z3;A1
184.3;190.5;6.2;Escobilla;4;4.65;MI;DI;Z3;A1
190.6;196.3;5.7;Escobilla;4;4.66;MI;DC;Z3;A1
196.4;208.8;12.4;Escobilla;8;4.67;MC;DI;Z3;A2
209.0;212.1;3.1;Cierre;2;4.68;MC;DI;Z2;A2
212.2;225.0;12.8;Marcaje;8;4.69;MC;DI;Z2;A1
225.1;238.1;13.0;Zapateado;8;4.70;MC;DI;Z3;A1
238.2;241.407;3.207;Marcaje, Llamada;2;4.71;MI;DI;Z2;A1
241.5;254.4;12.9;Movimiento;8;4.72;MI;DI;Z1;A2
254.5;268.6;14.1;Movimiento;8;4.73;MI;DI;Z1;A1
268.7;281.1;12.4;Subida;8;4.74;MI;DI;Z1;A1
281.1;286.1;5.0;Cierre;2;4.75;MI;DI;Z1;A2
286.2;297.2;11.0;Letra;8;4.76;MC;DI;Z3;A3
297.3;303.5;6.2;Letra;4;4.77;MI;DI;Z1;A3
303.6;309.9;6.3;Letra;4;4.78;MI;DI;Z3;A3
309.9;316.0;6.1;Falseta;4;4.79MC;DI;Z3;A2
316.1;322.3;6.2;Baile;4;4.80;MC;DI;Z1;A2
322.3;328.6;6.3;Marcaje;4;4.81;MI;DI;Z2;A1
328.7;341.4;12.7;Zapateado;8;4.82;MI;DI;Z3;A1
341.4;347.1;5.7;Zapateado;4;4.83;MI;DC;Z3;A1
347.2;352.3;5.1;Llamada;4;4.84;MC;DI;Z2;A1
352.4;357.4;5.0;Llamada;4;4.85;MC;DI;Z2;A1
