Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Expression_stnd,Technique,Technique_stnd,Harmony,Harmony_stnd
Buleria - IMP1,Day1,7.00,0.50,5.00,1.22,4.00,0.75,1.50,-0.78,2.25,-0.58,5.00,0.14,1.00,-1.07,4.00,-0.75,1.00,-1.48
Buleria - IMP1,Day1,7.00,0.50,4.00,0.20,4.00,0.75,3.50,1.17,3.00,0.06,5.67,0.82,1.00,-1.07,4.00,-0.75,2.00,-0.86
Seguirya - IMP1,Day1,6.00,-2.00,2.00,-1.84,4.00,0.75,3.50,1.17,4.88,1.68,5.00,0.14,3.00,0.27,5.00,0.50,4.00,0.37
Solea - IMP1,Day1,7.00,0.50,4.00,0.20,3.00,-0.50,2.00,-0.29,3.12,0.17,5.67,0.82,5.00,1.60,4.00,-0.75,5.00,0.98
Guajira - IMP1,Day1,7.00,0.50,4.00,0.20,2.00,-1.75,1.00,-1.26,1.38,-1.34,3.00,-1.91,3.00,0.27,6.00,1.75,5.00,0.98
mean,Day1,6.80,0.00,3.80,0.00,3.40,0.00,2.30,0.00,2.92,0.00,4.87,-0.00,2.60,-0.00,4.60,0.00,3.40,0.00
std,Day1,0.37,0.91,0.89,0.91,0.73,0.91,0.94,0.91,1.06,0.91,0.89,0.91,1.37,0.91,0.73,0.91,1.48,0.91
