Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Expression_stnd,Technique,Technique_stnd,Harmony,Harmony_stnd
Buleria - IMP1,Buleria,7.00,0.71,5.00,0.71,4.00,0.00,1.50,-0.46,2.25,-0.16,5.00,-1.07,1.00,-0.71,4.00,0.71,1.00,-0.71
Buleria - IMP1,Buleria,7.00,0.71,4.00,-1.41,4.00,0.00,3.50,1.39,3.00,1.30,5.67,-0.27,1.00,-0.71,4.00,0.71,2.00,1.41
Buleria - IMP2,Buleria,4.00,-1.41,5.00,0.71,4.00,0.00,1.00,-0.93,1.75,-1.14,7.00,1.34,3.00,1.41,1.00,-1.41,1.00,-0.71
mean,Buleria,6.00,0.00,4.67,-0.00,4.00,0.00,2.00,0.00,2.33,-0.00,5.89,-0.00,1.67,-0.00,3.00,0.00,1.33,0.00
std,Buleria,1.22,0.87,0.41,0.87,0.00,0.00,0.94,0.87,0.44,0.87,0.72,0.87,0.82,0.87,1.22,0.87,0.41,0.87
