Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Expression_stnd,Technique,Technique_stnd,Harmony,Harmony_stnd
Buleria - IMP1,IMP1,7.00,0.45,5.00,1.30,4.00,0.65,1.50,-0.94,2.25,-0.59,5.00,-0.11,1.00,-1.21,4.00,-0.65,1.00,-1.67
Buleria - IMP1,IMP1,7.00,0.45,4.00,0.19,4.00,0.65,3.50,1.11,3.00,0.12,5.67,0.53,1.00,-1.21,4.00,-0.65,2.00,-1.00
Seguirya - IMP1,IMP1,6.00,-2.24,2.00,-2.04,4.00,0.65,3.50,1.11,4.88,1.88,5.00,-0.11,3.00,0.24,5.00,0.65,4.00,0.33
Solea - IMP1,IMP1,7.00,0.45,4.00,0.19,3.00,-0.65,2.00,-0.43,3.12,0.24,5.67,0.53,5.00,1.70,4.00,-0.65,5.00,1.00
Guajira - IMP1,IMP1,7.00,0.45,4.00,0.19,2.00,-1.96,1.00,-1.45,1.38,-1.41,3.00,-2.01,3.00,0.24,6.00,1.96,5.00,1.00
Solea - IMP1_2,IMP1,7.00,0.45,4.00,0.19,4.00,0.65,3.00,0.60,2.62,-0.24,6.33,1.17,3.00,0.24,4.00,-0.65,4.00,0.33
mean,IMP1,6.83,0.00,3.83,-0.00,3.50,0.00,2.42,0.00,2.88,0.00,5.11,-0.00,2.67,0.00,4.50,0.00,3.50,-0.00
std,IMP1,0.35,0.93,0.83,0.93,0.71,0.93,0.90,0.93,0.98,0.93,0.97,0.93,1.27,0.93,0.71,0.93,1.39,0.93
