name,P,A,T,P_stnd,A_stnd,T_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating
Buleria - IMP2,6.00,4.00,-4.00,0.74,-0.11,-0.60,5.00,1.36,4.00,0.89,1.33,-1.22,3.33
Buleria - BAI1,6.00,7.00,-5.00,0.74,1.94,-1.06,4.00,0.62,3.00,-0.45,1.67,0.00,3.33
Seguirya - IMP2,4.00,4.00,1.00,-0.37,-0.11,1.66,1.00,-1.61,3.00,-0.45,2.00,1.22,4.17
Solea - IMP1_2,5.00,2.00,-5.00,0.19,-1.48,-1.06,4.00,0.62,4.00,0.89,2.00,1.22,4.50
Solea - IMP2,6.00,4.00,-2.00,0.74,-0.11,0.30,3.00,-0.12,4.00,0.89,1.67,0.00,3.33
Guajira - IMP2,1.00,4.00,-1.00,-2.04,-0.11,0.75,2.00,-0.87,2.00,-1.79,1.33,-1.22,2.50
mean,4.67,4.17,-2.67,-0.00,-0.00,-0.00,3.17,0.00,3.33,-0.00,1.67,-0.00,3.53
std,1.66,1.35,2.05,0.93,0.93,0.93,1.24,0.93,0.69,0.93,0.25,0.93,0.60
