Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Technique,Harmony
Buleria - IMP2,IMP2,4.00,0.00,5.00,1.52,4.00,0.90,1.00,-0.90,1.75,0.00,7.00,1.17,1.00,-0.90,0.00
Seguirya - IMP2,IMP2,4.00,0.00,1.00,-1.18,3.00,-0.30,3.00,1.51,2.38,1.41,5.00,-0.99,-1.00,1.51,0.00
Solea - IMP2,IMP2,4.00,0.00,3.00,0.17,4.00,0.90,2.00,0.30,1.75,0.00,6.67,0.81,-1.00,-0.90,0.00
Guajira - IMP2,IMP2,4.00,0.00,2.00,-0.51,2.00,-1.51,1.00,-0.90,1.12,-1.41,5.00,-0.99,1.00,0.30,0.00
mean,IMP2,4.00,0.00,2.75,0.00,3.25,0.00,1.75,-0.00,1.75,0.00,5.92,-0.00,0.00,-0.00,0.00
std,IMP2,0.00,0.00,1.32,0.89,0.74,0.89,0.74,0.89,0.40,0.89,0.83,0.89,0.89,0.89,0.00
