t_onset,int_onset
112.32,-32.602
112.53,-42.11
112.69,-43.265
112.87,-33.138
113.02,-44.464
113.25,-42.144
113.57,-25.389
113.94,-40.426
114.05,-34.091
114.17,-40.315
114.3,-33.308
114.53,-36.63
115.0,-27.486
115.38,-41.366
115.49,-31.854
115.75,-36.812
115.9,-46.391
116.0,-39.477
116.13,-44.872
116.36,-40.595
116.47,-29.943
116.83,-46.787
116.94,-36.209
117.2,-34.833
117.42,-43.948
117.54,-30.967
117.78,-43.54
117.9,-35.889
118.13,-49.721
118.23,-29.434
118.49,-42.597
118.64,-43.382
118.81,-43.074
118.9,-35.253
119.07,-41.273
119.31,-40.942
119.38,-36.886
119.53,-42.633
119.63,-29.133
119.92,-46.502
119.97,-40.482
120.06,-37.619
120.23,-35.677
120.49,-42.814
120.57,-39.039
120.72,-37.187
120.93,-28.247
121.15,-26.587
121.37,-36.141
121.45,-35.922
121.66,-36.757
121.76,-45.013
121.91,-46.502
122.1,-32.065
122.34,-38.268
122.44,-30.458
122.54,-32.819
122.74,-37.865
122.85,-40.398
122.98,-42.705
123.08,-33.419
123.2,-34.118
123.39,-35.629
123.52,-30.335
123.6,-36.775
123.71,-39.756
123.79,-33.775
124.29,-40.398
124.77,-48.511
125.12,-50.939
125.31,-39.86
125.63,-43.782
125.7,-27.924
125.86,-29.379
127.1,-35.645
127.38,-20.26
127.64,-21.659
127.88,-38.138
127.99,-27.884
128.19,-34.588
128.32,-28.901
128.51,-26.627
128.65,-33.507
129.93,-37.264
130.32,-43.15
130.41,-40.071
130.68,-36.541
130.87,-42.851
131.11,-47.263
132.85,-41.212
133.31,-43.382
133.71,-39.231
134.27,-44.245
134.4,-37.283
134.6,-46.502
134.8,-49.481
134.99,-45.907
135.26,-45.204
135.71,-35.222
136.24,-41.366
136.45,-20.384
136.73,-38.898
136.83,-28.575
137.16,-34.588
137.42,-41.682
137.53,-36.006
137.68,-42.561
137.78,-40.566
137.9,-40.482
138.03,-37.579
138.16,-40.315
138.28,-37.823
138.49,-46.963
138.58,-47.142
138.73,-33.007
138.94,-44.826
139.08,-37.948
139.2,-42.561
139.31,-26.167
139.68,-26.816
139.88,-38.268
139.94,-38.6
140.05,-37.66
140.18,-42.741
140.29,-46.904
140.49,-29.232
140.76,-34.35
141.01,-42.247
141.22,-44.966
141.46,-34.804
141.75,-37.823
142.0,-39.939
142.12,-24.675
142.38,-35.758
142.45,-29.96
142.57,-37.42
142.79,-34.091
142.96,-46.391
143.04,-34.118
143.3,-26.776
143.62,-20.637
143.78,-21.586
143.95,-34.819
144.03,-33.84
144.36,-46.845
145.07,-47.832
145.77,-32.819
146.01,-10.89
146.5,-14.313
146.78,-27.493
147.02,-39.965
147.25,-29.993
147.38,-13.156
147.63,-16.486
147.77,-25.715
147.86,-18.454
148.0,-25.233
148.09,-18.842
148.22,-21.323
148.46,-11.077
148.94,-40.098
149.22,-45.498
149.64,-12.853
150.16,-42.925
150.4,-43.227
150.59,-13.476
151.11,-35.085
151.36,-51.519
151.57,-19.992
152.02,-32.796
152.29,-47.964
152.46,-23.063
152.69,-24.159
152.96,-31.062
153.07,-33.284
153.18,-39.231
153.27,-38.532
153.39,-41.459
153.48,-32.659
153.62,-34.145
153.72,-32.983
153.84,-24.011
154.07,-34.295
154.29,-30.865
154.41,-32.193
154.53,-26.828
154.73,-33.187
154.87,-32.557
154.97,-28.886
155.09,-33.545
155.21,-22.416
155.38,-23.981
155.5,-24.328
155.65,-19.302
155.83,-32.401
156.28,-32.727
156.46,-46.012
156.55,-25.991
156.73,-36.124
156.86,-21.403
157.03,-28.596
157.23,-28.037
157.46,-41.586
157.67,-30.939
157.9,-19.171
158.14,-24.249
158.42,-42.077
158.6,-24.748
158.85,-26.103
159.14,-44.872
159.27,-16.984
160.49,-51.927
160.9,-13.105
161.99,-34.732
162.09,-33.853
162.18,-19.27
162.53,-11.614
