,Name,Music_Label,Dance_Label,Step,Imp_Av,CTW_Av,LZ_Av,Assigned_Cat,Rounds,Dance_mode,Music_mode,Palo,Participant
36,P3_D6_G1_M6_R2_T1,MC,DC,1.7,3.5999551212224103,0.5976840410656514,0.5597276047219863,IMP1,4,D6,M6,R2,P3
37,P3_D6_G1_M6_R2_T1,MC,DC,1.8,3.437445896743651,0.6585949809891286,0.6210345197052424,IMP1,4,D6,M6,R2,P3
38,P3_D6_G1_M6_R2_T1,MC,DC,1.9,4.3339206960805265,0.6673460867136638,0.6142648092089033,IMP1,3,D6,M6,R2,P3
39,P3_D6_G1_M6_R2_T1,MC,DC,1.1,3.7146181390823556,0.5488998856966578,0.5264334586053121,IMP1,3,D6,M6,R2,P3
40,P3_D1_G1_M6_R2_T1,MC,DI,1.1,2.4199565481134364,0.24030892537294596,0.2066330211545378,IMP0,4,D1,M6,R2,P3
41,P3_D1_G1_M6_R2_T1,MC,DI,1.2,4.6183429110121885,0.22018093437720657,0.20034492934148268,IMP1,4,D1,M6,R2,P3
42,P3_D1_G1_M6_R2_T1,MC,DI,1.3,5.099648622371315,0.4942982842407431,0.46809811057252027,IMP2,4,D1,M6,R2,P3
43,P3_D1_G1_M6_R2_T1,MC,DI,1.4,5.464459790732461,0.4310737593803209,0.4062297056061005,IMP2,4,D1,M6,R2,P3
44,P3_D1_G1_M6_R2_T1,MC,DI,1.5,3.8327694515991197,0.41834591378285385,0.39491423568473527,IMP1,4,D1,M6,R2,P3
45,P3_D1_G1_M6_R2_T1,MC,DI,1.6,4.996232572368226,0.44333588597414736,0.38303904245565684,IMP1,4,D1,M6,R2,P3
46,P3_D1_G1_M6_R2_T1,MC,DI,1.7,5.2261543617083825,0.5917162342235812,0.5298761432142755,IMP2,4,D1,M6,R2,P3
47,P3_D1_G1_M6_R2_T1,MC,DI,1.8,5.394603714300088,0.6549095464279692,0.6388097110152555,IMP2,4,D1,M6,R2,P3
48,P3_D1_G1_M6_R2_T1,MI,DI,1.9,6.048485488660583,0.6011271826770931,0.5788129908761543,IMP2,3,D1,M6,R2,P3
49,P3_D1_G1_M6_R2_T1,MC,DI,1.1,5.519608912956912,0.5591664137385933,0.5279902315607146,IMP2,3,D1,M6,R2,P3
