,t0,LZ,dt_LZ,IOI
0.0,0.0,0.029897352853986262,0.0,1.0
1.0,1.0,0.029897352853986262,0.0,1.0
2.0,2.0,0.019931568569324175,-0.009965784284662087,0.0
3.0,3.0,0.019931568569324175,0.0,0.0
4.0,4.0,0.019931568569324175,0.0,0.0
5.0,5.0,0.019931568569324175,0.0,0.0
6.0,6.0,0.059794705707972524,0.03986313713864835,0.3333333333333333
7.0,7.0,0.03986313713864835,-0.019931568569324175,1.0
8.0,8.0,0.049828921423310434,0.009965784284662084,0.3333333333333333
9.0,9.0,0.049828921423310434,0.0,0.3333333333333333
10.0,10.0,0.03986313713864835,-0.009965784284662084,0.5
11.0,11.0,0.059794705707972524,0.019931568569324175,0.25
12.0,12.0,0.03986313713864835,-0.019931568569324175,0.5
13.0,13.0,0.03986313713864835,0.0,0.3333333333333333
14.0,14.0,0.059794705707972524,0.019931568569324175,0.25
15.0,15.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333
16.0,16.0,0.029897352853986262,-0.01993156856932417,1.0
17.0,17.0,0.059794705707972524,0.029897352853986262,0.3333333333333333
18.0,18.0,0.059794705707972524,0.0,0.5
19.0,19.0,0.03986313713864835,-0.019931568569324175,0.5
20.0,20.0,0.059794705707972524,0.019931568569324175,0.3333333333333333
21.0,21.0,0.059794705707972524,0.0,0.25
22.0,22.0,0.03986313713864835,-0.019931568569324175,0.5
23.0,23.0,0.059794705707972524,0.019931568569324175,0.25
24.0,24.0,0.059794705707972524,0.0,0.25
25.0,25.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333
26.0,26.0,0.06976048999263461,0.019931568569324175,0.3333333333333333
27.0,27.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333
28.0,28.0,0.049828921423310434,0.0,0.3333333333333333
29.0,29.0,0.049828921423310434,0.0,0.5
30.0,30.0,0.049828921423310434,0.0,0.3333333333333333
31.0,31.0,0.03986313713864835,-0.009965784284662084,0.5
32.0,32.0,0.059794705707972524,0.019931568569324175,0.3333333333333333
33.0,33.0,0.06976048999263461,0.009965784284662084,0.25
34.0,34.0,0.03986313713864835,-0.02989735285398626,0.5
35.0,35.0,0.03986313713864835,0.0,0.3333333333333333
36.0,36.0,0.059794705707972524,0.019931568569324175,0.3333333333333333
37.0,37.0,0.03986313713864835,-0.019931568569324175,0.5
38.0,38.0,0.049828921423310434,0.009965784284662084,0.3333333333333333
39.0,39.0,0.059794705707972524,0.009965784284662091,0.25
40.0,40.0,0.029897352853986262,-0.029897352853986262,0.5
41.0,41.0,0.03986313713864835,0.009965784284662087,0.5
42.0,42.0,0.059794705707972524,0.019931568569324175,0.2
43.0,43.0,0.03986313713864835,-0.019931568569324175,0.5
44.0,44.0,0.06976048999263461,0.02989735285398626,0.25
45.0,45.0,0.059794705707972524,-0.009965784284662084,0.25
46.0,46.0,0.03986313713864835,-0.019931568569324175,0.5
47.0,47.0,0.059794705707972524,0.019931568569324175,0.25
48.0,48.0,0.0797262742772967,0.019931568569324175,0.2
49.0,49.0,0.03986313713864835,-0.03986313713864835,0.3333333333333333
50.0,50.0,0.06976048999263461,0.02989735285398626,0.2
51.0,51.0,0.03986313713864835,-0.02989735285398626,0.3333333333333333
52.0,52.0,0.0797262742772967,0.03986313713864835,0.2
53.0,53.0,0.03986313713864835,-0.03986313713864835,0.3333333333333333
54.0,54.0,0.049828921423310434,0.009965784284662084,0.3333333333333333
55.0,55.0,0.049828921423310434,0.0,0.3333333333333333
56.0,56.0,0.049828921423310434,0.0,0.3333333333333333
57.0,57.0,0.0797262742772967,0.029897352853986266,0.25
58.0,58.0,0.029897352853986262,-0.04982892142331044,0.5
59.0,59.0,0.059794705707972524,0.029897352853986262,0.25
60.0,60.0,0.059794705707972524,0.0,0.25
61.0,61.0,0.049828921423310434,-0.009965784284662091,0.25
62.0,62.0,0.03986313713864835,-0.009965784284662084,0.25
63.0,63.0,0.0797262742772967,0.03986313713864835,0.16666666666666666
64.0,64.0,0.03986313713864835,-0.03986313713864835,0.3333333333333333
65.0,65.0,0.049828921423310434,0.009965784284662084,0.3333333333333333
66.0,66.0,0.049828921423310434,0.0,0.5
67.0,67.0,0.059794705707972524,0.009965784284662091,0.3333333333333333
68.0,68.0,0.0797262742772967,0.019931568569324175,0.25
69.0,69.0,0.059794705707972524,-0.019931568569324175,0.16666666666666666
70.0,70.0,0.059794705707972524,0.0,0.25
71.0,71.0,0.049828921423310434,-0.009965784284662091,0.5
72.0,72.0,0.03986313713864835,-0.009965784284662084,0.3333333333333333
73.0,73.0,0.03986313713864835,0.0,1.0
74.0,74.0,0.059794705707972524,0.019931568569324175,0.25
75.0,75.0,0.03986313713864835,-0.019931568569324175,0.5
76.0,76.0,0.06976048999263461,0.02989735285398626,0.3333333333333333
77.0,77.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333
78.0,78.0,0.03986313713864835,-0.009965784284662084,0.25
79.0,79.0,0.049828921423310434,0.009965784284662084,0.3333333333333333
80.0,80.0,0.059794705707972524,0.009965784284662091,0.3333333333333333
81.0,81.0,0.059794705707972524,0.0,0.3333333333333333
82.0,82.0,0.059794705707972524,0.0,0.3333333333333333
83.0,83.0,0.049828921423310434,-0.009965784284662091,0.25
84.0,84.0,0.049828921423310434,0.0,0.5
85.0,85.0,0.06976048999263461,0.019931568569324175,0.16666666666666666
86.0,86.0,0.03986313713864835,-0.02989735285398626,1.0
87.0,87.0,0.059794705707972524,0.019931568569324175,0.25
88.0,88.0,0.03986313713864835,-0.019931568569324175,0.5
89.0,89.0,0.0797262742772967,0.03986313713864835,0.25
90.0,90.0,0.03986313713864835,-0.03986313713864835,0.3333333333333333
91.0,91.0,0.059794705707972524,0.019931568569324175,0.25
92.0,92.0,0.049828921423310434,-0.009965784284662091,0.25
93.0,93.0,0.059794705707972524,0.009965784284662091,0.25
94.0,94.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333
95.0,95.0,0.06976048999263461,0.019931568569324175,0.2
96.0,96.0,0.059794705707972524,-0.009965784284662084,0.2
97.0,97.0,0.059794705707972524,0.0,0.3333333333333333
98.0,98.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333
99.0,99.0,0.049828921423310434,0.0,0.3333333333333333
100.0,100.0,0.049828921423310434,0.0,0.2
101.0,101.0,0.029897352853986262,-0.01993156856932417,0.5
102.0,102.0,0.029897352853986262,0.0,1.0
103.0,103.0,0.049828921423310434,0.01993156856932417,0.5
104.0,104.0,0.049828921423310434,0.0,0.5
105.0,105.0,0.06976048999263461,0.019931568569324175,0.25
106.0,106.0,0.03986313713864835,-0.02989735285398626,0.5
107.0,107.0,0.049828921423310434,0.009965784284662084,0.25
108.0,108.0,0.06976048999263461,0.019931568569324175,0.2
109.0,109.0,0.049828921423310434,-0.019931568569324175,0.3333333333333333
110.0,110.0,0.059794705707972524,0.009965784284662091,0.25
111.0,111.0,0.06976048999263461,0.009965784284662084,0.2
112.0,112.0,0.059794705707972524,-0.009965784284662084,0.3333333333333333
113.0,113.0,0.059794705707972524,0.0,0.25
114.0,114.0,0.029897352853986262,-0.029897352853986262,1.0
115.0,115.0,0.059794705707972524,0.029897352853986262,0.25
116.0,116.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333
117.0,117.0,0.059794705707972524,0.009965784284662091,0.25
118.0,118.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333
119.0,119.0,0.059794705707972524,0.009965784284662091,0.16666666666666666
120.0,120.0,0.059794705707972524,0.0,0.3333333333333333
121.0,121.0,0.06976048999263461,0.009965784284662084,0.2
122.0,122.0,0.06976048999263461,0.0,0.25
123.0,123.0,0.059794705707972524,-0.009965784284662084,0.3333333333333333
124.0,124.0,0.06976048999263461,0.009965784284662084,0.2
125.0,125.0,0.059794705707972524,-0.009965784284662084,0.3333333333333333
126.0,126.0,0.059794705707972524,0.0,0.2
127.0,127.0,0.059794705707972524,0.0,0.3333333333333333
