,Name,Duration,Participant,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Artist,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ,dt_LZ,LZ_avg,dt_LZ_avg,IOI,IOI_avg,p_LZ,p_dt_LZ,p_LZ_avg,p_dt_LZ_avg,p_IOI,p_IOI_avg,g_LZ,g_dt_LZ,g_LZ_avg,g_dt_LZ_avg,g_IOI,g_IOI_avg,p_lag_0,g_lag_0,p_lag_avg,g_lag_avg,annot_frac,number,Condition,Pair
0,P10_D1_G5_M1_R1_T1,11.6,P10,MI,DI,Z1,A3,20.24,P,,0.0298973528539862,,2.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.0298973528539862,-0.0007118417346187213,0.050076518548395184,-6.189928127119264e-05,0.5357142857142857,0.38351326037661443,0.02135525203856154,-0.0007118417346187143,0.046610158797208354,-6.189928127119203e-05,0.07142857142857142,0.2931307305530908,0.059794705707972504,0.0021355252038561504,0.0652418424598375,0.00012379856254237962,0.2648809523809524,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,0,D1_M1,P10_G5
1,P10_D1_G5_M1_R1_T1,10.5,P10,MI,DI,Z1,A3,20.25,P,,0.029066870830264362,,2.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.029066870830264362,-0.0016609640474436664,0.050076518548395184,-6.189928127119264e-05,0.20833333333333334,0.38351326037661443,0.023253496664211466,0.0016609640474436749,0.046610158797208354,-6.189928127119203e-05,0.125,0.2931307305530908,0.07889579225357483,0.0008304820237218166,0.0652418424598375,0.00012379856254237962,0.1668981481481481,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,1,D1_M1,P10_G5
2,P10_D1_G5_M1_R1_T1,6.0,P10,MI,DI,Z1,A2,20.26,P,,0.03737169106748277,,1.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.03737169106748277,0.0037371691067482745,0.050076518548395184,-6.189928127119264e-05,0.49375,0.38351326037661443,0.033634521960734486,0.0024914460711655245,0.046610158797208354,-6.189928127119203e-05,0.4583333333333333,0.2931307305530908,0.05854898267238973,-0.0037371691067482754,0.0652418424598375,0.00012379856254237962,0.28541666666666665,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,2,D1_M1,P10_G5
3,P10_D1_G5_M1_R1_T1,11.2,P10,MI,DI,Z2,A2,20.27,P,,0.05672831054346109,,2.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.05672831054346109,0.0030663951645113923,0.050076518548395184,-6.189928127119264e-05,0.28736263736263734,0.38351326037661443,0.053661915378949675,0.0038329939556392616,0.046610158797208354,-6.189928127119203e-05,0.30641025641025643,0.2931307305530908,0.06746069361925103,-7.739535508204217e-18,0.0652418424598375,0.00012379856254237962,0.20415140415140412,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,3,D1_M1,P10_G5
4,P10_D1_G5_M1_R1_T1,6.2,P10,MI,DI,Z3,A1,20.28,P,,0.05694733876949761,,1.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.05694733876949761,-0.007118417346187185,0.050076518548395184,-6.189928127119264e-05,0.282312925170068,0.38351326037661443,0.054099971831022726,-0.007118417346187186,0.046610158797208354,-6.189928127119203e-05,0.2952380952380952,0.2931307305530908,0.05837102223873506,-0.007118417346187171,0.0652418424598375,0.00012379856254237962,0.3095238095238095,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,4,D1_M1,P10_G5
5,P10_D1_G5_M1_R1_T1,5.6,P10,MI,DI,Z1,A2,20.29,P,,0.025626302446273872,,1.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.025626302446273872,-0.0014236834692374425,0.050076518548395184,-6.189928127119264e-05,0.42857142857142855,0.38351326037661443,0.0199315685693241,-0.002847366938474871,0.046610158797208354,-6.189928127119203e-05,0.0,0.2931307305530908,0.05837102223873506,0.001423683469237443,0.0652418424598375,0.00012379856254237962,0.2785714285714286,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,5,D1_M1,P10_G5
6,P10_D1_G5_M1_R1_T1,11.6,P10,MI,DI,Z2,A3,20.3,P,,0.042710504077123186,,2.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.042710504077123186,0.0028473669384748643,0.050076518548395184,-6.189928127119264e-05,0.6011904761904762,0.38351326037661443,0.033456561527079806,0.0007118417346187143,0.046610158797208354,-6.189928127119203e-05,0.3,0.2931307305530908,0.06620128131954099,0.0007118417346187074,0.0652418424598375,0.00012379856254237962,0.2066326530612245,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,6,D1_M1,P10_G5
7,P10_D1_G5_M1_R1_T1,11.1,P10,MI,DI,Z3,A3,20.31,P,,0.05596171175233323,,2.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.05596171175233323,0.0022997963733835535,0.050076518548395184,-6.189928127119264e-05,0.3803418803418804,0.38351326037661443,0.05059552021443826,0.001533197582255692,0.046610158797208354,-6.189928127119203e-05,0.4661172161172161,0.2931307305530908,0.07589328032165742,0.0007665987911278307,0.0652418424598375,0.00012379856254237962,0.1641941391941392,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,7,D1_M1,P10_G5
8,P10_D1_G5_M1_R1_T1,5.8,P10,MI,DI,Z2,A2,20.32,P,,0.05837102223873506,,1.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.05837102223873506,0.002847366938474871,0.050076518548395184,-6.189928127119264e-05,0.4404761904761905,0.38351326037661443,0.05409997183102273,0.0028473669384748855,0.046610158797208354,-6.189928127119203e-05,0.38095238095238093,0.2931307305530908,0.06976048999263461,1.3877787807814457e-17,0.0652418424598375,0.00012379856254237962,0.19166666666666665,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,8,D1_M1,P10_G5
9,P10_D1_G5_M1_R1_T1,6.0,P10,MI,DI,Z3,A1,20.33,P,,0.05694733876949761,,1.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.05694733876949761,-0.005694733876949742,0.050076518548395184,-6.189928127119264e-05,0.4880952380952381,0.38351326037661443,0.05125260489254784,-0.002847366938474886,0.046610158797208354,-6.189928127119203e-05,0.35714285714285715,0.2931307305530908,0.05552365530026017,-0.0042710504077123,0.0652418424598375,0.00012379856254237962,0.39897959183673476,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,9,D1_M1,P10_G5
