,t0,LZ,dt_LZ,IOI,nCounts
0.0,0.0,0.017948676426993132,0.0,5333.333333333333,3
4.0,4.0,0.026923014640489698,0.0022435845533741415,1454.5454545454545,11
8.0,8.0,0.03290590678282074,0.0014957230355827598,1230.7692307692307,13
12.0,12.0,0.029914460711655218,-0.0007478615177913799,1600.0,10
16.0,16.0,0.029914460711655218,0.0,1454.5454545454545,11
20.0,20.0,0.029914460711655218,0.0,1777.7777777777778,9
24.0,24.0,0.02094012249815865,-0.0022435845533741415,2000.0,8
28.0,28.0,0.02094012249815865,0.0,2285.714285714286,7
32.0,32.0,0.04487169106748283,0.005982892142331045,1066.6666666666667,15
36.0,36.0,0.056837475352144916,0.0029914460711655214,470.5882352941176,34
40.0,40.0,0.059828921423310436,0.0007478615177913799,432.43243243243245,37
44.0,44.0,0.056837475352144916,-0.0007478615177913799,516.1290322580645,31
48.0,48.0,0.035897352853986264,-0.005235030624539663,1333.3333333333333,12
52.0,52.0,0.026923014640489698,-0.0022435845533741415,2666.6666666666665,6
56.0,56.0,0.008974338213496566,-0.004487169106748283,8000.0,2
60.0,60.0,0.023931568569324175,0.0037393075889569022,2000.0,8
64.0,64.0,0.023931568569324175,0.0,2000.0,8
68.0,68.0,0.038888798925151784,0.0037393075889569022,888.8888888888889,18
72.0,72.0,0.035897352853986264,-0.0007478615177913799,1333.3333333333333,12
76.0,76.0,0.038888798925151784,0.0007478615177913799,800.0,20
80.0,80.0,0.04487169106748283,0.0014957230355827616,640.0,25
84.0,84.0,0.05085458320981387,0.0014957230355827598,571.4285714285714,28
88.0,88.0,0.04786313713864835,-0.0007478615177913799,533.3333333333334,30
92.0,92.0,0.056837475352144916,0.0022435845533741415,432.43243243243245,37
96.0,96.0,0.06581181356564147,0.0022435845533741398,363.6363636363636,44
