Time, Value
36.16729186076355,4
60.78631905722046,2
69.85872201144409,4
71.66072612969971,3
74.96140406103515,4
77.17663501716613,5
83.56451386267089,3
86.12989284741211,4
94.40618503623962,2
104.79464895422363,5
117.31974099809266,4
127.66398583978271,5
138.52968703623964,4
152.41442900572204,5
162.55249211062622,2
165.92110397520446,4
178.72647504196166,2
184.54738883024598,3
209.77174390081788,2
218.16066100572203,3
235.42148292370607,2
247.87923186839294,4
256.4036330362396,5
258.94167790463257,4
261.03064789128115,2
264.3616169809265,4
268.0756289675751,2
272.7476138989105,4
282.3279099885559,2
293.5205839008179,3
308.19356199809266,4
311.0886939790192,2
313.38571691035463,4
338.2497829923706,5
