Time,Qom,ComX,ComY,AomX1,AomY1,AomX2,AomY2
0,626779,0.8677797425740703,0.6343467716454846,0.8739583333333333,0.21481481481481482,1.0,0.41388888888888886
33,3014321,0.558754509065502,0.5399196556974128,0.8958333333333334,0.23703703703703705,1.0,0.42592592592592593
67,2777696,0.576424390184047,0.5227027047009597,0.8942708333333333,0.20185185185185187,1.0,0.42592592592592593
100,2504390,0.5476996880977005,0.5820051341695833,0.8890625,0.1935185185185185,1.0,0.42592592592592593
133,3015626,0.5510163480222128,0.5456541512012334,0.8901041666666667,0.22314814814814815,1.0,0.42962962962962964
167,2658816,0.5427751826768632,0.4964728177114539,0.8895833333333333,0.24351851851851852,1.0,0.43703703703703706
200,2244637,0.522984932159038,0.5412814538402887,0.8911458333333333,0.25092592592592594,1.0,0.42962962962962964
234,2888711,0.5293939414788579,0.5532567165642263,0.8760416666666667,0.22777777777777777,1.0,0.4388888888888889
267,2694652,0.5480907752265722,0.502770687258675,0.8833333333333333,0.18981481481481483,1.0,0.44074074074074077
300,2679459,0.5661742392540808,0.5641257999662811,0.8765625,0.28888888888888886,1.0,0.44074074074074077
334,3141471,0.5837881993618594,0.5687458651270907,0.8635416666666667,0.23981481481481481,1.0,0.4425925925925926
367,3222496,0.6056772321245705,0.5274971611032773,0.85,0.17777777777777778,1.0,0.4425925925925926
400,3002269,0.6031307904121851,0.5690030693205459,0.8338541666666667,0.16296296296296298,1.0,0.44074074074074077
434,3679469,0.5927806716698343,0.5796773848597698,0.8197916666666667,0.15555555555555556,1.0,0.4398148148148148
467,3267392,0.612236329113301,0.542633845904329,0.8046875,0.14351851851851852,1.0,0.4388888888888889
501,3074363,0.5963528247558926,0.5614314837107901,0.7911458333333333,0.13703703703703704,1.0,0.43703703703703706
534,3310175,0.5802410347451418,0.5888771487129052,0.7796875,0.1259259259259259,1.0,0.4444444444444444
567,3336822,0.5805157885819202,0.5359138914101391,0.7697916666666667,0.1175925925925926,1.0,0.4361111111111111
601,2836368,0.5716662425253587,0.5483871728575785,0.7604166666666666,0.18333333333333332,0.9864583333333333,0.4287037037037037
634,2964039,0.5559890645276034,0.5904803050087323,0.7552083333333334,0.10925925925925926,1.0,0.42592592592592593
667,2997899,0.5378634065890812,0.5210531834436692,0.7546875,0.28888888888888886,0.8661458333333333,0.42592592592592593
701,2331805,0.5131592255427304,0.51790577709352,0.321875,0.3490740740740741,0.35625,0.6703703703703704
734,2816268,0.5427954390423189,0.5921430993204614,0.7541666666666667,0.2861111111111111,0.8666666666666667,0.4212962962962963
767,3208160,0.588682353325842,0.5564267890605809,0.7583333333333333,0.14907407407407408,0.9901041666666667,0.42962962962962964
801,3161348,0.6110542017664089,0.5538244152201552,0.7671875,0.09907407407407408,1.0,0.42592592592592593
834,3758697,0.6224810624754624,0.6124854279929297,0.7796875,0.10462962962962963,1.0,0.4305555555555556
