,t0,LZ,dt_LZ,IOI
0.0,0.0,0.023931568569324175,0.0,1.0
4.0,4.0,0.008974338213496566,-0.0037393075889569022,2.0
8.0,8.0,0.017948676426993132,0.0022435845533741415,1.0
12.0,12.0,0.035897352853986264,0.004487169106748283,0.2857142857142857
16.0,16.0,0.035897352853986264,0.0,0.3333333333333333
20.0,20.0,0.035897352853986264,0.0,0.25
24.0,24.0,0.03290590678282074,-0.0007478615177913817,0.26666666666666666
28.0,28.0,0.038888798925151784,0.0014957230355827616,0.21052631578947367
32.0,32.0,0.03290590678282074,-0.0014957230355827616,0.36363636363636365
36.0,36.0,0.02094012249815865,-0.0029914460711655214,0.6666666666666666
40.0,40.0,0.026923014640489698,0.0014957230355827616,0.5714285714285714
44.0,44.0,0.005982892142331044,-0.005235030624539664,0.0
48.0,48.0,0.005982892142331044,0.0,0.0
52.0,52.0,0.017948676426993132,0.0029914460711655223,1.0
56.0,56.0,0.017948676426993132,0.0,0.8
60.0,60.0,0.02094012249815865,0.0007478615177913799,1.3333333333333333
64.0,64.0,0.017948676426993132,-0.0007478615177913799,0.6666666666666666
68.0,68.0,0.023931568569324175,0.0014957230355827607,0.6666666666666666
72.0,72.0,0.026923014640489698,0.0007478615177913808,0.4444444444444444
76.0,76.0,0.035897352853986264,0.0022435845533741415,0.2857142857142857
80.0,80.0,0.035897352853986264,0.0,0.3076923076923077
84.0,84.0,0.035897352853986264,0.0,0.4444444444444444
88.0,88.0,0.03290590678282074,-0.0007478615177913817,0.2857142857142857
92.0,92.0,0.0418802449963173,0.0022435845533741415,0.2857142857142857
96.0,96.0,0.038888798925151784,-0.0007478615177913799,0.2857142857142857
100.0,100.0,0.0418802449963173,0.0007478615177913799,0.23529411764705882
104.0,104.0,0.035897352853986264,-0.0014957230355827598,0.2222222222222222
108.0,108.0,0.04487169106748283,0.0022435845533741415,0.21052631578947367
112.0,112.0,0.038888798925151784,-0.0014957230355827616,0.36363636363636365
