t_onset,int_onset
95.63,-55.192
95.81,-58.053
96.29,-49.968
96.58,-44.116
96.8,-50.137
96.98,-53.659
97.54,-45.907
97.93,-65.7
98.11,-64.734
98.35,-69.481
98.53,-36.158
98.98,-62.35
99.17,-52.247
99.4,-58.053
99.79,-58.488
99.99,-41.554
100.36,-39.502
100.76,-35.856
101.03,-37.721
101.16,-31.599
101.55,-23.811
102.26,-33.066
102.75,-35.192
103.3,-34.631
103.95,-45.108
104.18,-44.074
104.58,-63.865
105.05,-41.618
105.61,-64.734
105.8,-52.808
106.24,-66.227
106.33,-58.713
107.28,-35.823
107.75,-54.185
108.19,-32.324
108.7,-42.212
108.8,-44.332
109.02,-34.996
109.39,-38.759
109.57,-35.645
109.99,-35.253
110.32,-45.448
110.47,-33.84
110.85,-30.939
110.97,-39.039
111.29,-51.224
111.62,-33.078
112.01,-35.47
112.67,-69.481
112.74,-32.843
113.23,-41.212
113.4,-54.051
113.5,-55.823
113.58,-46.559
113.69,-44.688
113.92,-55.502
114.01,-42.705
114.35,-53.407
114.44,-54.892
114.54,-40.098
114.96,-40.767
115.12,-40.51
115.52,-39.939
115.69,-39.705
115.95,-52.924
116.05,-50.223
116.14,-53.532
116.23,-42.077
116.28,-37.885
116.51,-46.502
116.65,-44.78
116.79,-49.403
117.0,-57.44
117.16,-34.951
117.59,-41.522
117.77,-48.371
117.89,-35.116
118.52,-51.128
118.76,-51.419
118.83,-41.586
119.2,-56.684
119.3,-59.428
119.37,-40.071
119.81,-53.407
119.9,-57.44
120.05,-58.268
120.14,-41.212
120.39,-48.871
120.51,-39.403
120.82,-39.304
121.42,-56.158
121.53,-54.185
121.63,-40.623
122.42,-57.64
122.93,-43.66
123.46,-37.342
123.89,-42.281
124.08,-40.709
124.7,-76.33
124.77,-34.617
124.95,-31.09
125.31,-33.321
125.4,-30.819
125.51,-23.998
125.9,-34.907
126.12,-26.341
126.64,-32.467
127.22,-31.539
127.57,-28.704
127.94,-28.253
128.35,-28.725
128.72,-37.865
128.91,-29.133
129.47,-34.574
129.81,-50.574
129.89,-41.304
129.96,-37.99
130.04,-33.114
130.43,-39.782
130.52,-38.333
130.6,-30.078
131.33,-33.174
131.54,-33.684
131.73,-35.283
131.9,-31.166
132.2,-40.709
132.28,-40.652
132.46,-30.137
132.84,-37.168
133.19,-28.539
133.89,-45.803
134.0,-37.844
134.13,-39.016
134.21,-34.308
134.34,-31.081
134.86,-35.774
135.03,-27.99
135.72,-38.117
136.18,-32.334
136.56,-29.624
136.9,-30.361
137.28,-31.813
137.66,-37.245
137.8,-29.697
138.36,-35.791
138.71,-35.502
138.83,-33.259
138.9,-32.161
139.34,-37.035
139.45,-30.727
139.87,-44.464
139.99,-39.782
140.26,-39.731
140.37,-32.226
140.51,-31.195
140.66,-33.469
140.8,-32.324
140.91,-31.609
141.17,-41.243
141.27,-36.124
141.5,-35.131
141.59,-35.299
141.86,-35.906
142.85,-33.672
143.27,-42.35
143.42,-29.877
144.05,-31.629
144.45,-37.48
144.8,-31.721
145.39,-40.045
145.5,-41.746
145.64,-43.62
145.8,-42.077
146.02,-44.553
146.14,-42.49
146.29,-41.554
146.62,-32.983
147.06,-44.42
147.2,-35.33
147.44,-37.865
147.63,-37.264
147.79,-40.595
