    Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo
P9_D6_G4_M6_R1_T2,P9,2,6,1,7,1,1,7,5,7.0,7,7,1,6,6,6.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,6.0,4.0,D6,M6,R1
P9_D6_G4_M6_R2_T1,P9,3,6,1,6,1,3,5,6,5.0,5,5,1,3,3,6.0,6.0,6.0,6.0,6.0,4.0,1.0,2.25,4.833333333333333,3.5416666666666665,D6,M6,R2
P9_D5_G4_M6_R2_T1,P9,4,5,1,6,1,6,6,6,6.0,7,6,1,5,5,6.0,6.0,6.0,5.0,5.0,5.0,4.0,2.25,6.166666666666667,4.208333333333334,D5,M6,R2
P9_D1_G4_M6_R2_T1,P9,7,5,1,7,1,1,7,7,7.0,7,6,1,7,6,7.0,7.0,7.0,7.0,6.0,7.0,6.0,2.5,5.833333333333333,4.166666666666666,D1,M6,R2
P9_D5_G4_M5_R2_T1,P9,6,6,4,4,4,4,4,3,3.0,3,4,1,4,4,5.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,3.6666666666666665,3.333333333333333,D5,M5,R2
P9_D1_G4_M1_R2_T1,P9,7,7,1,7,1,1,7,7,7.0,7,6,1,7,7,7.0,7.0,6.0,6.0,6.0,6.0,6.0,2.5,5.833333333333333,4.166666666666666,D1,M1,R2
P9_D6_G4_M6_R2_T2,P9,1,6,3,7,1,1,7,7,7.0,6,7,1,5,5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,5.833333333333333,4.416666666666666,D6,M6,R2
P9_D6_G4_M6_R1_T1,G4,3,4,4,6,1,2,6,7,6.0,7,7,1,6,6,7.0,7.0,6.0,7.0,6.0,5.0,4.0,3.25,5.666666666666667,4.458333333333334,D6,M6,R1
P9_D5_G4_M6_R1_T1,G4,4,5,1,5,1,1,7,7,5.0,7,7,1,5,5,6.0,7.0,7.0,7.0,6.0,6.0,5.0,2.5,5.333333333333333,3.9166666666666665,D5,M6,R1
P9_D1_G4_M6_R1_T1,G4,4,6,4,6,2,2,5,6,6.0,6,6,2,6,5,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.5,5.166666666666667,4.333333333333334,D1,M6,R1
P9_D5_G4_M5_R1_T1,G4,6,5,5,5,1,2,5,6,6.0,3,4,1,6,6,6.0,5.0,5.0,6.0,5.0,4.0,5.0,3.25,4.166666666666667,3.7083333333333335,D5,M5,R1
P9_D1_G4_M1_R1_T2,G4,7,6,6,5,1,2,6,7,6.0,2,2,1,7,7,6.0,5.0,4.0,5.0,5.0,6.0,6.0,3.75,3.8333333333333335,3.791666666666667,D1,M1,R1
P9_D6_G4_M6_R1_T2,G4,3,4,3,6,2,2,6,6,6.0,6,5,2,6,6,6.0,6.0,5.0,6.0,6.0,5.0,5.0,3.25,5.166666666666667,4.208333333333334,D6,M6,R1
P9_D6_G4_M6_R2_T1,G4,4,5,4,6,2,2,5,6,5.0,6,6,2,5,5,6.0,5.0,5.0,6.0,6.0,5.0,5.0,3.5,5.0,4.25,D6,M6,R2
P9_D5_G4_M6_R2_T1,G4,4,5,4,5,2,2,6,6,6.0,6,6,2,4,4,6.0,6.0,4.0,5.0,5.0,6.0,5.0,3.5,5.166666666666667,4.333333333333334,D5,M6,R2
P9_D1_G4_M6_R2_T1,G4,5,5,5,5,2,2,6,6,5.0,4,4,2,4,5,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.75,4.333333333333333,4.041666666666666,D1,M6,R2
P9_D5_G4_M5_R2_T1,G4,5,6,5,6,1,2,5,6,6.0,4,2,1,6,7,7.0,6.0,6.0,6.0,6.0,6.0,6.0,3.25,4.166666666666667,3.7083333333333335,D5,M5,R2
P9_D1_G4_M1_R2_T1,G4,6,6,6,5,1,1,6,7,6.0,3,3,1,7,7,7.0,6.0,6.0,6.0,6.0,7.0,7.0,3.75,4.0,3.875,D1,M1,R2
P9_D6_G4_M6_R2_T2,G4,4,5,4,5,2,2,5,5,6.0,6,5,2,5,5,6.0,6.0,4.0,5.0,5.0,6.0,6.0,3.25,4.833333333333333,4.041666666666666,D6,M6,R2
