Time, Value
0.857160942779541,1
13.960305921798707,2
19.73374797329712,3
29.871491980926514,4
37.8141190667572,5
43.38035100762939,6
47.288204040054325,7
53.62805305531311,6
57.56454895422363,7
63.456335066757205,6
70.80669712397766,4
73.15401885122681,5
83.27393277493286,6
91.64985397520446,4
99.009486125885,6
110.54257007247925,5
113.61589613923645,6
124.71411804959106,5
129.9031920114441,6
138.89419791416933,7
147.90669982833862,4
153.79208596185302,5
161.03562194850159,4
171.24037583596802,5
174.91891794277953,6
178.50752499046325,6
183.94061783787538,7
187.12461384169006,7
