Time, Value
11.018357051498413,1
16.02015999809265,2
22.945362824523926,4
27.912592146865844,5
33.175645917984006,4
36.881212996185305,3
39.172006019073486,2
43.41446594468689,2
46.71592783406067,3
50.2505529294281,2
53.78136722125244,2
55.19055309918213,1
62.10432918310547,3
66.51141604959106,1
75.09948593896485,2
83.2796351373291,1
90.76343589509582,2
97.11985883978271,2
99.97581703433228,1
110.37530093133545,4
116.54873717166137,3
118.64429704386902,2
123.36079999809265,3
128.79927590844727,5
131.40203108201598,6
135.78614516403198,7
139.71894400190735,2
150.4782770896454,3
154.45887187983703,4
156.40477900953675,3
160.13658001716612,4
165.16566217356873,4
167.13280204577637,3
171.72685802098084,5
178.11607681307984,4
181.00889518692017,5
184.31900911825562,3
186.35103088174438,5
193.13596896566773,4
194.92528795803833,2
198.09814204386902,1
