Time, Value
0.9577991220703125,1
38.29045692752075,5
46.04962109155274,6
52.932282797821046,7
58.03998100190735,7
68.17409111634827,4
71.34417099427796,6
74.44303610490418,7
82.7637439217987,6
86.15653705722046,7
90.96162587220765,4
93.65513405340576,6
95.6149572155304,7
101.0936180038147,5
106.00304379782105,7
110.51790104577637,5
113.16409594277954,3
115.09922298855591,5
118.44919102670288,7
122.95473110871887,5
125.04671095994568,3
128.79983196948243,2
133.43652602098084,6
135.57210804196168,5
140.27938191226195,6
143.17951583024598,3
146.61906609346008,2
150.08127004768372,2
152.32528679782104,5
156.68074609536743,7
163.2032758149872,6
166.09182801144408,4
167.3718299408722,7
172.52037211444093,6
177.16570187602233,7
181.9386008550415,3
186.16684703814698,5
189.62308090844726,2
193.64567988746643,6
197.74643104959105,4
200.47142608773802,7
204.94678984550475,5
208.43927490463255,6
211.2170608950958,7
214.47843392561342,7
225.93428710108947,3
