Time, Value
4.4466308016357425,1
12.314082078201293,3
15.643521872207641,6
24.251686064849853,7
34.07356204577637,6
42.24993701525879,5
46.476737198364255,6
53.495611087738034,6
54.617820024795535,7
59.197941082015994,7
61.32767011253357,6
68.3409520152588,4
75.58830683596801,3
79.4421961335144,4
87.00227405912781,5
91.85364620027161,3
98.68552515258789,4
106.6081090076294,6
117.12825389128113,7
130.19971109918214,5
136.288986,7
143.69312117547608,5
147.17097416212462,3
158.58796202670288,2
165.06196179400635,4
168.56981887602234,5
175.45867006103515,4
179.62129097901916,5
187.09205909536743,7
