q_id,Q8.1,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7,Q8.8,Q8.9,Q8.10,Q8.11,Q8.12,Q8.13,Q8.14,Q8.15,Q8.16,Q8.17,Q8.18,Q8.19,Q8.20,Q8.21,Q8.22,Q8.23,Q8.24,Q8.25,Q8.26,Q8.27,Q8.28,Q8.29,Q8.30,Q8.31,Q8.32,Q8.33,Q8.34,Q8.35,Q8.36,Q8.37,Q8.38,Q8.39,Q8.40,Q8.41,AE_sum,AE_mean,PA_sum,PA_mean,MT_sum,MT_mean,SA_sum,SA_mean,EM_sum,EM_mean,GM_sum,GM_mean
o_id,AE_01,EM_01,AE_02,SA_01,PA_01,PA_02,SA_02,AE_03,EM_02,SA_03,PA_03,PA_04,PA_05,MT_03,AE_05,EM_03,SA_04,PA_06,EM_04,EM_05,AE_06,PA_07,PA_08,AE_07,SA_05,PA_09,MT_07,AE_09,SA_06,SA_07,EM_06,MT_01,MT_02,AE_04,MT_04,MT_05,MT_06,AE_08,BI_01,SI_01,AP_01,AE_sum,AE_mean,PA_sum,PA_mean,MT_sum,MT_mean,SA_sum,SA_mean,EM_sum,EM_mean,GM_sum,GM_mean
G1,7,7,5,7,7,7,7,7,1,7,1,7,1,1,7,7,1,7,7,7,1,7,1,7,5,7,1,7,7,3,7,7,7,7,7,7,3,2,guitarra,12,2,56,6.22222222222222,63,7,45,6.42857142857143,41,5.85714285714286,42,7,116,6.44444444444444
G2,6,6,5,5,5,5,4,5,3,4,4,5,6,3,6,6,2,7,6,6,1,6,1,7,4,4,1,7,4,3,6,7,7,7,7,7,2,3,guitarra,11,2,53,5.88888888888889,45,5,42,6,30,4.28571428571429,35,5.83333333333333,97,5.38888888888889
P3,7,7,4,7,7,7,5,6,1,7,1,7,1,1,7,7,2,7,6,6,1,7,2,7,4,5,5,6,6,5,7,1,1,7,7,1,1,7,voz,8,2,58,6.44444444444444,60,6.66666666666667,21,3,40,5.71428571428571,40,6.66666666666667,92,5.11111111111111
P4,5,6,1,2,5,7,4,4,1,4,2,6,1,4,4,7,4,7,5,7,4,5,3,6,7,4,3,3,3,3,7,3,3,5,3,3,2,4,pies,10,2,36,4,52,5.77777777777778,23,3.28571428571429,21,3,39,6.5,67,3.72222222222222
