,Name,Assigned_t,Rater,FLOW,t_var,t_LZ_guitar_zd,t_LZ_drum,t_var_drum,t_var_guitar_zd,t_LZ,IMPRO,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Pair
0,P10_D0_G5_M6_R1_T1,0.4,G5,5.0,54.17125430760824,0.45496457097014253,0.015339801626579498,10.510197672885948,53.547795387387495,0.47274479558276883,,G,P10,D0,M6,R1,D0_M6,P10_G5
1,P10_D0_G5_M6_R1_T1,0.8,G5,7.0,52.05698160804526,0.16629739490632794,0.07844216740864525,14.67134986482608,52.466843609543766,0.18826120178074865,6.0,G,P10,D0,M6,R1,D0_M6,P10_G5
2,P10_D0_G5_M6_R1_T1,0.9,G5,6.0,52.573690071079156,0.1547925436863933,0.0637996294923648,14.123099232907869,53.22578526689144,0.11818619889569215,7.0,G,P10,D0,M6,R1,D0_M6,P10_G5
3,P10_D0_G5_M6_R1_T1,1.0,G5,6.0,54.486738087322955,0.446256353544777,0.2025717093587914,18.342018875652215,53.818801339065466,0.45175867369344136,7.0,G,P10,D0,M6,R1,D0_M6,P10_G5
4,P10_D1_G5_M1_R1_T1,0.1,G5,5.0,51.61485172814292,0.04340466596611703,0.0041835822617944,4.1071420947199835,50.87172357215437,0.0062753733926916005,3.5,G,P10,D1,M1,R1,D1_M1,P10_G5
5,P10_D1_G5_M1_R1_T1,0.1,P10,7.0,51.61485172814292,0.04340466596611703,0.0041835822617944,4.1071420947199835,50.87172357215437,0.0062753733926916005,7.0,P,P10,D1,M1,R1,D1_M1,P10_G5
6,P10_D1_G5_M1_R1_T1,0.2,G5,3.0,52.83838778204918,0.10458955654486032,0.02405559800531785,15.613514001012593,52.363581558624716,0.0141195901335561,4.0,G,P10,D1,M1,R1,D1_M1,P10_G5
7,P10_D1_G5_M1_R1_T1,0.4,G5,3.6,54.32657530629174,0.07059795066778067,0.0371292925734254,11.18902951031134,52.076049526722834,0.059093099447846076,4.0,G,P10,D1,M1,R1,D1_M1,P10_G5
8,P10_D1_G5_M1_R1_T1,0.4,P10,4.5,54.32657530629174,0.07059795066778067,0.0371292925734254,11.18902951031134,52.076049526722834,0.059093099447846076,5.0,P,P10,D1,M1,R1,D1_M1,P10_G5
9,P10_D1_G5_M1_R1_T1,0.5,G5,4.5,56.40151163346544,0.20447258304520197,0.13125989346379974,24.22840893811038,53.529954388010395,0.154269595903669,4.2,G,P10,D1,M1,R1,D1_M1,P10_G5
10,P10_D1_G5_M1_R1_T1,0.5,P10,4.0,56.40151163346544,0.20447258304520197,0.13125989346379974,24.22840893811038,53.529954388010395,0.154269595903669,,P,P10,D1,M1,R1,D1_M1,P10_G5
11,P10_D1_G5_M1_R1_T1,0.6,G5,6.0,54.27268424547103,0.16891213381994943,0.09482786460067337,21.92407939629059,51.80831562455653,0.10929608658937905,6.0,G,P10,D1,M1,R1,D1_M1,P10_G5
12,P10_D1_G5_M1_R1_T1,0.6,P10,5.0,54.27268424547103,0.16891213381994943,0.09482786460067337,21.92407939629059,51.80831562455653,0.10929608658937905,,P,P10,D1,M1,R1,D1_M1,P10_G5
13,P10_D1_G5_M1_R1_T1,0.8,G5,3.0,55.93236701795726,0.2123167997860665,0.13038831382592586,24.33121842568059,52.9138520634828,0.1678662382545008,2.5,G,P10,D1,M1,R1,D1_M1,P10_G5
14,P10_D1_G5_M1_R1_T1,0.8,P10,6.333333333333333,55.93236701795726,0.2123167997860665,0.13038831382592586,24.33121842568059,52.9138520634828,0.1678662382545008,6.0,P,P10,D1,M1,R1,D1_M1,P10_G5
15,P10_D1_G5_M1_R1_T1,0.9,G5,4.0,53.35623809774776,0.154269595903669,0.0998830265003416,20.419161203231365,52.537367863265786,0.09046996641130417,2.0,G,P10,D1,M1,R1,D1_M1,P10_G5
16,P10_D1_G5_M1_R1_T1,0.9,P10,3.0,53.35623809774776,0.154269595903669,0.0998830265003416,20.419161203231365,52.537367863265786,0.09046996641130417,4.0,P,P10,D1,M1,R1,D1_M1,P10_G5
17,P10_D1_G5_M1_R1_T1,1.0,G5,2.0,57.19629224082745,0.47804748609959324,0.2993070433836755,24.897070754692194,53.900001502064214,0.4129300281947631,3.4,G,P10,D1,M1,R1,D1_M1,P10_G5
18,P10_D1_G5_M1_R1_T1,1.0,P10,4.25,57.19629224082745,0.47804748609959324,0.2993070433836755,24.897070754692194,53.900001502064214,0.4129300281947631,4.0,P,P10,D1,M1,R1,D1_M1,P10_G5
19,P10_D1_G5_M1_R2_T1,0.1,P10,7.0,51.05727638111439,0.019662836630433722,0.0088901123063131,6.8180518099546745,51.13364517800376,0.00753044807122992,7.0,P,P10,D1,M1,R2,D1_M1,P10_G5
20,P10_D1_G5_M1_R2_T1,0.8,P10,5.75,53.190478251733985,0.11295672106844915,0.12184683337476228,18.853669020646098,52.359359732060014,0.1291681023329025,5.0,P,P10,D1,M1,R2,D1_M1,P10_G5
21,P10_D1_G5_M1_R2_T1,0.9,P10,5.5,56.549199792474326,0.3624028134279411,0.30540150511099223,23.64108423775182,54.08250944706067,0.3514209099907308,7.0,P,P10,D1,M1,R2,D1_M1,P10_G5
22,P10_D1_G5_M1_R2_T1,1.0,P10,5.5,56.1770847368348,0.3343047460545798,0.2370439728386724,24.66394287405541,53.826759037299084,0.3113780511992699,3.5,P,P10,D1,M1,R2,D1_M1,P10_G5
23,P10_D1_G5_M6_R1_T1,0.1,P10,7.0,51.35186336036588,0.024404229860467367,0.025798757281065534,16.99174750251739,51.37961888077566,0.009064428233887867,5.0,P,P10,D1,M6,R1,D1_M6,P10_G5
24,P10_D1_G5_M6_R1_T1,0.2,P10,4.5,53.65718675449694,0.06205647021661711,0.10877313880665476,20.442091464260812,53.39201086659475,0.05229477827243014,4.0,P,P10,D1,M6,R1,D1_M6,P10_G5
25,P10_D1_G5_M6_R1_T1,0.4,G5,2.5,58.04639156003502,0.39430262817412354,0.26356568249304807,24.61634809320077,53.87016615509242,0.39430262817412354,3.3333333333333335,G,P10,D1,M6,R1,D1_M6,P10_G5
26,P10_D1_G5_M6_R1_T1,0.4,P10,4.5,58.04639156003502,0.39430262817412354,0.26356568249304807,24.61634809320077,53.87016615509242,0.39430262817412354,,P,P10,D1,M6,R1,D1_M6,P10_G5
