novelty,novelty_t0,novelty_t1
0.35303093233326927,0.0,6.999979166666667
1.2936010148886756,1.4,8.399979166666666
1.1695857904835791,2.8,9.799979166666667
0.7237975955404308,4.2,11.199979166666667
0.3730832543315462,5.6,12.599979166666667
0.21849655920326344,7.0,13.999979166666666
0.16920267711282552,8.4,15.399979166666666
0.1488447476045987,9.8,16.799979166666667
0.16416935728113236,11.2,18.199979166666665
0.1583995209514822,12.6,19.599979166666667
0.17058213197016445,14.0,20.999979166666666
0.19085026864352017,15.4,22.399979166666668
0.21002789389051485,16.8,23.799979166666667
0.21911963129535256,18.2,25.199979166666665
0.1992946379672243,19.6,26.599979166666667
0.20256505004948078,21.0,27.999979166666666
0.2654114486426008,22.4,29.399979166666668
0.3706040624538921,23.8,30.799979166666667
0.4363679136794414,25.2,32.199979166666665
0.41516546838557133,26.6,33.599979166666664
0.3107222440681848,28.0,34.99997916666667
0.2434779147165378,29.4,36.39997916666667
0.21767828887770324,30.8,37.79997916666667
0.23195953808973135,32.2,39.199979166666665
0.230606372969969,33.6,40.599979166666664
0.2065633627260221,35.0,41.99997916666667
0.1764094463033422,36.4,43.39997916666667
0.13839140316036064,37.8,44.79997916666667
0.14598451780309335,39.2,46.199979166666665
0.2286843195457052,40.6,47.599979166666664
0.43806541157674983,42.0,48.99997916666667
0.8446662516998824,43.4,50.39997916666667
1.4436174558179187,44.8,51.79997916666667
2.125085234997302,46.2,53.199979166666665
2.3339852531508885,47.6,54.599979166666664
1.3273169836608387,49.0,55.99997916666667
0.6338445511914759,50.4,57.39997916666667
0.31731651554871726,51.8,58.79997916666667
0.4291845384876247,53.2,60.199979166666665
0.7676253004329886,54.6,61.599979166666664
1.1226265716552293,56.0,62.99997916666667
1.2739498664187705,57.4,64.39997916666667
1.4430631749899707,58.8,65.79997916666666
1.9727499467551262,60.2,67.19997916666667
1.3888830171334194,61.6,68.59997916666667
0.7245616579142128,63.0,69.99997916666666
0.3214954592594144,64.4,71.39997916666667
0.162831569039941,65.8,72.79997916666666
0.11617415559117267,67.2,74.19997916666667
0.1296763960784688,68.6,75.59997916666667
0.17416455545528003,70.0,76.99997916666666
0.23020364648839017,71.4,78.39997916666667
0.2969620087382493,72.8,79.79997916666666
0.4726628197970701,74.2,81.19997916666667
0.9271770192303135,75.6,82.59997916666667
0.9678670835444769,77.0,83.99997916666666
0.6954847400894237,78.4,85.39997916666667
0.4655442051017078,79.8,86.79997916666666
0.30383523125206885,81.2,88.19997916666667
0.20326310949005452,82.6,89.59997916666667
0.1495421591583875,84.0,90.99997916666666
0.1255448036513394,85.4,92.39997916666667
0.12306226662959106,86.8,93.79997916666666
0.13614580166238435,88.2,95.19997916666667
0.1312525735194376,89.6,96.59997916666667
0.13301652744600928,91.0,97.99997916666666
0.18150586345621486,92.4,99.39997916666667
0.28815613621356273,93.8,100.79997916666666
0.467021197923051,95.2,102.19997916666667
0.7311831574925459,96.6,103.59997916666667
0.9772776408018391,98.0,104.99997916666666
