,t0,LZ,dt_LZ,IOI,nCounts
0.0,0.0,0.029914460711655218,0.0,2285.714285714286,7
4.0,4.0,0.056837475352144916,0.0067307536601224245,551.7241379310345,29
8.0,8.0,0.05085458320981387,-0.0014957230355827616,615.3846153846154,26
12.0,12.0,0.05085458320981387,0.0,666.6666666666666,24
16.0,16.0,0.038888798925151784,-0.0029914460711655214,727.2727272727273,22
20.0,20.0,0.04487169106748283,0.0014957230355827616,666.6666666666666,24
24.0,24.0,0.04487169106748283,0.0,666.6666666666666,24
28.0,28.0,0.06282036749447596,0.004487169106748283,484.8484848484849,33
32.0,32.0,0.056837475352144916,-0.0014957230355827616,615.3846153846154,26
36.0,36.0,0.03290590678282074,-0.005982892142331045,1066.6666666666667,15
40.0,40.0,0.05085458320981387,0.004487169106748283,615.3846153846154,26
44.0,44.0,0.05085458320981387,0.0,666.6666666666666,24
48.0,48.0,0.05085458320981387,0.0,727.2727272727273,22
52.0,52.0,0.04487169106748283,-0.0014957230355827598,842.1052631578947,19
56.0,56.0,0.04487169106748283,0.0,727.2727272727273,22
60.0,60.0,0.056837475352144916,0.0029914460711655214,457.14285714285717,35
64.0,64.0,0.04786313713864835,-0.0022435845533741415,666.6666666666666,24
68.0,68.0,0.038888798925151784,-0.0022435845533741415,1000.0,16
72.0,72.0,0.05085458320981387,0.0029914460711655214,888.8888888888889,18
76.0,76.0,0.035897352853986264,-0.0037393075889569014,1000.0,16
80.0,80.0,0.04487169106748283,0.0022435845533741415,695.6521739130435,23
84.0,84.0,0.04487169106748283,0.0,615.3846153846154,26
88.0,88.0,0.04786313713864835,0.0007478615177913799,695.6521739130435,23
