novelty,novelty_t0,novelty_t1
0.7304695214751857,0.0,6.999979166666667
1.3244787286009696,1.4,8.399979166666666
0.9567034243671971,2.8,9.799979166666667
0.6609718545479241,4.2,11.199979166666667
0.6025937786673651,5.6,12.599979166666667
0.6290957719881564,7.0,13.999979166666666
0.5666917483114196,8.4,15.399979166666666
0.5145922154654077,9.8,16.799979166666667
0.3715434405942665,11.2,18.199979166666665
0.23608189981112632,12.6,19.599979166666667
0.22402516364098876,14.0,20.999979166666666
0.2563539894158446,15.4,22.399979166666668
0.31770785728689876,16.8,23.799979166666667
0.37189706147817864,18.2,25.199979166666665
0.32827833699223075,19.6,26.599979166666667
0.2688962481330523,21.0,27.999979166666666
0.2599371654161369,22.4,29.399979166666668
0.2831875758058455,23.8,30.799979166666667
0.30712660214967996,25.2,32.199979166666665
0.34118299686658093,26.6,33.599979166666664
0.36500292683145497,28.0,34.99997916666667
0.2810782740022514,29.4,36.39997916666667
0.23967852474737364,30.8,37.79997916666667
0.26801250203640703,32.2,39.199979166666665
0.2539862473919043,33.6,40.599979166666664
0.19117020409841248,35.0,41.99997916666667
0.1745576659487017,36.4,43.39997916666667
0.19279256179955295,37.8,44.79997916666667
0.22784196681638696,39.2,46.199979166666665
0.29871337266456444,40.6,47.599979166666664
0.47129143197359025,42.0,48.99997916666667
0.4848244060194632,43.4,50.39997916666667
0.33843436325425647,44.8,51.79997916666667
0.24097419528782887,46.2,53.199979166666665
0.18939550770501284,47.6,54.599979166666664
0.1608380610297517,49.0,55.99997916666667
0.1785518276748016,50.4,57.39997916666667
0.19535159008873892,51.8,58.79997916666667
0.19246429001563653,53.2,60.199979166666665
0.1885687323140096,54.6,61.599979166666664
0.20809980733582797,56.0,62.99997916666667
0.22589255753381157,57.4,64.39997916666667
0.22800361856250234,58.8,65.79997916666666
0.1979156402879795,60.2,67.19997916666667
0.17502865481605734,61.6,68.59997916666667
0.19279201656596845,63.0,69.99997916666666
0.21011028902105178,64.4,71.39997916666667
0.21967086583362178,65.8,72.79997916666666
0.21244028461851872,67.2,74.19997916666667
0.20492943771817296,68.6,75.59997916666667
0.19359165811374385,70.0,76.99997916666666
0.2038251598241761,71.4,78.39997916666667
0.2603894750410982,72.8,79.79997916666666
0.25596427795465937,74.2,81.19997916666667
0.22984212528076042,75.6,82.59997916666667
0.1982511680970025,77.0,83.99997916666666
0.18682843084788786,78.4,85.39997916666667
0.22404271327001807,79.8,86.79997916666666
0.3038120066225305,81.2,88.19997916666667
0.3974890279383454,82.6,89.59997916666667
0.3808537639144902,84.0,90.99997916666666
0.3346863821672429,85.4,92.39997916666667
0.26932821931069273,86.8,93.79997916666666
0.23656111621255765,88.2,95.19997916666667
0.2044519715166161,89.6,96.59997916666667
0.2251159663849337,91.0,97.99997916666666
0.2896979849395866,92.4,99.39997916666667
0.32383502702299105,93.8,100.79997916666666
0.4069971095129089,95.2,102.19997916666667
0.4726809518305527,96.6,103.59997916666667
0.42642688565244596,98.0,104.99997916666666
0.29121859917265563,99.4,106.39997916666667
0.18634427231448417,100.8,107.79997916666666
0.11868159405066257,102.2,109.19997916666667
0.10225463473117027,103.6,110.59997916666667
0.13105284634729955,105.0,111.99997916666666
0.21400059973676522,106.4,113.39997916666667
0.3747465732923517,107.8,114.79997916666666
0.6491994999220652,109.2,116.19997916666667
1.050086074345917,110.6,117.59997916666667
