Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Expression_stnd,Technique,Technique_stnd,Harmony,Harmony_stnd
Buleria - IMP1,Buleria,7.00,0.58,5.00,1.00,4.00,0.58,1.50,-0.53,2.25,0.12,5.00,-1.35,1.00,-0.58,4.00,1.00,1.00,-0.58
Buleria - IMP1,Buleria,7.00,0.58,4.00,-1.00,4.00,0.58,3.50,1.60,3.00,1.59,5.67,-0.58,1.00,-0.58,4.00,1.00,2.00,1.73
Buleria - IMP2,Buleria,4.00,-1.73,5.00,1.00,4.00,0.58,1.00,-1.07,1.75,-0.86,7.00,0.96,3.00,1.73,1.00,-1.00,1.00,-0.58
Buleria - BAI1,Buleria,7.00,0.58,4.00,-1.00,3.00,-1.73,2.00,0.00,1.75,-0.86,7.00,0.96,1.00,-0.58,1.00,-1.00,1.00,-0.58
mean,Buleria,6.25,0.00,4.50,0.00,3.75,0.00,2.00,0.00,2.19,0.00,6.17,-0.00,1.50,-0.00,2.50,0.00,1.25,-0.00
std,Buleria,1.16,0.89,0.45,0.89,0.39,0.89,0.84,0.89,0.46,0.89,0.77,0.89,0.77,0.89,1.34,0.89,0.39,0.89
