Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Expression_stnd,Technique,Technique_stnd,Harmony,Harmony_stnd
Buleria - IMP1,Day1,7.00,0.55,5.00,1.34,4.00,0.87,1.50,-0.55,2.25,-0.28,5.00,0.37,1.00,-1.09,4.00,-0.87,1.00,-1.67
Buleria - IMP1,Day1,7.00,0.55,4.00,0.45,4.00,0.87,3.50,1.34,3.00,0.31,5.67,0.99,1.00,-1.09,4.00,-0.87,2.00,-1.04
Seguirya - IMP1,Day1,6.00,0.00,2.00,-1.34,4.00,0.87,3.50,1.34,4.88,1.78,5.00,0.37,3.00,-0.16,5.00,0.00,4.00,0.21
Seguirya - COM1,Day1,2.00,-2.19,2.00,-1.34,1.00,-1.73,1.00,-1.02,1.00,-1.26,3.33,-1.20,7.00,1.72,7.00,1.73,5.00,0.83
Solea - IMP1,Day1,7.00,0.55,4.00,0.45,3.00,0.00,2.00,-0.08,3.12,0.41,5.67,0.99,5.00,0.78,4.00,-0.87,5.00,0.83
Guajira - IMP1,Day1,7.00,0.55,4.00,0.45,2.00,-0.87,1.00,-1.02,1.38,-0.96,3.00,-1.52,3.00,-0.16,6.00,0.87,5.00,0.83
mean,Day1,6.00,0.00,3.50,-0.00,3.00,-0.00,2.08,-0.00,2.60,0.00,4.61,-0.00,3.33,-0.00,5.00,0.00,3.67,0.00
std,Day1,1.69,0.93,1.04,0.93,1.07,0.93,0.98,0.93,1.18,0.93,0.98,0.93,1.98,0.93,1.07,0.93,1.48,0.93
