,Name,t_%,y_var,t_0,file,Rater,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
30,P3_D5_G1_M5_R1_T1,1.0,5,221.68157213160703,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,P3,P,P3,D5,M5,R1,D5_M5,1.0
31,P3_D5_G1_M5_R1_T1,1.0,6,231.41812003242487,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,P3,P,P3,D5,M5,R1,D5_M5,1.0
32,P3_D5_G1_M5_R1_T1,1.0,7,238.94261194659424,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,P3,P,P3,D5,M5,R1,D5_M5,1.0
33,P3_D5_G1_M5_R1_T1,1.0,6,245.72464895613095,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,P3,P,P3,D5,M5,R1,D5_M5,1.0
34,P3_D5_G1_M5_R1_T1,1.0,6,245.72464895613095,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,P3,P,P3,D5,M5,R1,D5_M5,1.0
0,P11_D6_G6_M6_R1_T2,0.1,4,2.6627219923706056,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.1
1,P11_D6_G6_M6_R1_T2,0.1,5,4.369756074386597,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.1
2,P11_D6_G6_M6_R1_T2,0.2,4,2.6627219923706056,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.2
3,P11_D6_G6_M6_R1_T2,0.2,5,4.369756074386597,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.2
4,P11_D6_G6_M6_R1_T2,0.30000000000000004,4,2.6627219923706056,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.4
