,t0,LZ,CTW
mean,188640.0,0.20560282502721905,0.2806305119515933
0.0,0.0,0.012550746785383244,0.021683086773768543
4.0,4.0,0.02091791130897207,0.021081104289442355
8.0,8.0,0.04601940487973855,0.1457472315856514
12.0,12.0,0.10877313880665478,0.11810259261286399
16.0,16.0,0.10458955654486037,0.11997389200379523
20.0,20.0,0.13178284124652406,0.15984111880313076
24.0,24.0,0.12132388559203802,0.15198665745251475
28.0,28.0,0.11714030333024361,0.13066730001982363
32.0,32.0,0.10458955654486037,0.1293356868741686
36.0,36.0,0.21127090422061792,0.3126906601280134
40.0,40.0,0.3284112075508615,0.4069265098657008
44.0,44.0,0.21545448648241233,0.46906568537109955
48.0,48.0,0.1694350816026738,0.25760156581438726
52.0,52.0,0.18826120178074862,0.30666569599742455
56.0,56.0,0.21336269535151514,0.36532615673825436
60.0,60.0,0.414174643917647,0.4684444170324768
64.0,64.0,0.36187986564521685,0.40719810790973465
68.0,68.0,0.4748365867136661,0.5561594164091789
72.0,72.0,0.12759925898472965,0.2163086650293033
76.0,76.0,0.10668134767575757,0.11683248663595096
80.0,80.0,0.10040597428306595,0.16719274236971365
84.0,84.0,0.15479254368639334,0.2028274636096837
88.0,88.0,0.16525149934087935,0.19838898816739378
92.0,92.0,0.20499553082792632,0.27506347679354953
96.0,96.0,0.22382165100600115,0.2507968737757641
100.0,100.0,0.2029037396970291,0.22117956202015565
104.0,104.0,0.2782082204093286,0.3808607285832475
108.0,108.0,0.29912613171830066,0.33365008772891397
112.0,112.0,0.37861419469239455,0.40734246655392975
116.0,116.0,0.4058074793940582,0.48697179709386523
120.0,120.0,0.38070598582329174,0.8936336464564911
