Time, Value
30.641652965667724,2
41.76410204577637,2
51.61928302098084,2
61.9623342117157,3
78.05200597520447,1
84.43357196376037,4
97.6555390705719,4
104.7945071525879,1
116.26112204196167,4
140.37595601335144,5
150.5238880114441,1
168.21530299046324,1
179.2191291220703,6
187.766390082016,6
195.62004905722046,5
228.55994015640258,4
245.32593195613097,6
252.73013814305114,6
265.59054181689453,5
272.86930687983704,3
285.42498294277954,2
300.6540929675751,4
318.07486895613096,3
359.5240700019074,6
383.22506295994566,2
