,Name,t_%,y_var,t0,t_0,Artist,Rater,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
37,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,0.4,7,,10.14150305722046,G,G1,P6,D0,M6,R1,D0_M6,0.4
38,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,0.5,7,,10.14150305722046,G,G1,P6,D0,M6,R1,D0_M6,0.5
39,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,0.6,7,,10.14150305722046,G,G1,P6,D0,M6,R1,D0_M6,0.6
40,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,0.7000000000000001,7,,10.14150305722046,G,G1,P6,D0,M6,R1,D0_M6,0.8
41,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,0.8,7,,10.14150305722046,G,G1,P6,D0,M6,R1,D0_M6,0.8
42,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,0.9,7,,10.14150305722046,G,G1,P6,D0,M6,R1,D0_M6,0.9
43,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,1.0,7,,10.14150305722046,G,G1,P6,D0,M6,R1,D0_M6,1.0
44,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,0.30000000000000004,4,,35.114812207424166,G,G4,P8,D1,M6,R1,D1_M6,0.4
45,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,0.4,5,,55.329421,G,G4,P8,D1,M6,R1,D1_M6,0.4
46,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,0.5,6,,63.25254578780746,G,G4,P8,D1,M6,R1,D1_M6,0.5
47,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,0.8,4,,106.42707689748,G,G4,P8,D1,M6,R1,D1_M6,0.8
48,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,0.9,5,,119.13895195708466,G,G4,P8,D1,M6,R1,D1_M6,0.9
49,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,1.0,6,,133.50220804291536,G,G4,P8,D1,M6,R1,D1_M6,1.0
50,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.1,1,,6.314785900817872,P,P3,P3,D1,M1,R1,D1_M1,0.1
51,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.1,2,,11.36341690272522,P,P3,P3,D1,M1,R1,D1_M1,0.1
52,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.1,3,,18.54887713351441,P,P3,P3,D1,M1,R1,D1_M1,0.1
53,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.2,4,,25.280295839782717,P,P3,P3,D1,M1,R1,D1_M1,0.2
54,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.2,5,,29.570654965667725,P,P3,P3,D1,M1,R1,D1_M1,0.2
55,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.2,4,,34.687809015258786,P,P3,P3,D1,M1,R1,D1_M1,0.2
56,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.2,5,,40.57563303433228,P,P3,P3,D1,M1,R1,D1_M1,0.2
57,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.2,3,,42.82729682643127,P,P3,P3,D1,M1,R1,D1_M1,0.2
58,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.2,5,,44.2704628626709,P,P3,P3,D1,M1,R1,D1_M1,0.2
59,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.2,6,,48.65116811062622,P,P3,P3,D1,M1,R1,D1_M1,0.2
60,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.30000000000000004,3,,51.36162697138977,P,P3,P3,D1,M1,R1,D1_M1,0.4
61,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.30000000000000004,4,,55.87742009536744,P,P3,P3,D1,M1,R1,D1_M1,0.4
62,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.30000000000000004,4,,61.16410794087219,P,P3,P3,D1,M1,R1,D1_M1,0.4
63,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.30000000000000004,5,,63.406232074386594,P,P3,P3,D1,M1,R1,D1_M1,0.4
64,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.30000000000000004,3,,70.78212389509582,P,P3,P3,D1,M1,R1,D1_M1,0.4
65,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.4,3,,78.5077859408722,P,P3,P3,D1,M1,R1,D1_M1,0.4
66,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.4,4,,81.35776986457824,P,P3,P3,D1,M1,R1,D1_M1,0.4
67,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.4,5,,95.4771349103546,P,P3,P3,D1,M1,R1,D1_M1,0.4
68,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.5,6,,103.97502793705748,P,P3,P3,D1,M1,R1,D1_M1,0.5
69,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.5,5,,116.54580790653992,P,P3,P3,D1,M1,R1,D1_M1,0.5
70,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.6,4,,126.86846997138976,P,P3,P3,D1,M1,R1,D1_M1,0.6
71,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.6,6,,136.30577995231627,P,P3,P3,D1,M1,R1,D1_M1,0.6
72,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.6,7,,138.70482096376037,P,P3,P3,D1,M1,R1,D1_M1,0.6
73,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.6,6,,144.42254583406066,P,P3,P3,D1,M1,R1,D1_M1,0.6
74,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.7000000000000001,5,,151.48324409536744,P,P3,P3,D1,M1,R1,D1_M1,0.8
75,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.7000000000000001,3,,158.088925956131,P,P3,P3,D1,M1,R1,D1_M1,0.8
76,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.7000000000000001,4,,161.133534,P,P3,P3,D1,M1,R1,D1_M1,0.8
77,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.7000000000000001,3,,166.60171381880187,P,P3,P3,D1,M1,R1,D1_M1,0.8
78,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.7000000000000001,2,,169.24204100572206,P,P3,P3,D1,M1,R1,D1_M1,0.8
79,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.8,4,,171.36337384931946,P,P3,P3,D1,M1,R1,D1_M1,0.8
80,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.8,5,,174.33841395994568,P,P3,P3,D1,M1,R1,D1_M1,0.8
81,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.8,3,,180.30216302670289,P,P3,P3,D1,M1,R1,D1_M1,0.8
82,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.8,4,,184.51880505340577,P,P3,P3,D1,M1,R1,D1_M1,0.8
83,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.8,3,,190.7026201182556,P,P3,P3,D1,M1,R1,D1_M1,0.8
84,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.9,4,,196.52748101335143,P,P3,P3,D1,M1,R1,D1_M1,0.9
85,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.9,2,,201.51175594659423,P,P3,P3,D1,M1,R1,D1_M1,0.9
86,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.9,1,,205.0949999103546,P,P3,P3,D1,M1,R1,D1_M1,0.9
87,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.9,2,,210.40329002670288,P,P3,P3,D1,M1,R1,D1_M1,0.9
88,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,0.9,3,,217.09340408010863,P,P3,P3,D1,M1,R1,D1_M1,0.9
89,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,1.0,4,,223.5218699370575,P,P3,P3,D1,M1,R1,D1_M1,1.0
90,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,1.0,3,,229.5527480305176,P,P3,P3,D1,M1,R1,D1_M1,1.0
91,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,1.0,5,,232.55057390463256,P,P3,P3,D1,M1,R1,D1_M1,1.0
92,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,1.0,4,,238.4348730591278,P,P3,P3,D1,M1,R1,D1_M1,1.0
93,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,1.0,5,,241.57838898664852,P,P3,P3,D1,M1,R1,D1_M1,1.0
