,Name,t_%,y_var,t0,t_0,Artist,Rater,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
36,G4_P8_D6_G4_M6_R2_T1_IMPRO.csv,0.1,4,,10.76607702861023,G,G4,P8,D6,M6,R2,D6_M6,0.1
37,G4_P8_D6_G4_M6_R2_T1_IMPRO.csv,0.30000000000000004,5,,57.97620696900559,G,G4,P8,D6,M6,R2,D6_M6,0.4
38,G4_P8_D6_G4_M6_R2_T1_IMPRO.csv,0.6,6,,111.11060780211258,G,G4,P8,D6,M6,R2,D6_M6,0.6
39,G4_P8_D6_G4_M6_R2_T1_IMPRO.csv,0.8,5,,171.2456340524521,G,G4,P8,D6,M6,R2,D6_M6,0.8
40,G4_P8_D6_G4_M6_R2_T1_IMPRO.csv,1.0,6,,219.12339518119813,G,G4,P8,D6,M6,R2,D6_M6,1.0
41,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,0.1,3,,7.732510015258789,P,P5,P5,D1,M6,R2,D1_M6,0.1
42,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,0.2,5,,14.964170011444091,P,P5,P5,D1,M6,R2,D1_M6,0.2
43,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,0.30000000000000004,2,,25.284024786376957,P,P5,P5,D1,M6,R2,D1_M6,0.4
44,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,0.4,3,,35.34511097520447,P,P5,P5,D1,M6,R2,D1_M6,0.4
45,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,0.4,1,,40.90929297901916,P,P5,P5,D1,M6,R2,D1_M6,0.4
46,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,0.5,3,,46.3186658664856,P,P5,P5,D1,M6,R2,D1_M6,0.5
47,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,0.6,2,,65.04072298283386,P,P5,P5,D1,M6,R2,D1_M6,0.6
48,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,0.7000000000000001,4,,68.52349801144409,P,P5,P5,D1,M6,R2,D1_M6,0.8
49,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,0.8,3,,86.56205498855591,P,P5,P5,D1,M6,R2,D1_M6,0.8
50,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,0.9,4,,92.18981510108948,P,P5,P5,D1,M6,R2,D1_M6,0.9
51,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,1.0,5,,106.19096205531312,P,P5,P5,D1,M6,R2,D1_M6,1.0
52,P5_P5_D1_G3_M6_R2_T1_IMPRO.csv,1.0,2,,112.6997360228882,P,P5,P5,D1,M6,R2,D1_M6,1.0
53,G1_P3_D1_G1_M6_R2_T1_IMPRO.csv,0.1,1,,10.55229038286624,G,G1,P3,D1,M6,R2,D1_M6,0.1
54,G1_P3_D1_G1_M6_R2_T1_IMPRO.csv,1.0,2,,173.63048222607387,G,G1,P3,D1,M6,R2,D1_M6,1.0
55,G1_P3_D1_G1_M6_R2_T1_IMPRO.csv,1.0,1,,175.09644932866266,G,G1,P3,D1,M6,R2,D1_M6,1.0
56,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.1,4,,32.4636160743866,P,P4,P4,D1,M6,R1,D1_M6,0.1
57,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.2,4,,51.34961408010864,P,P4,P4,D1,M6,R1,D1_M6,0.2
58,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.2,4,,52.30612988937378,P,P4,P4,D1,M6,R1,D1_M6,0.2
59,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.2,4,,64.89388411062622,P,P4,P4,D1,M6,R1,D1_M6,0.2
60,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.30000000000000004,4,,84.96646499618531,P,P4,P4,D1,M6,R1,D1_M6,0.4
61,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.4,5,,113.3589127806549,P,P4,P4,D1,M6,R1,D1_M6,0.4
62,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.4,6,,125.33722889891052,P,P4,P4,D1,M6,R1,D1_M6,0.4
63,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.4,6,,136.5572939961853,P,P4,P4,D1,M6,R1,D1_M6,0.4
64,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.5,4,,150.00720988365174,P,P4,P4,D1,M6,R1,D1_M6,0.5
65,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.5,5,,170.33214397711183,P,P4,P4,D1,M6,R1,D1_M6,0.5
66,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.6,4,,175.95612004768373,P,P4,P4,D1,M6,R1,D1_M6,0.6
67,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.7000000000000001,3,,214.71933708773804,P,P4,P4,D1,M6,R1,D1_M6,0.8
68,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.7000000000000001,3,,230.56044905912785,P,P4,P4,D1,M6,R1,D1_M6,0.8
69,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.8,2,,247.02604786457823,P,P4,P4,D1,M6,R1,D1_M6,0.8
70,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.8,4,,260.8998270152588,P,P4,P4,D1,M6,R1,D1_M6,0.8
71,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.8,4,,276.1821919713898,P,P4,P4,D1,M6,R1,D1_M6,0.8
72,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,0.9,4,,299.69473996566774,P,P4,P4,D1,M6,R1,D1_M6,0.9
73,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,1.0,5,,322.77018799427793,P,P4,P4,D1,M6,R1,D1_M6,1.0
74,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,1.0,3,,340.3223289103546,P,P4,P4,D1,M6,R1,D1_M6,1.0
75,P4_P4_D1_G2_M6_R1_T1_IMPRO.csv,1.0,4,,354.748644961853,P,P4,P4,D1,M6,R1,D1_M6,1.0
76,P9_P9_D5_G4_M6_R2_T1_IMPRO.csv,0.4,4,,78.4432459961853,P,P9,P9,D5,M6,R2,D5_M6,0.4
77,P9_P9_D5_G4_M6_R2_T1_IMPRO.csv,0.7000000000000001,5,,140.0986449370575,P,P9,P9,D5,M6,R2,D5_M6,0.8
78,P9_P9_D5_G4_M6_R2_T1_IMPRO.csv,1.0,6,,202.97580103433228,P,P9,P9,D5,M6,R2,D5_M6,1.0
79,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.1,1,,4.446630801635743,P,P3,P3,D5,M5,R2,D5_M5,0.1
80,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.1,3,,12.314082078201292,P,P3,P3,D5,M5,R2,D5_M5,0.1
81,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.1,6,,15.64352187220764,P,P3,P3,D5,M5,R2,D5_M5,0.1
82,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.2,7,,24.251686064849853,P,P3,P3,D5,M5,R2,D5_M5,0.2
83,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.2,6,,34.07356204577637,P,P3,P3,D5,M5,R2,D5_M5,0.2
84,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.30000000000000004,5,,42.24993701525879,P,P3,P3,D5,M5,R2,D5_M5,0.4
85,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.30000000000000004,6,,46.476737198364255,P,P3,P3,D5,M5,R2,D5_M5,0.4
86,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.30000000000000004,6,,53.495611087738034,P,P3,P3,D5,M5,R2,D5_M5,0.4
87,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.30000000000000004,7,,54.617820024795535,P,P3,P3,D5,M5,R2,D5_M5,0.4
88,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.4,7,,59.197941082016,P,P3,P3,D5,M5,R2,D5_M5,0.4
89,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.4,6,,61.32767011253357,P,P3,P3,D5,M5,R2,D5_M5,0.4
90,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.4,4,,68.3409520152588,P,P3,P3,D5,M5,R2,D5_M5,0.4
91,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.5,3,,75.58830683596801,P,P3,P3,D5,M5,R2,D5_M5,0.5
92,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.5,4,,79.4421961335144,P,P3,P3,D5,M5,R2,D5_M5,0.5
93,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.5,5,,87.00227405912781,P,P3,P3,D5,M5,R2,D5_M5,0.5
94,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.6,3,,91.8536462002716,P,P3,P3,D5,M5,R2,D5_M5,0.6
95,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.6,4,,98.68552515258789,P,P3,P3,D5,M5,R2,D5_M5,0.6
96,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.6,6,,106.6081090076294,P,P3,P3,D5,M5,R2,D5_M5,0.6
97,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.7000000000000001,7,,117.12825389128112,P,P3,P3,D5,M5,R2,D5_M5,0.8
98,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.8,5,,130.19971109918214,P,P3,P3,D5,M5,R2,D5_M5,0.8
99,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.8,7,,136.288986,P,P3,P3,D5,M5,R2,D5_M5,0.8
100,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.8,5,,143.69312117547608,P,P3,P3,D5,M5,R2,D5_M5,0.8
101,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.9,3,,147.17097416212462,P,P3,P3,D5,M5,R2,D5_M5,0.9
102,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,0.9,2,,158.58796202670288,P,P3,P3,D5,M5,R2,D5_M5,0.9
103,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,1.0,4,,165.06196179400635,P,P3,P3,D5,M5,R2,D5_M5,1.0
104,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,1.0,5,,168.56981887602234,P,P3,P3,D5,M5,R2,D5_M5,1.0
105,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,1.0,4,,175.45867006103515,P,P3,P3,D5,M5,R2,D5_M5,1.0
106,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,1.0,5,,179.62129097901916,P,P3,P3,D5,M5,R2,D5_M5,1.0
107,P3_P3_D5_G1_M5_R2_T1_IMPRO.csv,1.0,7,,187.09205909536743,P,P3,P3,D5,M5,R2,D5_M5,1.0
108,G4_P9_D5_G4_M6_R1_T1_IMPRO.csv,0.2,4,,19.93781,G,G4,P9,D5,M6,R1,D5_M6,0.2
