Time_Start;Time_End; Value
0;6.630623979019165;1
6.630623979019165;22.595697143051147;2
22.595697143051147;36.047543045776365;1
36.047543045776365;47.3899908626709;2
47.3899908626709;54.073829122070315;4
54.073829122070315;55.59458279019165;5
55.59458279019165;62.88929791416931;3
62.88929791416931;71.29902494468689;2
71.29902494468689;83.20860587983704;3
83.20860587983704;93.37244301335144;3
93.37244301335144;94.46352483406066;2
94.46352483406066;103.10799799809266;3
103.10799799809266;111.4523559408722;3
111.4523559408722;113.81269982452393;4
113.81269982452393;127.47091509155274;5
127.47091509155274;138.76446798664855;6
138.76446798664855;144.4705818664856;5
144.4705818664856;147.5169289103546;3
147.5169289103546;153.43300382833863;4
153.43300382833863;161.62599891416932;2
161.62599891416932;166.61742587030028;1
166.61742587030028;169.66214493515014;3
169.66214493515014;173.12251986839294;4
173.12251986839294;178.78905399427796;3
178.78905399427796;186.56627693133544;4
186.56627693133544;190;4
