,Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ,CTW,LZ_avg,var_entropy_avg,MIR_entropy_avg,MIR_novelty_avg,Condition,Pair,Condition_order
16,P4_D5_G2_M5_R1_T1,G2,6,6,7,6,7,7,7,7,6,6,5,6,7,7,,,6.75,6.166666666666667,6.458333333333334,D5,M5,R1,0.3810441232301887,0.4013448957660061,0.17890689986954536,51.19038057645114,0.7222490164774906,0.3302523591786729,D5_M5,P4_D5,3.0
17,P4_D1_G2_M1_R1_T1,G2,7,6,6,6,7,7,7,7,6,5,5,6,6,7,,,6.5,6.0,6.25,D1,M1,R1,0.32014982844113,0.3418450242223667,0.14744512733911688,49.98440364797062,0.70996009552586,0.3238346349138759,D1_M1,P4_D1,4.0
18,P4_D6_G2_M6_R2_T1,G2,2,4,4,6,7,7,7,7,6,7,6,6,4,3,,,6.0,6.5,6.25,D6,M6,R2,0.4370801854579944,0.4645654255940994,0.1923937647466675,51.690392114574045,0.737026855768031,0.377249151786724,D6_M6,P4_D6,0.0
19,P4_D5_G2_M6_R2_T1,G2,2,2,4,7,7,7,7,7,7,7,6,6,5,5,,,6.0,6.833333333333333,6.416666666666666,D5,M6,R2,0.4262810651410869,0.4539881399210038,0.1937712857353071,51.75205643763715,0.7356373766492894,0.3605146523975055,D5_M6,P4_D5,1.0
20,P4_D1_G2_M6_R2_T1,G2,2,2,4,7,7,7,7,7,5,5,5,6,5,4,,,6.0,6.0,6.0,D1,M6,R2,0.411223354351007,0.4397736701734814,0.18738556828409395,51.59503693011612,0.7320381234513109,0.34870668969547475,D1_M6,P4_D1,2.0
21,P4_D5_G2_M5_R2_T1,G2,4,5,5,6,7,7,7,7,7,4,4,6,4,5,,,6.25,5.833333333333333,6.041666666666666,D5,M5,R2,0.3712085429709296,0.399452513394571,0.1742819147108502,51.41245548776992,0.7280169098068305,0.4286500465365959,D5_M5,P4_D5,3.0
22,P4_D1_G2_M1_R2_T1,G2,7,6,4,6,7,6,6,5,6,6,4,3,4,5,,,4.75,5.666666666666667,5.208333333333334,D1,M1,R2,0.3906612319828594,0.4165173794170056,0.1795908791222472,51.04591325626791,0.7125861027782001,0.4216389135453434,D1_M1,P4_D1,4.0
23,P4_D0_G2_M6_R2_T1,G2,1,2,4,6,6,7,7,5,7,7,7,6,4,4,,,5.25,6.833333333333333,6.041666666666666,D0,M6,R2,0.4158906940537394,0.4479983530715006,0.1989816313265968,49.722832317832356,0.660742397801711,0.2548565728693291,D0_M6,P4_D0,
24,P5_D0_G3_M6_R1_T1,G3,1,1,6,6,6,6,6,6,6,7,7,2,5,5,,,5.0,6.333333333333333,5.666666666666666,D0,M6,R1,0.3124724185230019,0.3700726773116659,0.15623515825942585,45.4454275713735,0.6534898573299355,0.32423219145653875,D0_M6,P5_D0,
25,P5_D6_G3_M6_R1_T1,G3,2,2,6,5,6,4,4,5,5,5,5,5,4,6,5.0,5.0,5.5,4.666666666666667,5.083333333333334,D6,M6,R1,0.2374930286608103,0.2969271884934561,0.1434968715795484,48.5873378823135,0.6707447097040603,0.45358752792105184,D6_M6,P5_D6,0.0
26,P5_D5_G3_M6_R1_T1,G3,1,1,6,6,6,6,6,6,5,6,6,3,5,5,7.0,7.0,5.25,5.833333333333333,5.541666666666666,D5,M6,R1,0.2342913784797924,0.294639462822948,0.14021973214114275,48.44043484142439,0.6810810935692218,0.5557445067506972,D5_M6,P5_D5,1.0
27,P5_D1_G3_M6_R1_T1,G3,1,1,6,6,7,6,6,7,7,7,6,2,5,6,7.0,7.0,5.5,6.333333333333333,5.916666666666666,D1,M6,R1,0.1665973263178774,0.2113587407939539,0.1109159492334275,45.58695576712522,0.6693242315104184,0.7152079926747196,D1_M6,P5_D1,2.0
28,P5_D5_G3_M5_R1_T1,G3,4,5,6,7,7,7,6,7,6,6,6,1,6,6,7.0,7.0,5.25,6.333333333333333,5.791666666666666,D5,M5,R1,0.2522199628629754,0.3264685704012815,0.15244973761978842,50.66267686915724,0.7027728815036836,0.376089045131503,D5_M5,P5_D5,3.0
29,P5_D1_G3_M1_R1_T1,G3,7,6,7,7,7,7,7,7,7,6,6,1,7,7,7.0,7.0,5.5,6.666666666666667,6.083333333333334,D1,M1,R1,0.2277152688676533,0.2829191394611259,0.13433221168730503,49.82147728109416,0.686994837942742,0.38271982921929165,D1_M1,P5_D1,4.0
30,P5_D0_G3_M6_R2_T1,G3,1,1,4,6,6,6,6,7,7,7,7,1,5,5,,,4.5,6.5,5.5,D0,M6,R2,0.2496120013371775,0.2940289071884177,0.14116420753054787,43.32316949214378,0.662121578951903,0.409320446628279,D0_M6,P5_D0,
31,P5_D6_G3_M6_R2_T1,G3,1,1,6,6,6,6,6,6,6,6,6,2,5,7,6.0,6.0,5.0,6.0,5.5,D6,M6,R2,0.1901915389799789,0.219759290401289,0.12845147018620623,46.39364047320083,0.657396682204494,0.5952518631505884,D6_M6,P5_D6,0.0
32,P5_D5_G3_M6_R2_T1,G3,2,6,7,6,7,6,6,7,7,5,5,1,6,7,7.0,7.0,5.5,5.833333333333333,5.666666666666666,D5,M6,R2,0.1993807982646762,0.2324311614561925,0.13557905478037452,47.8138302764739,0.6586715129175226,0.662553791297086,D5_M6,P5_D5,1.0
33,P5_D1_G3_M6_R2_T1,G3,2,5,6,6,7,6,6,7,6,5,5,1,6,6,7.0,7.0,5.25,5.666666666666667,5.458333333333334,D1,M6,R2,0.2163235795264323,0.258267118792621,0.1322011994727035,47.50340261482322,0.6745240154061739,0.48841107568487646,D1_M6,P5_D1,2.0
34,P5_D5_G3_M5_R2_T1,G3,6,3,3,4,7,3,3,6,2,2,2,1,5,6,7.0,2.0,4.25,2.6666666666666665,3.458333333333333,D5,M5,R2,0.2669680635100933,0.3020643025832084,0.15752096690060705,48.03351183174057,0.6963742175706752,0.44754850956638137,D5_M5,P5_D5,3.0
35,P5_D1_G3_M1_R2_T1,G3,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.12004028648898743,45.65390434786149,0.6782380324387051,0.4932002381077627,D1_M1,P5_D1,4.0
36,P3_D6_G1_M6_R1_T1,P3,2,2,4,5,6,4,6,5,6,6,6,6,6,5,,,5.25,5.5,5.375,D6,M6,R1,0.4364616316090856,0.4626439270153559,0.18063231647982944,54.419322675691056,0.7483640851791321,0.2817728307554122,D6_M6,P3_D6,0.0
37,P3_D5_G1_M6_R1_T1,P3,4,2,4,2,4,3,4,5,4,2,4,6,3,4,,,4.75,3.1666666666666665,3.958333333333333,D5,M6,R1,0.4413175391014486,0.480467288236185,0.18503984343916688,54.57535217272016,0.7478112593662287,0.3083721257682644,D5_M6,P3_D5,1.0
38,P3_D1_G1_M6_R1_T1,P3,7,4,6,6,7,5,6,6,5,3,6,6,7,5,,,6.25,5.166666666666667,5.708333333333334,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.16882497585616205,53.158857367400174,0.7306474529165379,0.29455339450778745,D1_M6,P3_D1,2.0
39,P3_D5_G1_M5_R1_T1,P3,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.1683891860372252,51.67695284400238,0.7246247009487782,0.3155787177192854,D5_M5,P3_D5,3.0
