Name,Setup,Day,Palo,Liked [Solea],Liked [Seguirya],Liked [Buleria],Liked [Guajira],Improvise [Solea],Improvise [Seguirya],Improvise [Buleria],Improvise [Guajira],Express [Solea],Express [Seguirya],Express  [Buleria],Express  [Guajira],Preference [Solea],Preference [Seguirya],Preference [Buleria],Preference [Guajira],Awake,Unpleasant, At rest,Tired,Pleasant,Tense,Alert,Restless,Positive,Sleepy,Negative,Calm,Wakeful,Good,Jittery,Relaxed,Bad,Drowsy,Excellence,Enjoyment,Personal best,Pleasure,Learn,Have fun,Believe,Relax,Take it easy
Baseline,IMP1,1,Baseline,7,5,7,5,7,5,7,5,7,5,6,4,1,3,2,4,2,1,3,4,4,1,2,2,4,4,1,3,3,3,2,3,1,3,7,7,7,6,7,6,7,4,2
Baseline,IMP2,2,Baseline,7,6,6,5,7,6,7,4,7,6,6,4,1,3,2,4,2,2,2,2,3,2,3,3,2,1,3,2,3,3,3,2,2,1,7,7,7,6,7,6,7,3,3
