,t0,var
0.0,0.0,51.531233190050756
4.0,4.0,53.47622486214443
8.0,8.0,52.972253072456716
12.0,12.0,55.05029964143911
16.0,16.0,55.998048061645434
20.0,20.0,56.20635579673928
24.0,24.0,55.80655105447212
28.0,28.0,55.98031229490378
32.0,32.0,57.19280381852243
36.0,36.0,56.29773033305556
40.0,40.0,57.087821697463525
44.0,44.0,55.972888014007694
48.0,48.0,51.2155990264317
52.0,52.0,53.135519629404996
56.0,56.0,53.35701663802383
60.0,60.0,55.663521767123584
64.0,64.0,54.24039378134892
68.0,68.0,55.4053270010089
72.0,72.0,56.05284360972275
76.0,76.0,53.426939016711316
80.0,80.0,52.43522975788304
84.0,84.0,52.10498694019566
88.0,88.0,52.64293738375153
92.0,92.0,52.3747751726148
96.0,96.0,52.95733044630731
100.0,100.0,51.41818940086647
104.0,104.0,51.46270652084462
108.0,108.0,54.6002070034004
112.0,112.0,54.86533966015267
116.0,116.0,55.58953454233985
120.0,120.0,53.80830291695494
124.0,124.0,54.97772008474058
128.0,128.0,55.67804048551411
132.0,132.0,54.143172239959235
136.0,136.0,55.49804719537208
140.0,140.0,55.98798687969781
144.0,144.0,55.82786729431392
148.0,148.0,56.59122855411976
152.0,152.0,56.26921247597601
156.0,156.0,55.830810459195675
160.0,160.0,54.872716119674614
164.0,164.0,55.9654911940246
168.0,168.0,55.5146875979196
172.0,172.0,55.82273721328067
176.0,176.0,55.89679682466333
180.0,180.0,56.383665273105905
184.0,184.0,55.97662541345787
188.0,188.0,57.14143392960977
