"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra","Dance_Step"
7.3,16.3,9.0,"Salida","1","19.1","MC","DC","Z1","A3","19.1"
16.3,34.8,18.5,"Salida","2","19.2","MC","DC","Z1","A3","19.2"
34.8,55.0,20.2,"Salida","2","19.3","MC","DC","Z1","A3","19.3"
55.0,64.1,9.1,"Letra","1","19.4","MC","DC","Z2","A2","19.4"
64.2,74.1,9.9,"Escobilla","1","19.5","MC","DI","Z3","A1","19.17"
74.1,83.2,9.1,"Escobilla","1","19.6","MC","DC","Z3","A1","19.6"
83.2,92.8,9.6,"Cierre","1","19.7","MC","DI","Z3","A1","19.7"
92.8,102.8,10.0,"Respiro","1","19.8","MC","DC","Z1","A2","19.8"
102.8,112.2,9.4,"Marcaje","1","19.9","MC","DC","Z1","A3","19.9"
112.2,121.6,9.4,"Marcaje","1","19.10","MC","DC","Z2","A3","19.10"
121.6,141.0,19.4,"Marcaje","2","19.11","MC","DI","Z2","A3","19.18"
141.0,148.8,7.8,"Llamada","1","19.12","MC","DI","Z2","A1","19.19"
148.8,159.0,10.2,"Marcaje","1","19.13","MC","DC","Z2","A2","19.13"
159.0,169.1,10.1,"Pies","1","19.14","MC","DC","Z3","A2","19.14"
169.2,178.2,9.0,"Pies","1","19.15","MC","DI","Z2","A2","19.20"
178.2,196.8,18.6,"Escobilla Cierre","1","19.16","MC","DI","Z3","A1","19.21"

