"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra"
5.8,27.6,21.8,"Salida","4","3.1","MC","DI","Z1","A3"
27.6,46.5,18.9,"Letra 1","4","3.2","MC","DI","Z2","A3"
46.6,70.1,23.5,"Escobilla - Letra","5","3.3","MC","DI","Z2","A2"
70.1,88.6,18.5,"Subida. Letra2. Cierre","3","3.4","MC","DI","Z1","A2"
88.6,92.1,3.5,"Silencio","1","3.5","MI","DI","Z1","A1"
92.1,108.3,16.2,"Escobilla Comienzo","4","3.6","MC","DI","Z3","A2"
108.4,119.5,11.1,"Escobilla","4","3.7","MC","DI","Z3","A2"
119.6,130.9,11.3,"Escobilla","4","3.8","MI","DI","Z3","A2"
131.0,143.0,12.0,"Escobilla + Marcaje","4","3.9","MC","DI","Z3","A2"
143.1,154.8,11.7,"Escobilla. Falla un poco","4","3.10","MC","DI","Z3","A2"
154.9,166.3,11.4,"Llamada. intenta","4","3.11","MC","DI","Z3","A1"
166.4,172.0,5.6,"Cierre","2","3.12","MC","DI","Z3","A1"

