"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra","Dance_Step"
4.9,12.6,7.7,"Salida","1","12.1","MC","DC","Z1","A1","12.1"
12.7,19.3,6.6,"Marcaje","1","12.2","MC","DI","Z2","A1","12.33"
19.4,26.0,6.6,"Marcaje","1","12.3","MC","DI","Z2","A1","12.34"
26.1,32.7,6.6,"Marcaje","1","12.4","MC","DI","Z2","A1","12.35"
32.7,39.1,6.4,"Escobilla","1","12.5","MC","DI","Z3","A1","12.36"
39.2,45.6,6.4,"Escobilla","1","12.29","MI","DI","Z3","A1","12.37"
45.7,51.7,6.0,"Escobilla","1","12.30","MI","DI","Z3","A1","12.38"
51.8,57.8,6.0,"Llamda","1","12.6","MC","DI","Z3","A1","12.39"
57.8,61.1,3.3,"Cierre","1","12.7","MC","DC","Z3","A1","12.7"
61.2,67.9,6.7,"Respiro","1","12.8","MC","DC","Z1","A2","12.8"
67.9,76.5,8.6,"Letra","1","12.9","MC","DI","Z2","A3","12.40"
76.5,82.9,6.4,"Letra","1","12.10","MC","DI","Z2","A3","12.41"
82.9,89.4,6.5,"Cierre","1","12.11","MC","DI","Z2	","A3","12.42"
89.5,96.3,6.8,"Paseo","1","12.12","MC","DI","Z1","A3","12.43"
96.3,107.5,11.2,"Movimientos","2","12.13","MC","DI","Z2","A3","12.44"
107.5,113.6,6.1,"Escobilla","1","12.14","MC","DI","Z3","A2","12.45"
113.7,120.1,6.4,"Llamada Cierre","1","12.31","MI","DI","Z3","A2","12.46"
120.3,123.4,3.1,"Silencio","1","12.32","MI","DI","Z1","A1","12.47"
123.5,128.5,5.0,"Escobilla","1","12.15","MC","DC","Z3","A1","12.15"
128.6,133.2,4.6,"Escobilla","1","12.16","MC","DC","Z3","A1","12.16"
133.3,137.3,4.0,"Subida","1","2.17","MC","DI","Z3","A1","12.48"
137.5,141.6,4.1,"Subida","1","2.18","MC","DI","Z3","A1","12.49"
141.6,146.5,4.9,"Cierre","1","2.19","MC","DI","Z3","A1","12.50"

