"Begin Time - ss.msec";"End Time - ss.msec";"Duration - ss.msec";"Sequence";"Bloques";"Step";"Music_Mode";"Category";"Baile";"Guitarra"
7.2;17.1;9.9;"Introduction";"2";"8.1";"MC";"DC";"Z1";"A1"
17.2;27.1;9.9;"Introduction";"2";"8.1";"MC";"DC";"Z1";"A1"
27.2;47.3;20.1;"Marcaje";"4";"8.2";"MC";"DC";"Z2";"A3"
47.4;57.7;10.3;"Respiro";"2";"8.3";"MC";"DC";"Z1";"A3"
57.8;67.5;9.7;"Paseo";"2";"8.3";"MC";"DC";"Z2";"A3"
67.6;78.0;10.4;"Respiro";"2";"8.4";"MC";"DC";"Z1";"A2"
78.1;88.5;10.4;"Escobilla";"2";"8.5";"MC";"DC";"Z3";"A2"
88.6;98.6;10.0;"Escobilla";"2";"8.6";"MC";"DC";"Z3";"A1"
98.7;107.0;8.3;"Escobilla; Subida";"2";"8.7";"MC";"DC";"Z3";"A1"
107.1;115.1;8.0;"Remate";"2";"8.8";"MC";"DC";"Z3";"A1"
115.2;124.4;9.2;"Respiro";"2";"8.9";"MC";"DC";"Z1";"A3"
124.5;133.1;8.6;"Marcaje";"2";"8.10";"MC";"DC";"Z2";"A3"
133.2;142.7;9.5;"Marcaje";"2";"8.11";"MC";"DC";"Z2";"A3"
142.8;147.1;4.3;"Cierre";"1";"8.12";"MC";"DC";"Z3";"A1"
147.2;156.1;8.9;"Escobilla";"2";"8.13";"MC";"DC";"Z3";"A1"
156.2;165.5;9.3;"Marcaje";"2";"8.14";"MC";"DC";"Z2";"A2"
165.6;174.6;9.0;"Baile";"2";"8.15";"MC";"DC";"Z1";"A2"
174.7;179.1;4.4;"Marcaje Pitos";"1";"8.16";"MC";"DC";"Z1";"A2"
179.2;183.2;4.0;"Escobilla";"1";"8.17";"MC";"DC";"Z3";"A2"
183.3;192.2;8.9;"Remate Cierre";"2";"8.18";"MC";"DC";"Z3";"A1"

