Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra;Dance_Step
26.7;33.4;6.7;Salida Palmas;1;16.1;MC;DC;Z2;A1;16.1
33.4;40.0;6.6;Salida;1;16.2;MC;DI;Z2;A1;16.57
40.0;46.6;6.6;Escobilla;1;16.3;MC;DI;Z3;A1;16.58
46.6;53.0;6.4;Escobilla;1;16.4;MC;DI;Z3;A1;16.59
53.0;59.5;6.5;Escobilla;1;16.5;MC;DI;Z3;A1;16.60
59.6;66.1;6.5;Escobilla;1;16.6;MC;DI;Z3;A1;16.61
66.1;72.4;6.3;Escobilla;1;16.7;MC;DI;Z3;A1;16.62
72.4;78.8;6.4;Escobilla;1;16.8;MC;DI;Z3;A1;16.63
78.8;84.8;6.0;Escobilla;1;16.37;MC;DI;Z3;A1;16.64
84.8;90.9;6.1;Escobilla;1;16.38;MC;DI;Z3;A1;16.65
90.9;98.2;7.3;Escobilla;1.25;16.39;MC;DI;Z3;A1;16.66
98.2;104.6;6.4;Llamada;1;16.9;MC;DI;Z3;A1;16.64
104.6;111.0;6.4;Letra;1;16.10;MC;DI;Z2;A2;16.65
111.0;117.4;6.4;Letra;1;16.11;MC;DI;Z2;A2;16.66
117.4;124.2;6.8;Marcaje;1;16.13;MC;DI;Z2;A2;16.67
124.2;130.8;6.6;Llamada Cierre;1;16.15;MC;DC;Z3;A1;16.15
130.8;137.4;6.6;Falseta;1;16.16;MC;DC;Z2;A3;16.16
137.4;143.7;6.3;Falseta;1;16.17;MC;DC;Z2;A3;16.17
143.7;147.4;3.7;Marcaje;1;16.18;MC;DC;Z2;A3;16.18
147.4;153.1;5.7;Marcaje;1;16.19;MC;DC;Z2;A3;16.19
153.1;159.1;6.0;Marcaje;1;16.20;MC;DC;Z2;A3;16.20
159.1;164.9;5.8;Llamada;1;16.21;MC;DI;Z3;A1;16.21
164.9;171.1;6.2;Marcaje Pies;1;16.22;MC;DI;Z3;A1;16.22
171.1;177.7;6.6;Cierre;1;16.23;MC;DI;Z3;A1;16.23
177.7;184.0;6.3;Falseta;1;16.28;MC;DI;Z1;A3;16.68
184.1;190.3;6.2;Falseta Pies;1;16.29;MC;DI;Z3;A3;16.69
190.3;196.7;6.4;Falseta Pitos;1;16.30;MC;DI;Z2;A3;16.70
196.7;202.7;6.0;Falseta;1;16.32;MC;DI;Z2;A3;16.71
202.7;210.6;7.9;Final;1;16.30;MC;DI;Z1;A3;16.71

