Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra;Dance_Step
2.9;9.0;6.1;Tapado;1;20.1;MC;DC;Z1;A1;20.1
9.0;20.6;11.6;Escobilla;2;20.2;MC;DC;Z3;A1;20.2
20.6;32.4;11.8;Escobilla;2;20.3;MC;DC;Z3;A2;20.3
32.4;38.0;5.6;Escobilla;1;20.4;MC;DC;Z3;A1;20.4
38.0;44.0;6.0;Llamada;1;20.5;MC;DC;Z3;A1;20.5
44.0;50.1;6.1;Cierre;1;20.6;MC;DC;Z2;A1;20.6
50.1;61.7;11.6;Falseta;2;20.7;MC;DC;Z1;A1;20.7
61.7;71.1;9.4;Falseta;2;20.14;MC;DC;Z2;A3;20.14
71.1;79.8;8.7;Marcaje;2;20.10;MC;DC;Z2;A2;20.10
79.8;88.5;8.7;Escobilla;2;20.11;MC;DC;Z3;A2;20.11
88.5;97.2;8.7;Escobilla;2;20.12;MC;DC;Z3;A1;20.12
97.2;105.9;8.7;Escobilla;2;20.13;MC;DC;Z3;A1;20.13

