"Begin Time - ss.msec";"End Time - ss.msec";"Duration - ss.msec";"Sequence";"Bloques";"Step";"Music_Mode";"Category";"Baile";"Guitarra"
2.8;12.6;9.8;"Introduction";"2";"8.1";"MC";"DC";"Z1";"A1"
12.6;22.3;9.7;"Introduction";"2";"8.2";"MC";"DC";"Z1";"A1"
22.4;32.4;10.0;"Salida";"2";"8.3";"MC";"DI";"Z1";"A3"
32.4;42.6;10.2;"Marcaje";"2";"8.23";"MI";"DI";"Z2";"A3"
42.7;52.8;10.1;"Marcaje";"2";"8.5";"MC";"DI";"Z2";"A3"
52.8;63.0;10.2;"Baile";"2";"8.6";"MC";"DI";"Z1";"A3"
63.0;73.0;10.0;"Marcaje; Pitos";"2";"8.7";"MC";"DI";"Z2";"A2"
73.1;83.0;9.9;"Respiro";"2";"8.8";"MC";"DI";"Z1";"A2"
83.1;93.4;10.3;"Escobilla";"2";"8.24";"MI";"DI";"Z3";"A1"
93.4;103.0;9.6;"Escobilla";"2";"8.25";"MI";"DI";"Z3";"A2"
103.1;111.7;8.6;"Remate";"2";"8.10";"MC";"DI";"Z3";"A1"
111.8;120.8;9.0;"Marcaje";"2";"8.11";"MC";"DI";"Z2";"A3"
120.9;130.4;9.5;"Marcaje";"2";"8.12";"MC";"DI";"Z2";"A3"
130.5;139.8;9.3;"Marcaje";"2";"8.13";"MC";"DI";"Z2";"A3"
139.8;144.4;4.6;"Cierre";"1";"8.14";"MC";"DI";"Z3";"A1"
144.5;153.4;8.9;"Remate";"2";"8.15";"MC";"DI";"Z3";"A1"
153.5;163.1;9.6;"Marcaje";"2";"8.16";"MC";"DI";"Z2";"A2"
163.2;172.2;9.0;"Marcaje Clasico";"2";"8.17";"MC";"DC";"Z2";"A2"
172.3;181.5;9.2;"Marcaje";"2";"8.18";"MC";"DI";"Z2";"A2"
181.6;190.0;8.4;"Escobilla";"2";"8.21";"MI";"DI";"Z3";"A1"
190.0;195.1;5.1;"Cierre";"1";"8.22";"MI";"DI";"Z3";"A1"

