Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra;Dance_Step
3.2;15.5;12.3;Salida;1;19.1;MC;DI;Z1;A3;19.22
15.5;35.0;19.5;Salida;2;19.2;MC;DI;Z1;A3;19.23
35.0;53.6;18.6;Baile;2;19.3;MC;DI;Z1;A3;19.24
53.6;62.4;8.8;Escobilla;1;19.17;MI;DI;Z3;A1;19.25
62.4;71.4;9.0;Escobilla;1;19.5;MC;DI;Z3;A1;19.26
71.4;79.2;7.8;Cierre;1;19.6;MC;DI;Z3;A1;19.27
79.2;88.9;9.7;Respiro;1;19.18;MI;DI;Z1;A1;19.28
88.9;97.5;8.6;Falseta;1;19.9;MC;DI;Z1;A3;19.29
97.5;106.6;9.1;Falseta;1;19.10;MC;DI;Z1;A3;19.30
106.6;124.5;17.9;Marcajes;1;19.11;MC;DI;Z3;A3;19.31
124.6;144.5;19.9;Marcaje;2;19.19;MI;DI;Z2;A2;19.32
144.5;154.5;10.0;Baile;1;19.15;MC;DI;Z1;A2;19.33
154.6;172.1;17.5;Remate;1;19.16;MC;DI;Z3;A2;19.34
172.1;181.7;9.6;Cierre;1;19.20;MI;DI;Z2;A1;19.35

