"Begin Time - ss.msec";"End Time - ss.msec";"Duration - ss.msec";"Sequence";"Bloques";"Step";"Music_Mode";"Category";"Baile";"Guitarra"
3.5;10.3;6.8;"Introduction";"1";"5.1";"MC";"DC";"Z1";"A1"
10.4;23.3;12.9;"Salida";"2";"5.2";"MC";"DC";"Z1";"A3"
23.3;36.7;13.4;"Marcaje";"2";"5.3";"MC";"DC";"Z2";"A3"
36.8;40.5;3.7;"Cierre";"0.5";"5.4";"MC";"DC";"Z2";"A1"
40.5;47.3;6.8;"Marcaje; Pitos";"1";"5.5";"MC";"DC";"Z2";"A1"
47.3;61.2;13.9;"Marcaje";"2";"5.6";"MC";"DC";"Z2";"A1"
61.3;68.1;6.8;"Cierre";"1";"5.7";"MC";"DC";"Z3";"A1"
68.2;73.3;5.1;"Baile";"0.75";"5.8";"MC";"DC";"Z1";"A1"
73.4;81.8;8.4;"Marcaje";"1.25";"5.9";"MC";"DC";"Z2";"A1"
81.9;93.9;12.0;"Marcaje";"1.75";"5.10";"MC";"DC";"Z2";"A1"
94.0;95.5;1.5;"Cierre";"0.25";"5.11";"MC";"DC";"Z2";"A1"
95.6;104.04;8.44;"Baile Marcaje";"1";"5.12";"MC";"DC";"Z2";"A1"
104.1;110.4;6.3;"Respiro Pitos";"0.75";"5.13";"MC";"DC";"Z2";"A1"
110.5;120.8;10.3;"Llamada Cierre";"1.5";"5.14";"MC";"DC";"Z3";"A1"

