Label: FSR adapter 16: FSR.A 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.B 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.C 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.D 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Start Trigger Method: Trigno Wireless System (start trigger)
Stop Trigger Method: Trigno Wireless System (stop trigger)
Use Camera: NO
Video File Path: 
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
X [s],FSR adapter 16: FSR.A 16 [%],FSR adapter 16: FSR.B 16 [%],FSR adapter 16: FSR.C 16 [%],FSR adapter 16: FSR.D 16 [%]
1.099286e-001,-7.035290e-004,3.204959e+000,2.083533e+001,-1.154917e-002
1.118571e-001,-5.351662e-003,3.192564e+000,2.082913e+001,-1.154917e-002
1.137857e-001,-5.351662e-003,3.183268e+000,2.082293e+001,-1.154917e-002
1.157143e-001,-5.351662e-003,3.169323e+000,2.081983e+001,-9.999795e-003
1.176429e-001,-5.351662e-003,3.150731e+000,2.081209e+001,-1.154917e-002
1.195714e-001,-3.802284e-003,3.135237e+000,2.080744e+001,-1.154917e-002
1.215000e-001,-6.901040e-003,3.122842e+000,2.079504e+001,-9.999795e-003
1.234286e-001,-8.450417e-003,3.115095e+000,2.078265e+001,-9.999795e-003
1.253571e-001,-1.309855e-002,3.110447e+000,2.077490e+001,-1.154917e-002
1.272857e-001,-1.309855e-002,3.107348e+000,2.076406e+001,-9.999795e-003
1.292143e-001,-1.309855e-002,3.099601e+000,2.075786e+001,-9.999795e-003
1.311429e-001,-1.309855e-002,3.093404e+000,2.074856e+001,-1.309855e-002
1.330714e-001,-1.464793e-002,3.084107e+000,2.073927e+001,-1.154917e-002
1.350000e-001,-1.619731e-002,3.076360e+000,2.072687e+001,-9.999795e-003
1.369286e-001,-1.619731e-002,3.065515e+000,2.071758e+001,-1.154917e-002
1.388571e-001,-1.619731e-002,3.057768e+000,2.071138e+001,-8.450417e-003
1.407857e-001,-1.464793e-002,3.053120e+000,2.070363e+001,-1.154917e-002
1.427143e-001,-1.774668e-002,3.045373e+000,2.069588e+001,-1.154917e-002
1.446429e-001,-1.619731e-002,3.040725e+000,2.068814e+001,-9.999795e-003
1.465714e-001,-1.464793e-002,3.032978e+000,2.067264e+001,-1.154917e-002
1.485000e-001,-1.619731e-002,3.020583e+000,2.065250e+001,-1.154917e-002
1.504286e-001,-1.464793e-002,3.014385e+000,2.063701e+001,-1.154917e-002
1.523571e-001,-1.464793e-002,3.006639e+000,2.061687e+001,-9.999795e-003
1.542857e-001,-1.464793e-002,3.000441e+000,2.059827e+001,-1.154917e-002
1.562143e-001,-1.464793e-002,2.995793e+000,2.058278e+001,-1.154917e-002
1.581429e-001,-1.464793e-002,2.994243e+000,2.057038e+001,-1.309855e-002
1.600714e-001,-1.464793e-002,2.989595e+000,2.056419e+001,-1.154917e-002
1.620000e-001,-1.619731e-002,2.983398e+000,2.055489e+001,-9.999795e-003
1.639286e-001,-1.464793e-002,2.975651e+000,2.054559e+001,-1.309855e-002
1.658571e-001,-1.464793e-002,2.969454e+000,2.053475e+001,-1.154917e-002
1.677857e-001,-1.464793e-002,2.967904e+000,2.052390e+001,-1.154917e-002
1.697143e-001,-1.464793e-002,2.966355e+000,2.051306e+001,-9.999795e-003
1.716429e-001,-1.619731e-002,2.969454e+000,2.050376e+001,-1.309855e-002
1.735714e-001,-1.619731e-002,2.967904e+000,2.049601e+001,-1.154917e-002
1.755000e-001,-1.619731e-002,2.964805e+000,2.048517e+001,-1.154917e-002
1.774286e-001,-1.619731e-002,2.960157e+000,2.047277e+001,-1.309855e-002
1.793571e-001,-1.464793e-002,2.957058e+000,2.046038e+001,-9.999795e-003
1.812857e-001,-1.619731e-002,2.953960e+000,2.044798e+001,-1.154917e-002
1.832143e-001,-1.464793e-002,2.953960e+000,2.044024e+001,-9.999795e-003
1.851429e-001,-1.309855e-002,2.953960e+000,2.043249e+001,-9.999795e-003
1.870714e-001,-1.464793e-002,2.955509e+000,2.042474e+001,-1.154917e-002
1.890000e-001,-1.309855e-002,2.958608e+000,2.041854e+001,-1.154917e-002
1.909286e-001,-1.309855e-002,2.960157e+000,2.041080e+001,-1.154917e-002
1.928571e-001,-1.309855e-002,2.961707e+000,2.040460e+001,-9.999795e-003
1.947857e-001,-9.999795e-003,2.966355e+000,2.040460e+001,-1.154917e-002
1.967143e-001,-5.351662e-003,2.971003e+000,2.040460e+001,-1.154917e-002
1.986429e-001,-5.351662e-003,2.974102e+000,2.039840e+001,-1.154917e-002
2.005714e-001,-2.252907e-003,2.978750e+000,2.040150e+001,-1.154917e-002
2.025000e-001,-7.035290e-004,2.986497e+000,2.040460e+001,-1.154917e-002
2.044286e-001,-7.035290e-004,2.991145e+000,2.040460e+001,-9.999795e-003
2.063571e-001,-3.802284e-003,2.994243e+000,2.040460e+001,-1.154917e-002
2.082857e-001,-6.901040e-003,2.998892e+000,2.040460e+001,-9.999795e-003
2.102143e-001,-5.351662e-003,3.001990e+000,2.040460e+001,-9.999795e-003
2.121429e-001,-8.450417e-003,3.005089e+000,2.040460e+001,-1.154917e-002
2.140714e-001,-6.901040e-003,3.008188e+000,2.040305e+001,-1.154917e-002
2.160000e-001,-6.901040e-003,3.017484e+000,2.040305e+001,-1.154917e-002
2.179286e-001,-5.351662e-003,3.026780e+000,2.040305e+001,-1.309855e-002
2.198571e-001,-3.802284e-003,3.036077e+000,2.040150e+001,-1.154917e-002
2.217857e-001,-2.252907e-003,3.045373e+000,2.040150e+001,-1.154917e-002
2.237143e-001,-2.252907e-003,3.054669e+000,2.040150e+001,-9.999795e-003
2.256429e-001,-7.035290e-004,3.057768e+000,2.040150e+001,-1.154917e-002
2.275714e-001,-2.252907e-003,3.059317e+000,2.040305e+001,-1.154917e-002
2.295000e-001,-3.802284e-003,3.063966e+000,2.040460e+001,-9.999795e-003
2.314286e-001,-2.252907e-003,3.068614e+000,2.040460e+001,-1.154917e-002
2.333571e-001,5.493982e-003,3.077910e+000,2.040615e+001,-9.999795e-003
2.352857e-001,1.169149e-002,3.090305e+000,2.040770e+001,-1.154917e-002
2.372143e-001,1.633963e-002,3.101151e+000,2.041235e+001,-9.999795e-003
2.391429e-001,2.098776e-002,3.110447e+000,2.041390e+001,-1.154917e-002
2.410714e-001,1.788900e-002,3.118194e+000,2.042009e+001,-1.154917e-002
2.430000e-001,1.324087e-002,3.127490e+000,2.042009e+001,-1.309855e-002
2.449286e-001,1.014211e-002,3.138336e+000,2.042319e+001,-1.154917e-002
2.468571e-001,1.014211e-002,3.150731e+000,2.042629e+001,-9.999795e-003
2.487857e-001,3.944604e-003,3.163126e+000,2.042629e+001,-1.154917e-002
2.507143e-001,-7.035290e-004,3.175521e+000,2.042939e+001,-9.999795e-003
2.526429e-001,-7.035290e-004,3.184817e+000,2.043249e+001,-1.309855e-002
2.545714e-001,2.395226e-003,3.197212e+000,2.043559e+001,-1.154917e-002
2.565000e-001,2.395226e-003,3.204959e+000,2.044179e+001,-1.309855e-002
2.584286e-001,5.493982e-003,3.211156e+000,2.044488e+001,-1.154917e-002
2.603571e-001,3.944604e-003,3.220453e+000,2.044798e+001,-9.999795e-003
2.622857e-001,-7.035290e-004,3.234397e+000,2.045418e+001,-1.154917e-002
2.642143e-001,-2.252907e-003,3.252990e+000,2.046038e+001,-1.154917e-002
2.661429e-001,-7.035290e-004,3.268483e+000,2.046348e+001,-1.309855e-002
2.680714e-001,2.395226e-003,3.280878e+000,2.046968e+001,-9.999795e-003
2.700000e-001,3.944604e-003,3.293273e+000,2.047432e+001,-9.999795e-003
2.719286e-001,7.043359e-003,3.304119e+000,2.048207e+001,-1.154917e-002
2.738571e-001,8.592737e-003,3.310317e+000,2.049137e+001,-1.154917e-002
2.757857e-001,1.324087e-002,3.318063e+000,2.049756e+001,-1.154917e-002
2.777143e-001,1.943838e-002,3.322711e+000,2.050841e+001,-9.999795e-003
2.796429e-001,2.253714e-002,3.327360e+000,2.051461e+001,-1.154917e-002
2.815714e-001,2.098776e-002,3.330458e+000,2.052080e+001,-1.154917e-002
2.835000e-001,1.788900e-002,3.333557e+000,2.052700e+001,-1.154917e-002
2.854286e-001,1.788900e-002,3.339755e+000,2.053165e+001,-1.154917e-002
2.873571e-001,2.253714e-002,3.352150e+000,2.053940e+001,-1.154917e-002
2.892857e-001,2.873465e-002,3.361446e+000,2.054404e+001,-1.154917e-002
2.912143e-001,3.493216e-002,3.372292e+000,2.055179e+001,-9.999795e-003
2.931429e-001,3.958029e-002,3.383137e+000,2.055644e+001,-1.154917e-002
2.950714e-001,4.112967e-002,3.390884e+000,2.055954e+001,-9.999795e-003
2.970000e-001,4.577780e-002,3.403279e+000,2.056419e+001,-9.999795e-003
2.989286e-001,5.197531e-002,3.409477e+000,2.056729e+001,-9.999795e-003
3.008571e-001,5.972220e-002,3.417224e+000,2.056883e+001,-9.999795e-003
3.027857e-001,6.746909e-002,3.424970e+000,2.056883e+001,-9.999795e-003
3.047143e-001,7.521597e-002,3.432717e+000,2.056729e+001,-1.154917e-002
3.066429e-001,7.521597e-002,3.438915e+000,2.056883e+001,-1.154917e-002
3.085714e-001,7.831473e-002,3.446662e+000,2.057193e+001,-9.999795e-003
3.105000e-001,7.986411e-002,3.455958e+000,2.057503e+001,-9.999795e-003
3.124286e-001,8.606162e-002,3.469903e+000,2.058123e+001,-1.154917e-002
3.143571e-001,8.916038e-002,3.491594e+000,2.058743e+001,-8.450417e-003
3.162857e-001,9.380851e-002,3.513285e+000,2.059053e+001,-1.154917e-002
3.182143e-001,9.535789e-002,3.531878e+000,2.059672e+001,-1.154917e-002
