Label: FSR adapter 16: FSR.A 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.B 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.C 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.D 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Start Trigger Method: Trigno Wireless System (start trigger)
Stop Trigger Method: Trigno Wireless System (stop trigger)
Use Camera: NO
Video File Path: 
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
X [s],FSR adapter 16: FSR.A 16 [%],FSR adapter 16: FSR.B 16 [%],FSR adapter 16: FSR.C 16 [%],FSR adapter 16: FSR.D 16 [%]
1.099286e-001,6.345413e-001,3.590754e+000,1.486403e+001,-9.999795e-003
1.118571e-001,6.360907e-001,3.589205e+000,1.486248e+001,-9.999795e-003
1.137857e-001,6.360907e-001,3.587655e+000,1.486248e+001,-9.999795e-003
1.157143e-001,6.360907e-001,3.589205e+000,1.486093e+001,-9.999795e-003
1.176429e-001,6.360907e-001,3.590754e+000,1.486093e+001,-1.154917e-002
1.195714e-001,6.376401e-001,3.590754e+000,1.485783e+001,-1.154917e-002
1.215000e-001,6.360907e-001,3.589205e+000,1.485783e+001,-1.154917e-002
1.234286e-001,6.345413e-001,3.590754e+000,1.485628e+001,-9.999795e-003
1.253571e-001,6.360907e-001,3.589205e+000,1.485473e+001,-1.154917e-002
1.272857e-001,6.345413e-001,3.590754e+000,1.485473e+001,-9.999795e-003
1.292143e-001,6.345413e-001,3.590754e+000,1.485318e+001,-1.154917e-002
1.311429e-001,6.345413e-001,3.590754e+000,1.485318e+001,-9.999795e-003
1.330714e-001,6.360907e-001,3.590754e+000,1.484853e+001,-1.154917e-002
1.350000e-001,6.345413e-001,3.589205e+000,1.485163e+001,-9.999795e-003
1.369286e-001,6.345413e-001,3.589205e+000,1.485008e+001,-9.999795e-003
1.388571e-001,6.360907e-001,3.592303e+000,1.485008e+001,-1.154917e-002
1.407857e-001,6.345413e-001,3.590754e+000,1.485163e+001,-9.999795e-003
1.427143e-001,6.345413e-001,3.592303e+000,1.485163e+001,-9.999795e-003
1.446429e-001,6.329919e-001,3.590754e+000,1.485163e+001,-1.154917e-002
1.465714e-001,6.345413e-001,3.593853e+000,1.485163e+001,-1.309855e-002
1.485000e-001,6.345413e-001,3.590754e+000,1.485163e+001,-1.154917e-002
1.504286e-001,6.345413e-001,3.590754e+000,1.485318e+001,-1.154917e-002
1.523571e-001,6.329919e-001,3.590754e+000,1.485473e+001,-9.999795e-003
1.542857e-001,6.329919e-001,3.590754e+000,1.485473e+001,-1.154917e-002
1.562143e-001,6.345413e-001,3.590754e+000,1.485473e+001,-8.450417e-003
1.581429e-001,6.329919e-001,3.590754e+000,1.485783e+001,-1.154917e-002
1.600714e-001,6.345413e-001,3.590754e+000,1.485783e+001,-1.309855e-002
1.620000e-001,6.345413e-001,3.589205e+000,1.486093e+001,-9.999795e-003
1.639286e-001,6.360907e-001,3.590754e+000,1.486403e+001,-9.999795e-003
1.658571e-001,6.360907e-001,3.592303e+000,1.486557e+001,-9.999795e-003
1.677857e-001,6.345413e-001,3.590754e+000,1.486867e+001,-9.999795e-003
1.697143e-001,6.329919e-001,3.592303e+000,1.486867e+001,-1.154917e-002
1.716429e-001,6.329919e-001,3.590754e+000,1.487022e+001,-1.154917e-002
1.735714e-001,6.345413e-001,3.590754e+000,1.487022e+001,-1.154917e-002
1.755000e-001,6.345413e-001,3.590754e+000,1.487022e+001,-1.154917e-002
1.774286e-001,6.314425e-001,3.590754e+000,1.487022e+001,-9.999795e-003
1.793571e-001,6.283438e-001,3.590754e+000,1.487022e+001,-1.154917e-002
1.812857e-001,6.252450e-001,3.589205e+000,1.487022e+001,-1.154917e-002
1.832143e-001,6.236957e-001,3.589205e+000,1.487177e+001,-1.154917e-002
1.851429e-001,6.174982e-001,3.587655e+000,1.487332e+001,-9.999795e-003
1.870714e-001,6.190475e-001,3.587655e+000,1.487332e+001,-1.154917e-002
1.890000e-001,6.190475e-001,3.586106e+000,1.487487e+001,-1.154917e-002
1.909286e-001,6.159488e-001,3.589205e+000,1.487487e+001,-1.154917e-002
1.928571e-001,6.174982e-001,3.587655e+000,1.487487e+001,-9.999795e-003
1.947857e-001,6.159488e-001,3.587655e+000,1.487642e+001,-9.999795e-003
1.967143e-001,6.159488e-001,3.587655e+000,1.487797e+001,-9.999795e-003
1.986429e-001,6.174982e-001,3.586106e+000,1.487642e+001,-1.154917e-002
2.005714e-001,6.143994e-001,3.584556e+000,1.487642e+001,-1.154917e-002
2.025000e-001,6.159488e-001,3.583007e+000,1.487952e+001,-9.999795e-003
2.044286e-001,6.143994e-001,3.583007e+000,1.487797e+001,-9.999795e-003
2.063571e-001,6.143994e-001,3.583007e+000,1.487952e+001,-1.154917e-002
2.082857e-001,6.159488e-001,3.583007e+000,1.487952e+001,-8.450417e-003
2.102143e-001,6.159488e-001,3.579908e+000,1.487952e+001,-1.154917e-002
2.121429e-001,6.159488e-001,3.583007e+000,1.488107e+001,-1.154917e-002
2.140714e-001,6.143994e-001,3.581458e+000,1.487952e+001,-1.154917e-002
2.160000e-001,6.159488e-001,3.581458e+000,1.488107e+001,-9.999795e-003
2.179286e-001,6.159488e-001,3.583007e+000,1.488107e+001,-1.154917e-002
2.198571e-001,6.174982e-001,3.584556e+000,1.488262e+001,-9.999795e-003
2.217857e-001,6.159488e-001,3.584556e+000,1.488262e+001,-1.154917e-002
2.237143e-001,6.174982e-001,3.584556e+000,1.488262e+001,-9.999795e-003
2.256429e-001,6.174982e-001,3.584556e+000,1.488572e+001,-9.999795e-003
