Name,Participant,GDSI,GMSI,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b,Abs_Av,Perf_Av,SFS,Artist,Dance_mode,Music_mode,Palo,Condition,Pair
P8_D5_G4_M5_R2_T1,P8,5.45,4.944444444,5,4,7,5,2,2,6,6,5.0,5,5,2,4,4,4.0,4.0,5.0,4.0,4.0,6.0,4.0,4.25,4.666666666666667,4.458333333333334,P,D5,M5,R2,D5_M5,P8_G4
P8_D1_G4_M1_R2_T1,P8,5.45,4.944444444,7,6,7,7,7,7,6,7,7.0,7,6,1,6,6,6.0,5.0,7.0,4.0,5.0,6.0,6.0,5.5,6.666666666666667,6.083333333333334,P,D1,M1,R2,D1_M1,P8_G4
P8_D6_G4_M6_R2_T2,P8,5.45,4.944444444,5,5,3,4,7,7,3,4,5.0,5,5,1,5,5,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.75,4.833333333333333,4.291666666666666,P,D6,M6,R2,D6_M6,P8_G4
P8_D0_G4_M6_R1_T1,G4,4.25,6.111111111,4,5,3,6,7,6,6,5,4.0,6,6,5,2,4,,,3.0,5.0,5.0,4.0,4.0,5.0,5.666666666666667,5.333333333333334,G,D0,M6,R1,D0_M6,P8_G4
P8_D6_G4_M6_R1_T1,G4,4.25,6.111111111,4,3,4,6,5,5,5,4,4.0,6,5,3,3,3,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,5.166666666666667,4.583333333333334,G,D6,M6,R1,D6_M6,P8_G4
P8_D5_G4_M6_R1_T1,G4,4.25,6.111111111,4,4,3,5,7,5,5,6,4.0,3,4,2,5,5,4.0,4.0,4.0,3.0,4.0,5.0,6.0,4.5,4.333333333333333,4.416666666666666,G,D5,M6,R1,D5_M6,P8_G4
P8_D1_G4_M6_R1_T1,G4,4.25,6.111111111,5,5,3,5,6,6,5,6,5.0,3,4,2,6,6,6.0,5.0,5.0,6.0,5.0,5.0,6.0,4.25,4.666666666666667,4.458333333333334,G,D1,M6,R1,D1_M6,P8_G4
P8_D5_G4_M5_R1_T1,G4,4.25,6.111111111,5,5,3,5,6,4,6,6,4.0,3,3,2,5,6,6.0,4.0,3.0,5.0,4.0,5.0,5.0,4.25,4.166666666666667,4.208333333333334,G,D5,M5,R1,D5_M5,P8_G4
P8_D1_G4_M1_R1_T1,G4,4.25,6.111111111,7,6,2,6,7,7,6,7,,2,2,1,6,6,7.0,6.0,6.0,6.0,6.0,6.0,6.0,4.25,4.6,4.425,G,D1,M1,R1,D1_M1,P8_G4
P8_D6_G4_M6_R1_T2,G4,4.25,6.111111111,4,4,2,6,6,6,5,5,5.0,6,5,2,3,4,5.0,5.0,5.0,6.0,5.0,5.0,6.0,3.75,5.5,4.625,G,D6,M6,R1,D6_M6,P8_G4
P8_D0_G4_M6_R2_T1,G4,4.25,6.111111111,2,5,1,5,7,7,6,6,6.0,7,7,2,6,5,,,5.0,6.0,5.0,4.0,5.0,4.0,6.333333333333333,5.166666666666666,G,D0,M6,R2,D0_M6,P8_G4
P8_D6_G4_M6_R2_T1,G4,4.25,6.111111111,5,5,2,6,6,6,6,6,5.0,6,5,2,6,6,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,5.666666666666667,4.833333333333334,G,D6,M6,R2,D6_M6,P8_G4
P8_D5_G4_M6_R2_T1,G4,4.25,6.111111111,2,4,2,6,6,6,5,5,5.0,4,4,2,6,5,6.0,5.0,5.0,5.0,4.0,4.0,4.0,3.75,5.0,4.375,G,D5,M6,R2,D5_M6,P8_G4
P8_D1_G4_M6_R2_T1,G4,4.25,6.111111111,3,5,2,5,7,6,6,6,6.0,6,5,2,6,5,6.0,5.0,5.0,5.0,5.0,4.0,5.0,4.25,5.666666666666667,4.958333333333334,G,D1,M6,R2,D1_M6,P8_G4
P8_D5_G4_M5_R2_T1,G4,4.25,6.111111111,6,6,2,6,7,6,6,7,6.0,2,4,1,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.25,5.0,4.625,G,D5,M5,R2,D5_M5,P8_G4
P8_D1_G4_M1_R2_T1,G4,4.25,6.111111111,7,5,4,5,7,6,6,7,5.0,2,2,1,6,6,5.0,5.0,5.0,4.0,6.0,7.0,7.0,4.75,4.333333333333333,4.541666666666666,G,D1,M1,R2,D1_M1,P8_G4
P8_D6_G4_M6_R2_T2,G4,4.25,6.111111111,4,4,3,5,6,6,6,6,6.0,6,6,2,3,3,6.0,6.0,6.0,6.0,5.0,5.0,6.0,4.25,5.833333333333333,5.041666666666666,G,D6,M6,R2,D6_M6,P8_G4
P9_D6_G4_M6_R1_T1,P9,6.15,4.944444444,1,1,1,6,7,7,7,6,6.0,6,6,1,3,3,6.0,6.0,6.0,6.0,4.0,4.0,6.0,3.75,6.333333333333333,5.041666666666666,P,D6,M6,R1,D6_M6,P9_G4
P9_D5_G4_M6_R1_T1,P9,6.15,4.944444444,4,5,4,6,6,6,5,6,5.0,5,5,2,6,6,6.0,6.0,4.0,6.0,5.0,5.0,5.0,4.5,5.333333333333333,4.916666666666666,P,D5,M6,R1,D5_M6,P9_G4
P9_D1_G4_M6_R1_T1,P9,6.15,4.944444444,7,6,1,7,7,7,7,6,7.0,7,6,1,6,6,7.0,7.0,7.0,6.0,6.0,6.0,6.0,3.75,6.833333333333333,5.291666666666666,P,D1,M6,R1,D1_M6,P9_G4
P9_D5_G4_M5_R1_T1,P9,6.15,4.944444444,5,5,1,6,7,7,6,6,6.0,6,6,1,7,7,7.0,7.0,7.0,7.0,5.0,5.0,5.0,3.75,6.166666666666667,4.958333333333334,P,D5,M5,R1,D5_M5,P9_G4
P9_D1_G4_M1_R1_T1,P9,6.15,4.944444444,7,6,1,6,7,7,7,6,7.0,7,7,1,7,7,7.0,5.0,7.0,6.0,6.0,6.0,6.0,3.75,6.833333333333333,5.291666666666666,P,D1,M1,R1,D1_M1,P9_G4
P9_D6_G4_M6_R1_T2,P9,6.15,4.944444444,2,6,1,7,7,7,7,5,7.0,7,7,1,6,6,6.0,7.0,7.0,6.0,6.0,6.0,6.0,3.5,7.0,5.25,P,D6,M6,R1,D6_M6,P9_G4
P9_D6_G4_M6_R2_T1,P9,6.15,4.944444444,3,6,1,6,7,5,5,6,5.0,5,5,1,3,3,6.0,6.0,6.0,6.0,6.0,4.0,1.0,3.75,5.166666666666667,4.458333333333334,P,D6,M6,R2,D6_M6,P9_G4
P9_D5_G4_M6_R2_T1,P9,6.15,4.944444444,4,5,1,6,7,2,6,6,6.0,7,6,1,5,5,6.0,6.0,6.0,5.0,5.0,5.0,4.0,3.75,5.5,4.625,P,D5,M6,R2,D5_M6,P9_G4
P9_D1_G4_M6_R2_T1,P9,6.15,4.944444444,7,5,1,7,7,7,7,7,7.0,7,6,1,7,6,7.0,7.0,7.0,7.0,6.0,7.0,6.0,4.0,6.833333333333333,5.416666666666666,P,D1,M6,R2,D1_M6,P9_G4
P9_D5_G4_M5_R2_T1,P9,6.15,4.944444444,6,6,4,4,4,4,4,3,3.0,3,4,1,4,4,5.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,3.6666666666666665,3.333333333333333,P,D5,M5,R2,D5_M5,P9_G4
P9_D1_G4_M1_R2_T1,P9,6.15,4.944444444,7,7,1,7,7,7,7,7,7.0,7,6,1,7,7,7.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,6.833333333333333,5.416666666666666,P,D1,M1,R2,D1_M1,P9_G4
P9_D6_G4_M6_R2_T2,P9,6.15,4.944444444,1,6,3,7,7,7,7,7,7.0,6,7,1,5,5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.5,6.833333333333333,5.666666666666666,P,D6,M6,R2,D6_M6,P9_G4
P9_D0_G4_M6_R1_T1,G4,4.25,6.111111111,3,3,3,4,5,4,4,3,3.0,6,4,5,4,4,,,4.0,5.0,4.0,4.0,4.0,4.0,4.166666666666667,4.083333333333334,G,D0,M6,R1,D0_M6,P9_G4
P9_D6_G4_M6_R1_T1,G4,4.25,6.111111111,3,4,4,6,7,6,6,7,6.0,7,7,1,6,6,7.0,7.0,6.0,7.0,6.0,5.0,4.0,4.75,6.333333333333333,5.541666666666666,G,D6,M6,R1,D6_M6,P9_G4
P9_D5_G4_M6_R1_T1,G4,4.25,6.111111111,4,5,1,5,7,7,7,7,5.0,7,7,1,5,5,6.0,7.0,7.0,7.0,6.0,6.0,5.0,4.0,6.333333333333333,5.166666666666666,G,D5,M6,R1,D5_M6,P9_G4
P9_D1_G4_M6_R1_T1,G4,4.25,6.111111111,4,6,4,6,6,6,5,6,6.0,6,6,2,6,5,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.5,5.833333333333333,5.166666666666666,G,D1,M6,R1,D1_M6,P9_G4
P9_D5_G4_M5_R1_T1,G4,4.25,6.111111111,6,5,5,5,7,6,5,6,6.0,3,4,1,6,6,6.0,5.0,5.0,6.0,5.0,4.0,5.0,4.75,4.833333333333333,4.791666666666666,G,D5,M5,R1,D5_M5,P9_G4
P9_D1_G4_M1_R1_T1,G4,4.25,6.111111111,7,6,6,5,7,6,6,7,6.0,2,2,1,7,7,6.0,5.0,4.0,5.0,5.0,6.0,6.0,5.25,4.5,4.875,G,D1,M1,R1,D1_M1,P9_G4
P9_D6_G4_M6_R1_T2,G4,4.25,6.111111111,3,4,3,6,6,6,6,6,6.0,6,5,2,6,6,6.0,6.0,5.0,6.0,6.0,5.0,5.0,4.25,5.833333333333333,5.041666666666666,G,D6,M6,R1,D6_M6,P9_G4
P9_D0_G4_M6_R2_T1,G4,4.25,6.111111111,4,5,5,5,6,5,5,5,4.0,5,5,2,4,5,,,5.0,5.0,4.0,4.0,4.0,4.5,4.833333333333333,4.666666666666666,G,D0,M6,R2,D0_M6,P9_G4
P9_D6_G4_M6_R2_T1,G4,4.25,6.111111111,4,5,4,6,6,6,5,6,5.0,6,6,2,5,5,6.0,5.0,5.0,6.0,6.0,5.0,5.0,4.5,5.666666666666667,5.083333333333334,G,D6,M6,R2,D6_M6,P9_G4
P9_D5_G4_M6_R2_T1,G4,4.25,6.111111111,4,5,4,5,6,6,6,6,6.0,6,6,2,4,4,6.0,6.0,4.0,5.0,5.0,6.0,5.0,4.5,5.833333333333333,5.166666666666666,G,D5,M6,R2,D5_M6,P9_G4
P9_D1_G4_M6_R2_T1,G4,4.25,6.111111111,5,5,5,5,6,6,6,6,5.0,4,4,2,4,5,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.75,5.0,4.875,G,D1,M6,R2,D1_M6,P9_G4
P9_D5_G4_M5_R2_T1,G4,4.25,6.111111111,5,6,5,6,7,6,5,6,6.0,4,2,1,6,7,7.0,6.0,6.0,6.0,6.0,6.0,6.0,4.75,4.833333333333333,4.791666666666666,G,D5,M5,R2,D5_M5,P9_G4
P9_D1_G4_M1_R2_T1,G4,4.25,6.111111111,6,6,6,5,7,7,6,7,6.0,3,3,1,7,7,7.0,6.0,6.0,6.0,6.0,7.0,7.0,5.25,5.0,5.125,G,D1,M1,R2,D1_M1,P9_G4
P9_D6_G4_M6_R2_T2,G4,4.25,6.111111111,4,5,4,5,6,6,5,5,6.0,6,5,2,5,5,6.0,6.0,4.0,5.0,5.0,6.0,6.0,4.25,5.5,4.875,G,D6,M6,R2,D6_M6,P9_G4
P11_D0_G6_M6_R1_T1,G6,4.4,5.777777778,7,4,7,3,3,5,5,6,5.0,5,6,2,4,4,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.5,4.833333333333333,4.666666666666666,G,D0,M6,R1,D0_M6,P11_G6
P11_D6_G6_M6_R1_T1,G6,4.4,5.777777778,5,5,7,4,4,6,5,5,5.0,4,6,6,5,5,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.5,5.0,5.25,G,D6,M6,R1,D6_M6,P11_G6
P11_D5_G6_M6_R1_T1,G6,4.4,5.777777778,5,5,6,5,4,5,4,5,5.0,4,5,5,6,6,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.666666666666667,4.833333333333334,G,D5,M6,R1,D5_M6,P11_G6
P11_D1_G6_M6_R1_T1,G6,4.4,5.777777778,4,5,6,6,6,6,4,5,5.0,5,5,2,5,6,6.0,6.0,5.0,6.0,4.0,5.0,5.0,4.75,5.166666666666667,4.958333333333334,G,D1,M6,R1,D1_M6,P11_G6
P11_D5_G6_M5_R1_T1,G6,4.4,5.777777778,5,6,7,5,3,3,5,5,5.0,6,6,5,6,5,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,G,D5,M5,R1,D5_M5,P11_G6
P11_D1_G6_M1_R1_T1,G6,4.4,5.777777778,5,6,5,4,4,3,3,4,4.0,4,6,3,4,5,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,G,D1,M1,R1,D1_M1,P11_G6
P11_D6_G6_M6_R1_T2,G6,4.4,5.777777778,3,4,6,5,2,2,5,5,6.0,6,6,2,5,5,6.0,5.0,5.0,6.0,5.0,5.0,6.0,3.75,5.0,4.375,G,D6,M6,R1,D6_M6,P11_G6
P11_D0_G6_M6_R2_T1,G6,4.4,5.777777778,2,5,7,4,5,6,5,4,4.0,5,4,2,5,4,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.5,4.666666666666667,4.583333333333334,G,D0,M6,R2,D0_M6,P11_G6
P11_D6_G6_M6_R2_T1,G6,4.4,5.777777778,3,5,7,5,5,6,5,5,5.0,4,5,2,5,5,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.75,5.0,4.875,G,D6,M6,R2,D6_M6,P11_G6
P11_D5_G6_M6_R2_T1,G6,4.4,5.777777778,3,4,7,5,4,6,5,6,5.0,6,5,2,6,5,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.75,5.333333333333333,5.041666666666666,G,D5,M6,R2,D5_M6,P11_G6
P11_D1_G6_M6_R2_T1,G6,4.4,5.777777778,2,5,7,6,5,6,5,5,5.0,5,5,2,5,5,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.75,5.333333333333333,5.041666666666666,G,D1,M6,R2,D1_M6,P11_G6
P11_D5_G6_M5_R2_T1,G6,4.4,5.777777778,5,5,4,5,3,6,5,6,5.0,6,5,2,5,5,5.0,6.0,5.0,6.0,6.0,5.0,5.0,3.75,5.333333333333333,4.541666666666666,G,D5,M5,R2,D5_M5,P11_G6
P11_D1_G6_M1_R2_T1,G6,4.4,5.777777778,7,6,6,5,3,6,6,6,5.0,5,6,2,6,5,5.0,5.0,5.0,6.0,5.0,6.0,6.0,4.25,5.5,4.875,G,D1,M1,R2,D1_M1,P11_G6
P11_D6_G6_M6_R2_T2,G6,4.4,5.777777778,3,5,6,5,2,3,3,5,5.0,5,6,5,5,4,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,G,D6,M6,R2,D6_M6,P11_G6
P11_D6_G6_M6_R1_T1,P11,6.35,4.888888889,7,4,4,4,4,4,2,4,4.0,3,2,1,1,1,4.0,4.0,2.0,4.0,4.0,1.0,1.0,3.25,3.1666666666666665,3.208333333333333,P,D6,M6,R1,D6_M6,P11_G6
P11_D5_G6_M6_R1_T1,P11,6.35,4.888888889,7,5,5,4,7,5,4,5,5.0,4,4,1,4,4,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.5,4.333333333333333,4.416666666666666,P,D5,M6,R1,D5_M6,P11_G6
P11_D1_G6_M6_R1_T1,P11,6.35,4.888888889,6,6,2,7,7,7,5,4,6.0,2,4,1,4,4,6.0,6.0,6.0,4.0,3.0,2.0,4.0,3.5,5.166666666666667,4.333333333333334,P,D1,M6,R1,D1_M6,P11_G6
P11_D5_G6_M5_R1_T1,P11,6.35,4.888888889,7,6,1,4,7,7,6,5,4.0,2,1,1,6,4,6.0,6.0,6.0,6.0,6.0,3.0,2.0,3.5,4.0,3.75,P,D5,M5,R1,D5_M5,P11_G6
P11_D1_G6_M1_R1_T1,P11,6.35,4.888888889,5,4,4,4,4,4,2,4,5.0,5,1,5,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.25,3.5,3.875,P,D1,M1,R1,D1_M1,P11_G6
P11_D6_G6_M6_R1_T2,P11,6.35,4.888888889,5,4,4,4,4,4,4,6,4.0,4,1,1,1,1,1.0,4.0,6.0,4.0,4.0,5.0,2.0,3.75,3.5,3.625,P,D6,M6,R1,D6_M6,P11_G6
P11_D6_G6_M6_R2_T1,P11,6.35,4.888888889,3,4,4,3,7,4,1,7,1.0,4,4,1,1,1,4.0,4.0,5.0,6.0,4.0,3.0,4.0,4.75,2.8333333333333335,3.791666666666667,P,D6,M6,R2,D6_M6,P11_G6
P11_D5_G6_M6_R2_T1,P11,6.35,4.888888889,7,5,6,6,7,7,3,7,6.0,1,4,1,4,4,4.0,6.0,7.0,7.0,6.0,4.0,4.0,5.25,4.5,4.875,P,D5,M6,R2,D5_M6,P11_G6
P11_D1_G6_M6_R2_T1,P11,6.35,4.888888889,7,6,5,4,7,7,4,7,4.0,4,1,1,3,3,4.0,5.0,6.0,5.0,5.0,3.0,4.0,5.0,4.0,4.5,P,D1,M6,R2,D1_M6,P11_G6
P11_D5_G6_M5_R2_T1,P11,6.35,4.888888889,7,6,5,7,4,4,3,4,6.0,2,1,1,4,4,5.0,5.0,5.0,7.0,5.0,4.0,4.0,3.5,3.8333333333333335,3.666666666666667,P,D5,M5,R2,D5_M5,P11_G6
P11_D1_G6_M1_R2_T1,P11,6.35,4.888888889,4,6,4,4,4,7,7,7,6.0,4,4,1,5,5,5.0,6.0,7.0,6.0,5.0,4.0,4.0,4.0,5.333333333333333,4.666666666666666,P,D1,M1,R2,D1_M1,P11_G6
P11_D6_G6_M6_R2_T2,P11,6.35,4.888888889,3,4,4,4,4,4,4,4,4.0,5,4,4,4,4,6.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,4.166666666666667,4.083333333333334,P,D6,M6,R2,D6_M6,P11_G6
P10_D0_G5_M6_R1_T1,G5,3.85,5.277777778,3,5,5,5,5,5,5,5,5.0,5,6,3,5,5,,,6.0,6.0,5.0,5.0,5.0,4.5,5.166666666666667,4.833333333333334,G,D0,M6,R1,D0_M6,P10_G5
P10_D6_G5_M6_R1_T1,G5,3.85,5.277777778,3,5,5,5,5,5,5,5,5.0,5,4,3,5,5,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.5,4.833333333333333,4.666666666666666,G,D6,M6,R1,D6_M6,P10_G5
P10_D5_G5_M6_R1_T1,G5,3.85,5.277777778,2,3,4,5,4,3,5,5,5.0,3,4,4,3,3,4.0,5.0,5.0,3.0,4.0,3.0,5.0,4.25,4.166666666666667,4.208333333333334,G,D5,M6,R1,D5_M6,P10_G5
P10_D1_G5_M6_R1_T1,G5,3.85,5.277777778,3,3,4,5,5,3,4,5,5.0,3,4,3,3,3,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.25,4.0,4.125,G,D1,M6,R1,D1_M6,P10_G5
P10_D5_G5_M5_R1_T1,G5,3.85,5.277777778,6,6,5,6,5,2,5,6,5.0,3,5,2,6,6,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.5,4.333333333333333,4.416666666666666,G,D5,M5,R1,D5_M5,P10_G5
P10_D1_G5_M1_R1_T1,G5,3.85,5.277777778,7,7,7,7,5,5,5,5,5.0,2,5,2,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.75,4.833333333333333,4.791666666666666,G,D1,M1,R1,D1_M1,P10_G5
P10_D6_G5_M6_R1_T2,G5,3.85,5.277777778,3,3,3,5,5,5,2,2,5.0,5,4,4,3,3,5.0,5.0,3.0,3.0,3.0,5.0,5.0,3.5,4.333333333333333,3.9166666666666665,G,D6,M6,R1,D6_M6,P10_G5
P10_D0_G5_M6_R2_T1,G5,3.85,5.277777778,3,3,4,3,3,5,3,3,3.0,3,3,5,3,2,3.0,5.0,3.0,5.0,3.0,5.0,5.0,3.75,3.3333333333333335,3.541666666666667,G,D0,M6,R2,D0_M6,P10_G5
P10_D6_G5_M6_R2_T1,G5,3.85,5.277777778,3,3,5,3,3,5,3,4,4.0,4,3,4,3,4,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.6666666666666665,3.833333333333333,G,D6,M6,R2,D6_M6,P10_G5
P10_D5_G5_M6_R2_T1,G5,3.85,5.277777778,3,4,5,5,4,5,4,5,4.0,4,3,3,4,4,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.25,4.166666666666667,4.208333333333334,G,D5,M6,R2,D5_M6,P10_G5
P10_D1_G5_M6_R2_T1,G5,3.85,5.277777778,5,5,5,5,5,4,4,5,4.0,3,3,3,4,5,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.5,3.8333333333333335,4.166666666666667,G,D1,M6,R2,D1_M6,P10_G5
P10_D5_G5_M5_R2_T1,G5,3.85,5.277777778,5,5,5,5,5,6,5,5,5.0,3,4,3,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.666666666666667,4.583333333333334,G,D5,M5,R2,D5_M5,P10_G5
P10_D1_G5_M1_R2_T1,G5,3.85,5.277777778,7,6,6,4,5,3,4,5,4.0,3,4,3,4,5,3.0,4.0,4.0,3.0,5.0,5.0,5.0,4.75,3.6666666666666665,4.208333333333333,G,D1,M1,R2,D1_M1,P10_G5
P10_D6_G5_M6_R2_T2,G5,3.85,5.277777778,3,3,5,4,3,4,4,3,5.0,3,4,5,3,3,4.0,5.0,4.0,4.0,,5.0,5.0,4.0,4.0,4.0,G,D6,M6,R2,D6_M6,P10_G5
P10_D6_G5_M6_R1_T1,P10,6.35,5.888888889,2,7,1,7,7,7,7,7,7.0,7,7,1,5,3,6.0,7.0,7.0,7.0,6.0,4.0,5.0,4.0,7.0,5.5,P,D6,M6,R1,D6_M6,P10_G5
P10_D5_G5_M6_R1_T1,P10,6.35,5.888888889,5,6,4,7,7,7,7,7,7.0,4,7,1,6,6,7.0,5.0,7.0,5.0,6.0,4.0,4.0,4.75,6.5,5.625,P,D5,M6,R1,D5_M6,P10_G5
P10_D1_G5_M6_R1_T1,P10,6.35,5.888888889,7,6,4,4,7,7,6,7,6.0,1,5,1,6,6,6.0,5.0,7.0,5.0,5.0,5.0,5.0,4.75,4.833333333333333,4.791666666666666,P,D1,M6,R1,D1_M6,P10_G5
P10_D5_G5_M5_R1_T1,P10,6.35,5.888888889,5,6,4,7,7,7,7,7,7.0,3,7,1,6,6,7.0,6.0,7.0,5.0,6.0,5.0,5.0,4.75,6.333333333333333,5.541666666666666,P,D5,M5,R1,D5_M5,P10_G5
P10_D1_G5_M1_R1_T1,P10,6.35,5.888888889,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,P,D1,M1,R1,D1_M1,P10_G5
P10_D6_G5_M6_R1_T2,P10,6.35,5.888888889,2,7,1,7,7,7,7,7,7.0,6,7,1,7,6,7.0,7.0,7.0,7.0,6.0,5.0,5.0,4.0,6.833333333333333,5.416666666666666,P,D6,M6,R1,D6_M6,P10_G5
P10_D6_G5_M6_R2_T1,P10,6.35,5.888888889,2,2,1,7,7,7,7,7,7.0,7,7,1,6,2,7.0,6.0,7.0,7.0,1.0,4.0,4.0,4.0,7.0,5.5,P,D6,M6,R2,D6_M6,P10_G5
P10_D5_G5_M6_R2_T1,P10,6.35,5.888888889,4,5,4,7,7,7,7,7,7.0,6,6,1,6,5,7.0,6.0,7.0,6.0,6.0,4.0,5.0,4.75,6.666666666666667,5.708333333333334,P,D5,M6,R2,D5_M6,P10_G5
P10_D1_G5_M6_R2_T1,P10,6.35,5.888888889,7,6,6,5,6,7,6,7,6.0,2,4,1,6,6,4.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,P,D1,M6,R2,D1_M6,P10_G5
P10_D5_G5_M5_R2_T1,P10,6.35,5.888888889,5,6,5,5,7,7,6,7,6.0,1,5,1,5,6,7.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,P,D5,M5,R2,D5_M5,P10_G5
P10_D1_G5_M1_R2_T1,P10,6.35,5.888888889,7,5,7,5,7,7,5,7,5.0,1,5,1,5,7,6.0,5.0,7.0,5.0,5.0,6.0,6.0,5.5,4.666666666666667,5.083333333333334,P,D1,M1,R2,D1_M1,P10_G5
P10_D6_G5_M6_R2_T2,P10,6.35,5.888888889,2,4,1,7,7,7,5,6,7.0,7,6,1,4,4,7.0,6.0,6.0,6.0,5.0,6.0,6.0,3.75,6.5,5.125,P,D6,M6,R2,D6_M6,P10_G5
P12_D0_G7_M6_R1_T1,G7,,,1,2,1,6,7,7,4,4,6.0,4,4,4,3,1,4.0,6.0,7.0,6.0,7.0,1.0,3.0,4.0,5.166666666666667,4.583333333333334,G,D0,M6,R1,D0_M6,P12_G7
P12_D6_G7_M6_R1_T1,G7,,,5,5,4,3,7,5,3,3,6.0,2,1,3,2,3,5.0,7.0,7.0,6.0,7.0,3.0,1.0,4.25,3.3333333333333335,3.791666666666667,G,D6,M6,R1,D6_M6,P12_G7
P12_D5_G7_M6_R1_T1,G7,,,5,6,3,7,7,6,7,7,7.0,2,4,1,6,7,7.0,7.0,5.0,7.0,7.0,5.0,3.0,4.5,5.5,5.0,G,D5,M6,R1,D5_M6,P12_G7
P12_D1_G7_M6_R1_T1,G7,,,3,5,1,5,6,4,5,4,5.0,2,3,4,3,3,4.0,4.0,4.0,5.0,6.0,4.0,5.0,3.75,4.0,3.875,G,D1,M6,R1,D1_M6,P12_G7
P12_D5_G7_M5_R1_T1,G7,,,5,5,4,5,7,5,3,4,5.0,2,3,4,4,5,5.0,6.0,5.0,6.0,7.0,4.0,3.0,4.75,3.8333333333333335,4.291666666666667,G,D5,M5,R1,D5_M5,P12_G7
P12_D1_G7_M1_R1_T1,G7,,,6,7,3,7,2,2,2,7,7.0,1,6,2,7,7,7.0,7.0,7.0,6.0,5.0,5.0,3.0,3.5,4.166666666666667,3.8333333333333335,G,D1,M1,R1,D1_M1,P12_G7
P12_D6_G7_M6_R1_T2,G7,,,3,5,3,4,6,2,5,4,4.0,3,3,4,5,4,5.0,5.0,6.0,7.0,5.0,4.0,5.0,4.25,3.5,3.875,G,D6,M6,R1,D6_M6,P12_G7
P12_D0_G7_M6_R2_T1,G7,,,3,4,5,4,4,3,4,5,,4,4,2,4,4,,,5.0,6.0,6.0,4.0,2.0,4.0,3.8,3.9,G,D0,M6,R2,D0_M6,P12_G7
P12_D6_G7_M6_R2_T1,G7,,,6,5,6,4,6,4,4,5,5.0,4,4,3,3,3,5.0,4.0,5.0,5.0,5.0,6.0,3.0,5.0,4.166666666666667,4.583333333333334,G,D6,M6,R2,D6_M6,P12_G7
P12_D5_G7_M6_R2_T1,G7,,,6,6,5,6,6,7,7,6,6.0,6,4,2,6,5,6.0,6.0,6.0,7.0,7.0,3.0,2.0,4.75,6.0,5.375,G,D5,M6,R2,D5_M6,P12_G7
P12_D1_G7_M6_R2_T1,G7,,,1,6,3,5,6,5,6,6,6.0,2,4,2,6,6,7.0,7.0,7.0,7.0,7.0,3.0,4.0,4.25,4.666666666666667,4.458333333333334,G,D1,M6,R2,D1_M6,P12_G7
P12_D5_G7_M5_R2_T1,G7,,,7,7,7,5,7,4,4,6,7.0,1,6,1,7,7,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.25,4.5,4.875,G,D5,M5,R2,D5_M5,P12_G7
P12_D1_G7_M1_R2_T1,G7,,,7,7,6,1,7,3,6,6,7.0,1,1,1,6,7,7.0,6.0,6.0,5.0,6.0,6.0,3.0,5.0,3.1666666666666665,4.083333333333333,G,D1,M1,R2,D1_M1,P12_G7
