Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b
P10_D5_G5_M5_R2_T1,G5,5,5,5,5,3,2,5,5,5,3,4,3,5,5,5,5,5,5,5,5,5
P10_D1_G5_M1_R2_T1,G5,7,6,6,4,3,5,4,5,4,3,4,3,4,5,3,4,4,3,5,5,5
P10_D6_G5_M6_R2_T2,G5,3,3,5,4,5,4,4,3,5,3,4,5,3,3,4,5,4,4,,5,5
W_P10_D6_G5_M6_R1_T1,P10,1,1,1,7,1,1,7,7,7,7,7,1,6,5,7,7,7,7,6,2,4
P10_D6_G5_M6_R1_T1,P10,2,7,1,7,1,1,7,7,7,7,7,1,5,3,6,7,7,7,6,4,5
P10_D5_G5_M6_R1_T1,P10,5,6,4,7,1,1,7,7,7,4,7,1,6,6,7,5,7,5,6,4,4
P10_D1_G5_M6_R1_T1,P10,7,6,4,4,1,1,6,7,6,1,5,1,6,6,6,5,7,5,5,5,5
P10_D5_G5_M5_R1_T1,P10,5,6,4,7,1,1,7,7,7,3,7,1,6,6,7,6,7,5,6,5,5
P10_D1_G5_M1_R1_T1,P10,7,6,4,7,1,1,7,7,7,1,7,1,6,6,7,6,7,5,6,6,6
P10_D6_G5_M6_R1_T2,P10,2,7,1,7,1,1,7,7,7,6,7,1,7,6,7,7,7,7,6,5,5
W_P10_D6_G5_M6_R2_T1,P10,2,4,2,7,2,1,7,7,7,7,7,1,6,3,7,7,7,7,7,3,5
P10_D6_G5_M6_R2_T1,P10,2,2,1,7,1,1,7,7,7,7,7,1,6,2,7,6,7,7,1,4,4
P10_D5_G5_M6_R2_T1,P10,4,5,4,7,1,1,7,7,7,6,6,1,6,5,7,6,7,6,6,4,5
P10_D1_G5_M6_R2_T1,P10,7,6,6,5,2,1,6,7,6,2,4,1,6,6,4,5,6,6,5,6,5
P10_D5_G5_M5_R2_T1,P10,5,6,5,5,1,1,6,7,6,1,5,1,5,6,7,6,7,5,6,5,5
P10_D1_G5_M1_R2_T1,P10,7,5,7,5,1,1,5,7,5,1,5,1,5,7,6,5,7,5,5,6,6
P10_D6_G5_M6_R2_T2,P10,2,4,1,7,1,1,5,6,7,7,6,1,4,4,7,6,6,6,5,6,6
W_P12_D_G7_M6_R1_T1,G7,5,4,6,2,3,3,3,4,4,3,3,2,3,3,4,4,3,5,5,4,4
P12_D0_G7_M6_R1_T1,G7,1,2,1,6,1,1,4,4,6,4,4,4,3,1,4,6,7,6,7,1,3
P12_D6_G7_M6_R1_T1,G7,5,5,4,3,1,3,3,3,6,2,1,3,2,3,5,7,7,6,7,3,1
P12_D5_G7_M6_R1_T1,G7,5,6,3,7,1,2,7,7,7,2,4,1,6,7,7,7,5,7,7,5,3
P12_D1_G7_M6_R1_T1,G7,3,5,1,5,2,4,5,4,5,2,3,4,3,3,4,4,4,5,6,4,5
P12_D5_G7_M5_R1_T1,G7,5,5,4,5,1,3,3,4,5,2,3,4,4,5,5,6,5,6,7,4,3
P12_D1_G7_M1_R1_T2,G7,6,7,3,7,6,6,2,7,7,1,6,2,7,7,7,7,7,6,5,5,3
P12_D6_G7_M6_R1_T2,G7,3,5,3,4,2,6,5,4,4,3,3,4,5,4,5,5,6,7,5,4,5
W_P12_D6_G7_M6_R2_T1,G7,3,6,1,5,1,2,5,5,7,4,5,1,6,4,6,6,5,6,7,3,4
P12_D0_G7_M6_R2_T1,G7,3,4,5,4,4,5,4,5,,4,4,2,4,4,,,5,6,6,4,2
P12_D6_G7_M6_R2_T1,G7,6,5,6,4,2,4,4,5,5,4,4,3,3,3,5,4,5,5,5,6,3
P12_D5_G7_M6_R2_T1,G7,6,6,5,6,2,1,7,6,6,6,4,2,6,5,6,6,6,7,7,3,2
P12_D1_G7_M6_R2_T1,G7,1,6,3,5,2,3,6,6,6,2,4,2,6,6,7,7,7,7,7,3,4
P12_D5_G7_M5_R2_T1,G7,7,7,7,5,1,4,4,6,7,1,6,1,7,7,7,7,6,6,6,6,5
P12_D1_G7_M1_R2_T1,G7,7,7,6,1,1,5,6,6,7,1,1,1,6,7,7,6,6,5,6,6,3
P12_D6_G7_M6_R2_T2,G7,5,7,2,7,2,1,7,5,5,4,5,3,7,7,7,7,6,7,7,6,2
W_P12_D6_G7_M6_R1_T1,P12,4,5,4,6,3,3,3,4,4,3,4,1,2,2,5,6,5,6,6,5,5
P12_D6_G7_M6_R1_T1,P12,4,4,4,6,3,3,2,5,5,4,4,1,4,4,6,7,6,7,6,4,4
P12_D5_G7_M6_R1_T1,P12,6,6,5,6,1,2,1,6,6,4,4,1,4,4,6,7,6,6,6,5,5
P12_D1_G7_M6_R1_T1,P12,7,6,4,6,4,1,7,6,6,4,4,1,5,5,6,7,6,7,7,4,5
P12_D5_G7_M5_R1_T1,P12,7,6,4,6,1,1,6,6,6,4,6,1,5,5,7,7,6,7,6,5,5
P12_D1_G7_M1_R1_T2,P12,7,6,5,5,2,1,6,6,5,4,4,1,6,6,6,7,5,7,5,5,5
P12_D6_G7_M6_R1_T2,P12,2,3,4,3,4,1,7,6,6,5,5,1,3,2,6,7,6,7,5,5,5
W_P12_D6_G7_M6_R2_T1,P12,4,5,4,4,3,2,4,3,5,6,5,1,2,2,6,6,4,6,6,4,4
P12_D6_G7_M6_R2_T1,P12,5,5,3,4,4,3,4,5,5,5,5,1,3,2,5,6,4,5,6,4,4
P12_D5_G7_M6_R2_T1,P12,6,6,3,6,1,1,6,6,6,5,6,1,5,4,6,7,6,6,6,5,4
P12_D1_G7_M6_R2_T1,P12,7,6,3,5,3,2,6,6,5,3,6,1,5,4,7,7,6,6,6,5,5
P12_D5_G7_M5_R2_T1,P12,7,6,5,6,3,3,3,6,6,2,5,1,5,5,6,6,5,6,6,5,6
P12_D1_G7_M1_R2_T1,P12,7,6,5,5,2,2,2,6,5,4,5,1,5,5,6,6,6,6,6,5,6
P12_D6_G7_M6_R2_T2,P12,4,5,4,6,4,2,5,6,4,4,5,1,4,4,6,6,6,6,6,6,6
W_P13_D6_G5_M6_R1_T1,G5,5,5,6,6,3,2,6,6,6,6,6,5,6,6,5,6,6,6,6,5,5
P13_D0_G5_M6_R1_T1,G5,3,3,6,3,4,6,2,3,3,5,3,6,3,3,,,3,4,4,6,5
P13_D6_G5_M6_R1_T1,G5,2,2,5,5,4,5,5,4,5,5,4,2,4,4,5,5,3,5,5,5,6
P13_D5_G5_M6_R1_T1,G5,4,4,5,5,3,3,5,4,4,4,3,4,3,3,4,5,3,5,5,5,5
P13_D1_G5_M6_R1_T1,G5,5,6,5,5,3,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,6
P13_D5_G5_M5_R1_T1,G5,6,6,6,6,2,6,6,6,6,3,5,2,6,6,6,6,6,6,7,6,6
P13_D1_G5_M1_R1_T2,G5,6,6,6,5,3,5,4,5,6,6,4,5,5,5,5,6,6,6,6,6,6
P13_D6_G5_M6_R1_T2,G5,4,4,5,4,5,3,5,5,4,5,3,3,3,3,3,5,5,5,5,5,5
W_P13_D6_G5_M6_R2_T1,G5,5,5,5,6,4,3,5,6,6,3,5,2,4,3,5,5,5,5,5,6,5
P13_D0_G5_M6_R2_T1,G5,5,4,5,4,2,5,3,4,5,6,3,5,4,4,7,4,5,6,6,6,6
P13_D6_G5_M6_R2_T1,G5,2,4,5,7,3,3,6,6,6,5,6,2,5,4,6,6,6,6,4,4,6
P13_D5_G5_M6_R2_T1,G5,2,4,4,6,3,3,6,6,6,5,5,2,4,4,6,6,6,6,6,6,6
P13_D1_G5_M6_R2_T1,G5,6,6,6,6,2,2,6,6,6,6,6,2,6,6,6,7,6,6,6,6,6
P13_D5_G5_M5_R2_T1,G5,6,6,6,6,2,2,6,6,6,4,6,2,6,6,7,7,6,7,7,6,6
P13_D1_G5_M1_R2_T1,G5,7,7,5,7,2,6,6,6,6,3,6,2,7,7,7,7,6,7,7,6,6
P13_D6_G5_M6_R2_T2,G5,4,4,5,6,3,6,6,6,5,6,5,3,5,5,6,6,6,6,6,6,6
W_P13_D6_G5_M6_R1_T1,P13,1,4,4,6,1,2,6,4,7,3,4,1,2,2,4,4,4,5,4,4,4
P13_D6_G5_M6_R1_T1,P13,4,1,3,3,3,6,2,4,4,2,3,5,2,2,4,4,4,4,3,2,2
P13_D5_G5_M6_R1_T1,P13,7,4,4,2,3,3,5,4,7,1,3,2,4,4,3,5,5,4,4,3,3
P13_D1_G5_M6_R1_T1,P13,7,5,7,4,1,1,7,7,7,1,4,1,5,6,6,5,7,7,5,6,6
P13_D5_G5_M5_R1_T1,P13,7,3,3,4,5,5,3,4,6,1,2,4,1,2,4,4,4,6,6,4,3
P13_D1_G5_M1_R1_T2,P13,7,2,3,4,4,6,2,2,4,1,1,4,2,2,3,6,6,4,3,3,3
P13_D6_G5_M6_R1_T2,P13,1,4,4,3,3,4,4,6,6,7,6,2,6,6,7,7,6,,5,4,4
W_P13_D6_G5_M6_R2_T1,P13,2,4,1,6,4,2,6,4,2,6,4,1,3,2,4,6,4,3,4,3,3
P13_D6_G5_M6_R2_T1,P13,1,4,1,6,1,2,6,7,7,7,7,1,4,4,6,6,4,4,4,4,2
P13_D5_G5_M6_R2_T1,P13,6,4,4,5,2,2,6,7,7,2,4,1,3,3,6,6,1,6,5,5,5
P13_D1_G5_M6_R2_T1,P13,7,7,6,4,4,1,7,7,7,7,7,1,5,5,5,7,7,7,7,6,4
P13_D5_G5_M5_R2_T1,P13,4,3,3,4,6,4,4,2,5,1,2,2,2,3,5,5,5,3,3,4,4
P13_D1_G5_M1_R2_T1,P13,5,5,6,3,1,1,7,7,6,6,4,1,6,6,6,7,7,7,7,6,6
P13_D6_G5_M6_R2_T2,P13,2,4,4,6,1,1,6,6,4,7,7,1,4,4,7,6,4,7,4,3,3
