,t0,var
0.0,0.0,51.66559124109161
4.0,4.0,49.56472165583158
8.0,8.0,51.03699207069927
12.0,12.0,52.63950793514742
16.0,16.0,50.17653925987514
20.0,20.0,49.4244123999829
24.0,24.0,49.438508582340695
28.0,28.0,46.18710644437916
32.0,32.0,56.470820135047624
36.0,36.0,56.94365752380606
40.0,40.0,52.62581282510305
44.0,44.0,51.17958063590713
48.0,48.0,52.772994701441135
52.0,52.0,57.544466605385466
56.0,56.0,53.40909414383791
60.0,60.0,53.48547325850235
64.0,64.0,56.98258949386754
68.0,68.0,54.04242192233153
72.0,72.0,53.44912170262935
76.0,76.0,58.17674558533337
80.0,80.0,58.37482644856299
84.0,84.0,57.298892372053636
88.0,88.0,58.30461320438085
92.0,92.0,52.56398540164465
96.0,96.0,53.513843805105374
100.0,100.0,53.75507476414667
104.0,104.0,57.99367474073986
108.0,108.0,56.22641810760182
112.0,112.0,54.6976074034994
116.0,116.0,55.587948407732206
120.0,120.0,53.56229008366261
124.0,124.0,53.9597114468284
128.0,128.0,53.1721795827425
132.0,132.0,51.3099468196879
136.0,136.0,51.55799336776996
140.0,140.0,52.71735316639516
144.0,144.0,54.07633814491947
148.0,148.0,55.597753409320426
152.0,152.0,56.68809468411741
156.0,156.0,58.28838945968644
160.0,160.0,57.73152980929842
164.0,164.0,58.10999961218569
168.0,168.0,58.02293590827635
172.0,172.0,48.69702572438569
176.0,176.0,49.57256066876561
180.0,180.0,49.591046365213316
184.0,184.0,49.34463585989182
188.0,188.0,49.775865500592644
192.0,192.0,50.401050749618705
196.0,196.0,50.718714631417555
