Time,Qom,ComX,ComY
0,393153,0.7590595309480871,0.6558634815717299
17,396411,0.7432439319607675,0.639262201398343
33,324717,0.7110952543548176,0.6237134979872504
50,325237,0.7160916516904088,0.6460763512738689
67,318679,0.7020801038558129,0.6415075520670807
83,265742,0.6917258327626042,0.6367686167062065
100,216529,0.7056823484575585,0.6601765472181215
117,156914,0.723627157365393,0.6812894796347515
133,96193,0.7333159420817178,0.7012343914298838
150,115263,0.774732613313321,0.7397439784248646
167,160228,0.8179407170303149,0.7345943026557525
184,149367,0.8346032270068581,0.7554941730646539
200,168179,0.8354078436021543,0.7547473778489542
217,211903,0.8338866771195625,0.7323921794405931
234,258738,0.8846432733112264,0.7421287170805991
250,345378,0.8988144511231172,0.7367367192746199
267,418436,0.8899724074191355,0.7131704662653839
284,435636,0.8786871462547476,0.7008865815769402
300,446019,0.853096334367669,0.7090005300388715
317,399507,0.8189268729438195,0.6962483622175445
334,371003,0.7975840028584672,0.6922411828355988
350,385637,0.7753136517739914,0.7071475295468325
367,390270,0.7638589923856134,0.6968279059416607
384,353099,0.7459112151738371,0.6995790211180937
400,372598,0.7504191179233383,0.7257111800365521
417,381016,0.7551393114615484,0.7170796074277818
434,313675,0.7264319558460186,0.7238274605999959
450,308219,0.7339053072517697,0.7494459687333909
467,305537,0.7384424356406373,0.744910178787827
484,262411,0.7302162507002379,0.7475029699663956
501,276950,0.7444517117259437,0.7699279452769253
517,236729,0.7393885914906921,0.7614559420421819
534,175060,0.7168635634449143,0.7482868360477465
551,160224,0.7387378730974553,0.7724751956057816
567,142609,0.7489045258071599,0.7471372969292106
584,107066,0.744004759136109,0.7371746295639034
601,117572,0.7758664194422705,0.7732424875033235
617,105270,0.7827402403739588,0.7007147229874502
634,97516,0.7665615290054963,0.6905030494520936
651,120157,0.8096605032027541,0.7210427083208111
667,132579,0.8312348478705777,0.7137944937372075
684,130447,0.8458803311881453,0.702516603167059
701,144377,0.8604157756256191,0.7212702649108724
717,173017,0.8560322287694269,0.6900259908092954
734,189457,0.8593836981038797,0.6897244102492524
751,221717,0.863886003422531,0.6937089347631844
767,272441,0.8744161331413652,0.6916014061896105
784,299975,0.8727559345223217,0.6850210943504551
801,347159,0.8736263333827824,0.6959223562092852
817,376660,0.8808853074280073,0.6832723588028107
834,406547,0.8811563530784877,0.6779103258891573
851,458313,0.8989766614191607,0.6896126058440896
868,676704,0.9177230084781037,0.7048683151471445
884,785786,0.9261601686347595,0.7088957473201403
901,599435,0.8983407265800297,0.7127595878093848
918,273831,0.7805366513317823,0.6789142147285492
934,512878,0.8651782126629854,0.7134082912361078
951,470057,0.8786182037054368,0.7273519842629014
968,455919,0.8774723609987009,0.7298242690607891
984,427583,0.8643369118783176,0.7138810108429459
1001,419017,0.8410798853328153,0.7002496694423871
1018,475577,0.8097681759035161,0.6644000068065467
1034,481678,0.7833644733878237,0.651372078442445
1051,391578,0.7451143314678043,0.6360254723386077
1068,345315,0.7256601716910652,0.6224804861476453
1084,296069,0.7024629939163956,0.5834253101410422
1101,285098,0.7188533946368147,0.5883351968900621
1118,321462,0.7525957934634059,0.5978983086993522
1134,312842,0.7444437391052563,0.5778906350075664
1151,336939,0.7648803393690452,0.5815806916583318
1168,390758,0.7842203113350635,0.6039899280278235
1185,427139,0.7864451777309805,0.6056330565650716
1201,413187,0.7830747551451683,0.604873934311332
1218,460192,0.7932622404978066,0.6049152129256192
1235,555531,0.8163533356299346,0.6184422851490036
1251,579314,0.8166898136560369,0.6146760907121437
1268,614654,0.8277302479321699,0.6207752292798516
1285,679317,0.8269970640854465,0.6210450662890761
1301,560592,0.8089001727191968,0.6067369686701573
1318,489923,0.7877144267653622,0.59586864594973
1335,468406,0.7766542673449959,0.5866423157593107
1351,417159,0.7707502465087253,0.5756291765649708
1368,414740,0.7767447112950288,0.5841643783075161
1385,406365,0.7846419346933583,0.5880021951620762
1401,392065,0.777458457143586,0.5919379156234014
1418,417826,0.7783641383713953,0.6001804711902937
1435,438408,0.7858723732611319,0.6138710740105443
1451,407119,0.7875241521827773,0.619489519535329
1468,404559,0.7963465979828236,0.6292931017798712
1485,403229,0.7881398698072309,0.6254859911879866
1502,353154,0.7852760779173771,0.6223771462413105
1518,324696,0.7838282834815745,0.621796946933382
1535,323578,0.7619248665829157,0.6082918040483917
1552,260912,0.7516476161023642,0.6021691044121021
1568,218895,0.7436129479887618,0.5989322590824453
1585,182651,0.7241025975311752,0.5863005941101598
1602,161839,0.7076775311163147,0.5764570436142183
1618,135211,0.6897064241259959,0.5777416476908381
1635,119621,0.6678532746131531,0.5669630657567555
1652,94963,0.6774967180200009,0.5727299638338677
1668,99470,0.6861091597969238,0.5941625615763547
1685,94323,0.7228734474889474,0.6091000839903548
1702,96579,0.741065032684814,0.6251813330326776
1718,100339,0.7684679042213561,0.6372572534663048
1735,113945,0.7860092542820366,0.6405850857219939
1752,122075,0.8164875162127105,0.6530026243732981
1768,160734,0.8326470415925276,0.6672966181991965
1785,208520,0.8533784279285758,0.6730151428764272
1802,239932,0.8746674643753232,0.6870953714663599
1818,304228,0.8872656243152064,0.6997365219262941
1835,380046,0.8950284691414551,0.704798580912525
1852,430480,0.8998663422710308,0.7086928802989944
1869,517846,0.8966484817638837,0.7198080034805143
1885,555065,0.8961267421007749,0.707735717305047
1902,543180,0.8923320998564016,0.6939033152505204
1919,496513,0.8787556019849098,0.6787629614114019
1935,457541,0.8752919991049982,0.6385832311971719
1952,378812,0.8854355277155951,0.6368848116196405
1969,555744,0.9147752260558215,0.6835687268211955
1985,898316,0.9390571056473076,0.6928324601356974
2002,647864,0.9253550047412215,0.6985376489052799
2019,438366,0.8974338521254691,0.7012691322877332
2035,621433,0.9123821339817272,0.7203887165572094
2052,460350,0.9002526779895735,0.7428290069150285
2069,549795,0.8979530827020372,0.7491918772417867
2085,544436,0.8893389749514483,0.7465848313837794
2102,514532,0.8857041325903928,0.7480858801281047
2119,475891,0.8656381868869836,0.7770713932547734
2135,360505,0.8432041641239377,0.7866401015653453
2152,214906,0.804395601545947,0.7792771240897398
2169,213617,0.7951455735225503,0.7670336699863844
2186,198294,0.8070762300338554,0.7538556059110135
2202,189938,0.8156542474825123,0.7468174556375706
2219,227417,0.8195351903111903,0.7622608345999737
2236,239162,0.8274018652454544,0.7694513048183365
2252,240882,0.8443213399956548,0.76192118194032
2269,298193,0.84641758860872,0.770405200534429
2286,292158,0.8489297814310521,0.7418556942679164
2302,258937,0.8585333900395333,0.7028792074262595
2319,243832,0.8356729437003073,0.7383915443298542
2336,274790,0.845590189326395,0.7379939630667458
2352,269725,0.8571384415454014,0.7315276533369035
2369,346460,0.8551823773547695,0.76019407135878
2386,391197,0.8708805215679908,0.7483408283730115
2402,411699,0.8828409517126995,0.7384308839260757
2419,469780,0.8806615507968268,0.7501773702584187
2436,510773,0.8864559084955546,0.7458211432040805
2452,511959,0.89084008273449,0.7392904618447094
2469,618811,0.8855698392764509,0.759367854613899
2486,709028,0.8925554773577349,0.7494901483804952
2503,740291,0.8965154391144835,0.7493485081967515
2519,861720,0.893902660401097,0.7596582695934573
2536,920981,0.8943866801405238,0.754374400573752
2553,891015,0.8907293163087416,0.7514221265759959
2569,924132,0.8777398734028256,0.7582388542858477
2586,885077,0.8685754895242636,0.7468654589542092
2603,884193,0.869779907474009,0.729723066997565
2619,962486,0.8656063460490165,0.7379881514005283
2636,1000363,0.866151253240907,0.7288245607585186
2653,952048,0.8675362208190486,0.7232845898759541
2669,992140,0.862946065974392,0.7228257128810225
2686,1072293,0.8676429798105553,0.7095789272770286
2703,1104782,0.8746896559683269,0.6945249446564188
2719,1139265,0.8710540412385761,0.7051106975891377
2736,1207497,0.8715470997719524,0.6836915475505055
2753,1189405,0.8737801476893906,0.6691414357972637
2769,1236642,0.8728264471279208,0.6757498120507586
2786,1287168,0.873683359919477,0.6638062044967165
