Time,Value,Entropy,Name,Dance_mode,Music_mode,Palo,Participant
5.607385122070313,1,0.14722234740537576,P4_D6_G2_M6_R1_T1,D6,M6,R1,P4
215.39589697711185,2,0.03780367053235237,P4_D6_G2_M6_R1_T1,D6,M6,R1,P4
352.8518608626709,2,0.03331000507175493,P4_D6_G2_M6_R1_T1,D6,M6,R1,P4
0.48385579782104493,1,1.491256232828923,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
12.33469302861023,3,0.04225002878165255,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
22.719729108718877,2,1.8014370527310313,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
31.788653841690063,4,1.8010780202959344,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
38.44436191416931,5,1.9754885669925741,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
46.04129594087219,6,1.5472265179751024,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
53.74820898664856,4,0.2124591627598286,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
59.30762507247925,5,0.22819429446819012,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
69.2570151373291,6,0.3005109287181887,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
75.10510101907349,5,0.13451831699734823,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
82.30550800190736,6,0.06555540669286117,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
89.48928784931944,4,1.8619771982048312,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
94.04701790463255,3,1.9470396725867527,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
100.63845010681152,4,1.4000322563081684,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
111.13896297901915,5,1.0412447265068872,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
112.97244495422365,6,0.6178991397983268,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
120.55659602098083,4,0.25462619998678326,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
124.32587309346007,5,0.8152232005553421,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
130.30678207820128,6,0.4850384873473156,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
138.1754899256134,5,0.38010881926275425,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
146.39902716975402,4,0.4114547109495397,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
149.2929090247955,6,1.1612023033154764,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
159.4317150743866,5,0.7107707352463377,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
164.15257312207032,6,0.7262351393793629,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
173.1852349961853,7,0.25177832063568817,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
176.9703209771118,5,1.2790872930290509,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
181.2716750419617,4,1.094938570432007,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
184.507620164032,6,1.0965284290449329,P3_D1_G1_M6_R2_T1,D1,M6,R2,P3
42.49807987602234,4,0.015824843437022403,P4_D1_G2_M1_R2_T1,D1,M1,R2,P4
84.0472360114441,4,0.21367854160030192,P4_D1_G2_M1_R2_T1,D1,M1,R2,P4
