t_onset,int_onset
121.46,-29.638
122.23,-32.344
122.54,-33.279
122.68,-21.136
123.23,-22.329
123.69,-27.346
123.77,-21.395
124.53,-24.803
124.66,-20.888
124.82,-25.133
125.12,-19.864
126.06,-27.798
126.17,-29.814
126.67,-31.909
126.75,-29.742
127.17,-29.347
127.34,-31.162
127.45,-27.669
127.56,-28.68
127.63,-24.09
128.69,-36.499
128.94,-37.544
129.07,-25.564
129.47,-28.754
129.55,-27.985
130.5,-36.858
130.58,-21.647
131.12,-28.012
131.62,-30.558
132.58,-35.816
132.68,-34.021
132.99,-35.81
133.18,-35.394
133.3,-36.255
133.41,-32.61
133.62,-27.503
134.11,-21.297
134.63,-22.28
134.74,-18.388
135.28,-21.992
135.55,-20.439
136.13,-19.62
136.27,-21.806
136.46,-19.123
137.15,-23.975
137.65,-24.981
138.17,-22.413
138.64,-23.571
138.68,-21.181
139.17,-26.074
139.38,-19.969
139.54,-17.985
140.11,-25.031
140.6,-26.799
141.05,-34.335
141.11,-30.136
141.42,-24.7
141.66,-26.326
141.94,-26.689
142.11,-25.084
143.06,-39.014
143.33,-26.268
144.04,-32.083
144.39,-38.005
144.51,-31.236
144.99,-31.081
145.21,-18.515
145.34,-18.706
146.35,-27.591
146.92,-19.774
147.38,-21.765
147.47,-18.56
147.95,-26.738
148.23,-25.658
148.36,-27.057
148.44,-22.726
148.91,-19.144
149.47,-25.998
149.98,-27.811
150.48,-31.223
150.99,-29.136
151.26,-30.968
151.32,-28.92
151.41,-29.262
152.36,-35.883
152.45,-31.472
152.69,-34.524
152.83,-25.487
152.92,-21.261
153.24,-27.792
153.37,-24.115
153.45,-21.714
153.94,-26.724
154.38,-25.271
154.49,-24.697
154.95,-30.261
155.48,-27.613
155.97,-34.117
156.17,-32.494
156.36,-31.285
156.44,-31.283
156.92,-31.472
157.11,-31.99
157.35,-25.574
157.88,-26.661
158.37,-33.228
158.85,-21.884
159.4,-24.941
159.66,-26.148
159.87,-23.13
160.09,-19.824
160.2,-20.396
160.35,-20.525
160.82,-29.995
161.36,-28.898
161.84,-26.299
162.28,-27.548
162.77,-31.781
163.11,-34.936
163.26,-25.126
163.86,-30.33
164.27,-25.899
164.74,-29.875
165.02,-28.412
165.11,-23.835
165.22,-19.854
165.72,-21.987
166.21,-28.407
166.62,-32.952
166.69,-24.725
166.74,-23.787
167.17,-28.891
167.62,-33.897
168.11,-24.064
168.61,-19.744
168.71,-17.304
168.84,-13.471
169.05,-3.9679
169.88,-34.355
170.05,-19.578
170.62,-20.242
171.08,-20.533
171.62,-25.035
171.83,-22.854
171.91,-24.893
172.07,-17.375
172.51,-21.078
173.53,-27.316
174.01,-27.372
174.45,-26.962
174.64,-24.877
174.9,-24.525
174.97,-21.56
175.76,-33.719
175.87,-24.571
176.68,-29.148
176.79,-21.461
177.35,-27.282
177.74,-21.999
177.83,-14.472
178.27,-14.817
178.73,-7.4738
179.7,-23.233
180.18,-20.284
180.61,-4.2395
181.13,-18.523
181.57,-21.875
182.0,-20.979
182.25,-23.042
182.41,-21.252
182.47,-16.93
182.94,-10.376
183.29,-18.662
183.36,-6.1366
183.84,-17.119
184.28,-21.511
184.37,-20.563
184.75,-21.619
185.23,-17.051
185.72,-8.4409
186.01,-18.549
186.18,-9.7611
186.65,-12.258
186.91,-16.655
187.05,-13.346
187.19,-16.813
187.35,-16.13
187.5,-16.847
187.64,-13.966
187.78,-12.388
187.92,-12.596
188.08,-14.336
188.21,-12.129
188.35,-9.5365
188.5,-13.672
188.65,-13.654
188.77,-9.1774
188.94,-14.008
189.08,-11.133
189.22,-15.376
189.35,-10.47
189.49,-12.404
189.61,-12.746
190.05,-7.623
190.47,-13.784
190.67,-19.3
190.87,-9.1526
191.1,-14.007
191.28,-7.0674
191.74,-18.256
192.15,-15.86
192.69,-21.889
192.9,-21.35
193.04,-21.679
193.11,-19.664
193.17,-19.421
193.65,-21.416
193.86,-19.11
194.01,-17.906
195.57,-29.753
196.1,-34.742
196.56,-38.561
196.62,-36.074
196.74,-33.007
196.84,-33.547
196.91,-32.576
197.01,-31.575
197.08,-34.307
197.13,-32.754
197.6,-40.437
198.05,-43.383
198.13,-38.602
198.38,-39.71
198.5,-24.016
198.63,-23.505
199.01,-27.078
200.01,-33.909
200.32,-36.352
200.43,-29.379
200.52,-30.484
201.0,-35.964
201.83,-45.446
201.92,-43.08
201.99,-38.563
202.08,-35.016
202.6,-37.984
202.83,-39.083
203.01,-37.301
203.18,-32.57
204.16,-45.577
204.53,-18.263
204.89,-21.876
205.21,-7.5611
205.87,-17.899
206.19,-7.2003
206.91,-19.327
207.16,-4.0657
207.49,-15.011
207.81,-15.372
208.13,-11.077
208.46,-16.396
208.66,-19.508
209.08,-4.9329
209.6,-10.482
209.92,-18.208
210.05,-5.2278
210.62,-19.948
210.76,-16.997
211.03,-24.298
211.55,-18.702
211.7,-18.244
211.82,-15.438
212.02,-10.871
212.35,-20.899
