,E_pot_sum,E_rot_sum,E_trans_sum,E_kin_sum,cum_E_pot,cum_E_kin,cum_E_rot,cum_E_trans
0,0.037680189212668205,0.0018358576958305735,0.0244902263026776,0.026326083998508172,0.037680189212668205,0.026326083998508172,0.0018358576958305735,0.0244902263026776
1,0.034409783613992884,0.0017741914554952134,0.023278028410898467,0.02505221986639368,0.07208997282666109,0.05137830386490185,0.0036100491513257867,0.04776825471357607
2,0.033150150371633214,0.001399538743904399,0.018094294339450756,0.019493833083355155,0.1052401231982943,0.070872136948257,0.005009587895230186,0.06586254905302683
3,0.027714186663492263,0.0007577225976167504,0.009846200506108621,0.010603923103725372,0.13295430986178658,0.08147606005198238,0.005767310492846936,0.07570874955913545
4,0.017201958994025934,0.000252631384772762,0.003317518098423564,0.0035701494831963266,0.1501562688558125,0.0850462095351787,0.006019941877619698,0.07902626765755902
5,0.00867451642021762,8.623032504546685e-05,0.0010174616587829222,0.001103691983828389,0.15883078527603015,0.08614990151900709,0.006106172202665165,0.08004372931634195
6,0.009348150088792546,8.299888239764785e-05,0.0009380443000176699,0.0010210431824153178,0.1681789353648227,0.0871709447014224,0.006189171085062813,0.08098177361635962
7,0.010064654126951084,7.08924704167048e-05,0.0008526897787342525,0.0009235822491509575,0.1782435894917738,0.08809452695057336,0.006260063555479518,0.08183446339509387
8,0.0067457199424701825,3.5720954076262144e-05,0.0004778474203497239,0.000513568374425986,0.18498930943424396,0.08860809532499934,0.00629578450955578,0.0823123108154436
9,0.004765532288930647,3.226997966396102e-05,0.0004215261013667185,0.00045379608103067947,0.1897548417231746,0.08906189140603002,0.006328054489219741,0.08273383691681031
10,0.008109235506249436,7.079471794220658e-05,0.0008227403341287103,0.0008935350520709169,0.19786407722942403,0.08995542645810094,0.006398849207161947,0.08355657725093903
11,0.008546509252362833,8.297103562525054e-05,0.000954710883970321,0.0010376819195955715,0.20641058648178687,0.0909931083776965,0.006481820242787198,0.08451128813490935
12,0.005866265968887025,5.3356604058848116e-05,0.0006466444192147705,0.0007000010232736186,0.2122768524506739,0.09169310940097013,0.006535176846846046,0.08515793255412413
13,0.00450299203570125,2.9886366844845562e-05,0.0004009901290801437,0.00043087649592498924,0.21677984448637516,0.09212398589689512,0.006565063213690892,0.08555892268320427
14,0.005860680830260062,3.9076002051403145e-05,0.0004955905088026972,0.0005346665108541003,0.22264052531663522,0.09265865240774922,0.006604139215742295,0.08605451319200697
15,0.007021482299012847,4.999347517742765e-05,0.0006084843574075738,0.0006584778325850014,0.22966200761564806,0.09331713024033422,0.006654132690919723,0.08666299754941453
16,0.007126449977275267,5.144996963111646e-05,0.000621655973598967,0.0006731059432300835,0.23678845759292333,0.09399023618356431,0.006705582660550839,0.0872846535230135
17,0.007118639211655536,4.9966934623644674e-05,0.0006030192843305782,0.0006529862189542227,0.24390709680457887,0.09464322240251853,0.006755549595174483,0.08788767280734408
18,0.007442946724747986,5.0851223166871435e-05,0.000609139795971396,0.0006599910191382674,0.2513500435293268,0.0953032134216568,0.0068064008183413545,0.08849681260331548
19,0.008172367405547578,5.491821545874928e-05,0.000648157326961792,0.0007030755424205412,0.2595224109348744,0.09600628896407734,0.006861319033800104,0.08914496993027726
20,0.008702093982054213,5.8000250125675055e-05,0.0006759282006530262,0.0007339284507787012,0.2682245049169286,0.09674021741485604,0.006919319283925779,0.08982089813093029
21,0.008210995475862147,5.341920990297407e-05,0.0006244520893916161,0.0006778712992945901,0.27643550039279075,0.09741808871415063,0.006972738493828753,0.09044535022032191
22,0.006772322048149104,4.218938831852448e-05,0.000506090026118721,0.0005482794144372454,0.28320782244093984,0.09796636812858787,0.007014927882147278,0.09095144024644063
23,0.005586196785977995,3.314824030778435e-05,0.0004122256784929323,0.0004453739188007165,0.28879401922691783,0.09841174204738859,0.007048076122455062,0.09136366592493356
24,0.005153567484535165,2.9589621392185405e-05,0.00037516178632221843,0.0004047514077144038,0.293947586711453,0.09881649345510299,0.007077665743847247,0.09173882771125577
25,0.005293570365878427,2.9510757920504817e-05,0.0003719090292083711,0.0004014197871288759,0.2992411570773314,0.09921791324223186,0.007107176501767752,0.09211073674046415
26,0.005511893068375897,3.0004001601373076e-05,0.0003707136754745292,0.00040071767707590227,0.3047530501457073,0.09961863091930777,0.007137180503369125,0.09248145041593868
27,0.0054568243292907066,2.922502815709919e-05,0.00035423841247647614,0.00038346344063357543,0.31020987447499804,0.10000209435994134,0.007166405531526224,0.09283568882841516
28,0.005252180977175369,2.7527280973621515e-05,0.00033070770530981095,0.0003582349862834325,0.31546205545217343,0.10036032934622477,0.007193932812499845,0.09316639653372497
29,0.004937946064522802,2.5829885202808643e-05,0.0003131432622872716,0.0003389731474900802,0.32040000151669623,0.10069930249371485,0.007219762697702654,0.09347953979601224
30,0.004494426411748537,2.4729028872121968e-05,0.0003087427096627934,0.00033347173853491536,0.32489442792844475,0.10103277423224977,0.007244491726574776,0.09378828250567503
31,0.0039838728419206455,2.496722698321526e-05,0.0003217547567486826,0.00034672198373189784,0.3288783007703654,0.10137949621598166,0.007269458953557991,0.09411003726242372
32,0.003851152841216304,2.4917113102080292e-05,0.000327399899342197,0.00035231701244427727,0.3327294536115817,0.10173181322842594,0.007294376066660071,0.09443743716176592
33,0.004727749614684881,2.491801947327405e-05,0.0003238682822693354,0.0003487863017426095,0.33745720322626654,0.10208059953016854,0.007319294086133345,0.09476130544403526
34,0.006416241343010615,3.595986271299282e-05,0.00042592606331096707,0.0004618859260239599,0.34387344456927715,0.1025424854561925,0.007355253948846337,0.09518723150734622
