,E_pot_sum,E_rot_sum,E_trans_sum,E_kin_sum,cum_E_pot,cum_E_kin,cum_E_rot,cum_E_trans
0,0.16085912513082457,0.013831720063202869,0.10390307325346179,0.11773479331666466,0.16085912513082457,0.11773479331666466,0.013831720063202869,0.10390307325346179
1,0.09718788962242353,0.005735730598138013,0.04381128075326244,0.04954701135140045,0.2580470147532481,0.1672818046680651,0.01956745066134088,0.14771435400672422
2,0.032019389706808135,0.0010856510365243204,0.010020076223543664,0.011105727260067984,0.2900664044600562,0.1783875319281331,0.020653101697865203,0.1577344302302679
3,0.019514788317726826,0.0005723916339640932,0.005683833821846338,0.006256225455810431,0.30958119277778307,0.1846437573839435,0.021225493331829298,0.16341826405211424
4,0.02311499121314644,0.0005197691224115885,0.004106656101386306,0.004626425223797895,0.3326961839909295,0.1892701826077414,0.021745262454240886,0.16752492015350054
5,0.01655582623138881,0.00035928818513009017,0.002507451368082081,0.0028667395532121715,0.3492520102223183,0.19213692216095357,0.022104550639370977,0.17003237152158263
6,0.007528759114441294,0.00024103009506645985,0.001729302789102957,0.001970332884169417,0.35678076933675956,0.194107255045123,0.022345580734437438,0.1717616743106856
7,0.007329280275877993,4.996033549103468e-05,0.0003679289729325721,0.0004178893084236068,0.36411004961263754,0.1945251443535466,0.022395541069928474,0.17212960328361818
8,0.010911163241867049,0.00012823180549963187,0.0011409551174382526,0.0012691869229378844,0.37502121285450457,0.1957943312764845,0.022523772875428106,0.17327055840105643
9,0.012650588257622043,0.0004766728795550963,0.004230142757493822,0.0047068156370489184,0.3876718011121266,0.2005011469135334,0.023000445754983202,0.17750070115855024
10,0.01612561653390652,0.0005306083924476381,0.005112332816794907,0.0056429412092425454,0.40379741764603316,0.20614408812277596,0.02353105414743084,0.18261303397534515
11,0.024270930236980036,0.00035154859130695986,0.0035936809552005776,0.003945229546507538,0.4280683478830132,0.2100893176692835,0.0238826027387378,0.18620671493054572
12,0.029225741691267675,0.0003454256481856632,0.003178549108950263,0.003523974757135926,0.45729408957428086,0.2136132924264194,0.024228028386923464,0.189385264039496
13,0.02539136137678643,0.00027478552736350117,0.002327680796957969,0.0026024663243214706,0.4826854509510673,0.2162157587507409,0.024502813914286964,0.19171294483645396
14,0.02076221557141262,0.00019603605204974488,0.0016909910943237818,0.0018870271463735267,0.50344766652248,0.21810278589711443,0.02469884996633671,0.19340393593077773
15,0.025173583900174934,0.00028622053561764394,0.0025830553291761376,0.002869275864793782,0.5286212504226548,0.2209720617619082,0.024985070501954355,0.19598699125995386
16,0.03646512440756935,0.0006778781766080984,0.006111136779786686,0.006789014956394784,0.5650863748302242,0.22776107671830298,0.025662948678562454,0.20209812803974056
17,0.04331678021143881,0.0011549178793837575,0.010302770985993033,0.011457688865376792,0.608403155041663,0.23921876558367977,0.026817866557946213,0.21240089902573359
18,0.03879178479631423,0.000999521723428026,0.00913109199771544,0.010130613721143466,0.6471949398379773,0.24934937930482323,0.02781738828137424,0.22153199102344903
19,0.017121351675057104,0.0005225568659513594,0.005120036453719443,0.005642593319670802,0.6643162915130344,0.254991972624494,0.028339945147325598,0.22665202747716848
20,0.04754097747658574,0.001509513840492456,0.012347003132128932,0.013856516972621389,0.7118572689896201,0.26884848959711544,0.029849458987818055,0.23899903060929742
21,0.08068319086272135,0.004060814679412519,0.029232011413240937,0.033292826092653466,0.7925404598523415,0.3021413156897689,0.033910273667230574,0.26823104202253834
22,0.08202629838509601,0.005038375520621302,0.03393646936595284,0.03897484488657415,0.8745667582374375,0.34111616057634303,0.038948649187851875,0.3021675113884912
23,0.05085932726278776,0.0028404763103590273,0.018082697806781563,0.02092317411714059,0.9254260855002252,0.3620393346934836,0.0417891254982109,0.32025020919527275
24,0.023787805235899014,0.0007355468048983039,0.004419653918830966,0.00515520072372927,0.9492138907361242,0.36719453541721286,0.042524672303109204,0.32466986311410373
25,0.017052792030166523,0.00019089529683437653,0.0014152242722398642,0.0016061195690742405,0.9662666827662907,0.3688006549862871,0.042715567599943584,0.3260850873863436
26,0.012682498416044137,0.00011598401468016796,0.0009353361592102377,0.0010513201738904057,0.9789491811823349,0.36985197516017754,0.04283155161462375,0.3270204235455539
27,0.009349793082233354,0.0001253239127725566,0.001076377581557481,0.001201701494330038,0.9882989742645683,0.37105367665450756,0.042956875527396306,0.32809680112711137
28,0.0072908768579206815,0.00012679207156932203,0.0012348839679848136,0.0013616760395541356,0.995589851122489,0.3724153526940617,0.043083667598965626,0.3293316850950962
29,0.01183462207983435,0.0002636519021697899,0.0018283364974922738,0.0020919883996620633,1.0074244732023234,0.37450734109372374,0.04334731950113541,0.33116002159258845
30,0.030744451505269017,0.000865362795517255,0.005030029068657429,0.005895391864174683,1.0381689247075925,0.38040273295789845,0.04421268229665267,0.33619005066124585
31,0.045932500598318556,0.0018334293444903405,0.010995856011566121,0.01282928535605646,1.0841014253059111,0.39323201831395493,0.046046111641143014,0.34718590667281196
32,0.043766255171552075,0.0021333540175977263,0.01220449123198834,0.014337845249586065,1.1278676804774632,0.407569863563541,0.04817946565874074,0.3593903979048003
33,0.02264281831946153,0.0013252446754409835,0.0069932529359601914,0.008318497611401174,1.1505104987969248,0.4158883611749422,0.049504710334181724,0.3663836508407605
34,0.016842681845936992,0.0004905116940524925,0.003156540952804999,0.0036470526468574916,1.1673531806428619,0.4195354138217997,0.04999522202823422,0.3695401917935655
35,0.01520041927118933,0.00017997728484630765,0.0014846473918172442,0.001664624676663552,1.1825535999140513,0.42120003849846327,0.05017519931308053,0.37102483918538276
