,t0,LZ,dt_LZ,IOI
0.0,0.0,0.023931568569324175,0.0,0.8
4.0,4.0,0.029914460711655218,0.0014957230355827607,0.4
8.0,8.0,0.035897352853986264,0.0014957230355827616,0.3333333333333333
12.0,12.0,0.02094012249815865,-0.003739307588956903,0.4444444444444444
16.0,16.0,0.03290590678282074,0.0029914460711655214,0.4
20.0,20.0,0.029914460711655218,-0.0007478615177913799,0.4444444444444444
24.0,24.0,0.0418802449963173,0.0029914460711655214,0.21052631578947367
28.0,28.0,0.04487169106748283,0.0007478615177913817,0.13793103448275862
32.0,32.0,0.059828921423310436,0.0037393075889569014,0.12903225806451613
36.0,36.0,0.04487169106748283,-0.0037393075889569014,0.13333333333333333
40.0,40.0,0.05085458320981387,0.0014957230355827598,0.2222222222222222
44.0,44.0,0.03290590678282074,-0.004487169106748283,0.36363636363636365
48.0,48.0,0.023931568569324175,-0.0022435845533741406,0.36363636363636365
52.0,52.0,0.035897352853986264,0.0029914460711655223,0.36363636363636365
56.0,56.0,0.026923014640489698,-0.0022435845533741415,0.4
60.0,60.0,0.023931568569324175,-0.0007478615177913808,0.3333333333333333
64.0,64.0,0.038888798925151784,0.0037393075889569022,0.2
68.0,68.0,0.056837475352144916,0.004487169106748283,0.14285714285714285
72.0,72.0,0.053846029280979396,-0.0007478615177913799,0.12903225806451613
76.0,76.0,0.059828921423310436,0.0014957230355827598,0.13333333333333333
80.0,80.0,0.0418802449963173,-0.004487169106748283,0.14814814814814814
84.0,84.0,0.056837475352144916,0.003739307588956903,0.11428571428571428
88.0,88.0,0.06581181356564147,0.0022435845533741398,0.1111111111111111
92.0,92.0,0.07478615177913804,0.0022435845533741415,0.08888888888888889
96.0,96.0,0.07179470570797253,-0.0007478615177913782,0.08
100.0,100.0,0.04786313713864835,-0.005982892142331045,0.16
104.0,104.0,0.0418802449963173,-0.0014957230355827616,0.13793103448275862
108.0,108.0,0.0418802449963173,0.0,0.125
112.0,112.0,0.04786313713864835,0.0014957230355827616,0.125
116.0,116.0,0.056837475352144916,0.0022435845533741415,0.2
