Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra;Dance_Step
4.9;11.6;6.7;Salida;1;12.1;MC;DC;Z2;A1;12.1
11.6;17.5;5.9;Entrada;1;12.2;MC;DC;Z3;A1;12.2
17.6;24.0;6.4;Entrada;1;12.3;MC;DC;Z3;A1;12.3
24.1;30.6;6.5;Escobilla;1;12.4;MC;DC;Z3;A1;12.4
30.7;36.8;6.1;Escobilla;1;12.5;MC;DC;Z3;A1;12.5
36.9;43.3;6.4;Llamada;1;12.6;MC;DC;Z3;A1;12.6
43.4;47.0;3.6;Cierre;0.5;12.7;MC;DC;Z3;A1;12.7
47.1;53.1;6.0;Respiro Marcaje;1;12.8;MC;DC;Z1;A2;12.8
53.2;59.6;6.4;Letra;1;12.9;MC;DC;Z2;A3;12.9
59.7;65.7;6.0;Letra;1;12.10;MC;DC;Z3;A1;12.10
65.8;72.2;6.4;Cierre;1;12.11;MC;DC;Z3;A1;12.11
72.3;78.8;6.5;Paseo;1;12.12;MC;DC;Z1;A3;12.12
78.9;89.7;10.8;Paseo;2;12.13;MC;DC;Z1;A3;12.13
89.8;96.0;6.2;Marcaje;1;12.14;MC;DC;Z2;A3;12.14
96.1;101.8;5.7;Escobilla;1;12.15;MC;DC;Z3;A1;12.15
101.9;106.7;4.8;Escobilla;1;12.16;MC;DC;Z3;A1;12.16
106.8;111.5;4.7;Escobilla;1;12.17;MC;DC;Z3;A1;12.17
111.6;116.0;4.4;Subida;1;12.18;MC;DC;Z3;A1;12.18
116.1;120.3;4.2;Llamada;1;12.19;MC;DC;Z3;A1;12.19
120.3;123.6;3.3;Cierre;0.5;12.20;MC;DC;Z2;A1;12.20

