"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra"
5.5,19.3,13.8,"Salida","2","7.1","MC","DI","Z2","A3"
19.4,34.2,14.8,"Marcaje","2","7.2","MC","DI","Z1","A3"
34.3,41.0,6.7,"Zapateado","1","7.3","MC","DC","Z3","A3"
41.1,47.0,5.9,"Escobilla, Cierre","1","7.3","MC","DI","Z3","A3"
47.1,56.2,9.1,,"1.5","7.4","MC","DC","Z3","A3"
47.1,56.3,9.2,"Zapateado",,,,,,
56.3,59.0,2.7,"Cierre","0.5","7.4","MC","DI","Z3","A3"
59.1,71.4,12.3,"Paseo, Marcaje, Pitos","2","7.5","MC","DC","Z2","A2"
71.5,83.3,11.8,"Llamada, Cierre","2","7.6","MC","DI","Z3","A1"
83.4,99.9,16.5,"Respiro","2.5","7.9","MC","DI","Z1","A1"
99.9,111.4,11.5,"Marcaje","2","7.10","MC","DI","Z2","A1"
111.5,120.8,9.3,"Cierre","2","7.11","MC","DI","Z3","A1"
120.9,126.6,5.7,"Respiro","1","7.12","MC","DC","Z1","A1"

