Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra;Dance_Step
6.2;14.4;8.2;Salida;1;12.33;MI;DI;Z1;A3;12.71
14.4;21.6;7.2;Letra;1;12.34;MI;DI;Z1;A3;12.72
21.6;28.9;7.3;Letra;1;12.35;MI;DI;Z1;A3;12.73
29.0;35.9;6.9;Letra;1;12.36;MI;DI;Z1;A3;12.74
36.0;43.2;7.2;Letra;1;12.37;MI;DI;Z1;A3;12.75
43.3;50.3;7.0;Letra;1;12.38;MI;DI;Z2;A3;12.76
50.3;57.7;7.4;Marcaje;1;12.39;MI;DI;Z2;A3;12.77
57.7;64.9;7.2;Pies;1;12.40;MI;DI;Z3;A2;12.78
65.0;71.8;6.8;Pies;1;12.41;MI;DI;Z3;A2;12.79
71.9;76.4;4.5;Subida;1;12.42;MI;DI;Z3;A1;12.80
76.5;79.9;3.4;Subida;1;12.43;MI;DI;Z3;A1;12.81
80.0;84.1;4.1;Subida;1;12.44;MI;DI;Z3;A1;12.82
84.2;92.1;7.9;Llamada Cierre;2;12.45;MI;DI;Z3;A1;12.83
92.2;95.4;3.2;Respiro;0.25;12.46;MI;DI;Z1;A2;12.84
95.4;102.4;7.0;Letra;1;12.47;MI;DI;Z3;A1;12.85
102.4;108.9;6.5;Maracje Pies;1;12.48;MI;DI;Z3;A2;12.86
109.0;112.1;3.1;Respiro;0.5;12.49;MI;DI;Z2;A1;12.87
112.2;118.6;6.4;Letra;1;12.50;MI;DI;Z1;A3;12.88
118.7;125.2;6.5;Letra;1;12.51;MI;DI;Z2;A3;12.89
125.3;131.6;6.3;Marcaje;1;12.52;MI;DI;Z3;A2;12.90
131.6;137.8;6.2;Marcaje;1;12.53;MI;DI;Z2;A2;12.91
137.9;144.5;6.6;Respiro;1;12.54;MI;DI;Z1;A2;12.92
144.6;151.2;6.6;Comienzo Pies;1;12.55;MI;DI;Z3;A2;12.93
151.3;157.2;5.9;Escobilla;1;12.56;MI;DI;Z3;A1;12.94
157.3;160.2;2.9;Escobilla;0.5;12.57;MI;DI;Z3;A1;12.95
160.2;165.4;5.2;Escobilla;1;12.58;MI;DI;Z3;A1;12.96
165.5;169.7;4.2;Subida;1;12.59;MI;DI;Z3;A1;12.97
169.8;174.0;4.2;Subida;1;12.60;MI;DI;Z3;A1;12.98
174.0;178.1;4.1;Subida;1;12.61;MI;DI;Z3;A1;12.99
178.1;182.4;4.3;Escobilla;1;12.62;MI;DI;Z3;A1;12.100
182.5;187.4;4.9;Esvobilla;1;12.63;MI;DI;Z3;A1;12.101
187.4;191.1;3.7;Escobilla;1;12.64;MI;DI;Z3;A1;12.102
191.2;194.6;3.4;Escobilla;1;12.65;MI;DI;Z3;A1;12.103
194.7;198.6;3.9;Escobilla;1;12.66;MI;DI;Z2;A1;12.104
198.7;202.9;4.2;Cierre;1;12.67;MI;DI;Z1;A1;12.105

