"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra"
3.5,10.1,6.6,"Introduction, Pitos","1","5.1","MC","DI","Z2","A1"
10.2,17.0,6.8,"Pies","1","5.2","MI","DI","Z3","A2"
17.1,23.6,6.5,"Marcaje, Pies","1","5.3","MI","DI","Z2","A1"
23.7,30.0,6.3,"Cierre","1","5.4","MC","DI","Z3","A1"
30.1,37.1,7.0,"Respiro, Pitos","1","5.5","MC","DI","Z2","A1"
37.1,45.4,8.3,"Marcaje","1.25","5.6","MI","DI","Z2","A1"
45.4,50.4,5.0,"Cierre","0.5","5.7","MI","DC","Z3","A1"
50.4,57.3,6.9,"Marcaje","1","5.8","MI","DI","Z2","A1"
57.4,63.8,6.4,"Marcaje","1","5.9","MI","DI","Z2","A1"
63.9,70.6,6.7,"Marcaje, Cierre","1","5.10","MI","DI","Z2","A1"
70.7,83.2,12.5,"Zapateado","2","5.11","MI","DI","Z3","A1"
83.3,89.4,6.1,"Respiro, Pitos","0.75","5.12","MI","DI","Z2","A1"
89.4,96.1,6.7,"Llamada","1","5.13","MC","DC","Z3","A1"
96.2,99.8,3.6,"Cierre","0.5","5.14","MC","DC","Z3","A1"

