"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Step","Category","Bloques","Music_Mode","Baile","Guitarra"
2.9,15.6,12.7,"Salida","9.1","DC","2","MC","Z2","A1"
15.7,26.5,10.8,"Zapateado","9.2","DI","2","MC","Z3","A1"
26.6,36.0,9.4,"Escobilla","9.3","DC","2","MC","Z3","A1"
36.1,45.4,9.3,"Escobilla, Cierre","9.4","DC","2","MC","Z3","A1"
45.5,55.7,10.2,"Marcaje, Pitos","9.5","DI","2","MC","Z2","A2"
55.8,65.6,9.8,"Marcaje","9.6","DI","2","MC","Z2","A2"
65.7,75.6,9.9,"Pies","9.7","DC","2","MI","Z3","A1"
75.7,85.8,10.1,"Paseo, pitos","9.8","DI","2","MI","Z1","A2"
85.9,96.7,10.8,"Marcajes","9.9","DI","2","MI","Z2","A2"
96.7,111.1,14.4,"Respiro, Bajada","9.10","DI","2","MI","Z1","A2"
111.2,121.8,10.6,"Escobilla","9.11","DC","2","MI","Z3","A2"
121.9,132.2,10.3,"Escobilla","9.12","DC","2","MC","Z3","A2"
132.3,141.9,9.6,"Escobilla","9.13","DC","2","MC","Z3","A2"
142.0,150.9,8.9,"Escobilla","9.14","DC","2","MC","Z3","A1"
151.0,159.2,8.2,"Escobilla, subida","9.15","DC","2","MI","Z3","A1"
159.3,167.7,8.4,"Escobilla","9.16","DC","2","MC","Z3","A1"
167.8,175.9,8.1,"Escobilla","9.17","DC","2","MC","Z3","A1"
176.0,181.5,5.5,"Subida","9.18","DC","2","MC","Z3","A1"
181.6,185.3,3.7,"Cierre","9.19","DC","1","MC","Z3","A1"

