"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Step","Category","Bloques","Music_Mode","Baile","Guitarra"
2.8,14.5,11.7,"Salida","9.1","DC","2","MC","Z2","A1"
14.5,25.9,11.4,"Escobilla","9.2","DI","2","MC","Z3","A1"
26.0,36.4,10.4,"Marcaje?","9.3","DI","2","MC","Z2","A1"
36.4,47.3,10.9,"Marcaje, Pitos","9.4","DI","2","MC","Z1","A2"
47.3,58.1,10.8,"Marcaje","9.5","DI","2","MC","Z2","A2"
58.2,69.9,11.7,"Marcaje pitos","9.6","DI","2","MC","Z1","A2"
70.0,80.4,10.4,"Escobilla","9.7","DI","2","MI","Z3","A1"
80.5,90.4,9.9,"Escobilla, cierre","9.8","DI","2","MI","Z3","A1"
90.5,100.6,10.1,"Marcaje","9.9","DI","2","MC","Z2","A3"
100.7,111.4,10.7,"Marcaje","9.10","DC","2","MC","Z2","A3"
111.5,125.8,14.3,"Bajada, repeticion de la anterior","9.11","DI","2","MC","Z1","A3"
125.9,136.5,10.6,"Escobilla","9.12","DC","2","MC","Z3","A2"
136.6,146.4,9.8,"Escobilla ","9.13","DC","2","MC","Z3","A2"
146.5,155.6,9.1,"Escobilla","9.14","DC","2","MC","Z3","A1"
155.7,164.8,9.1,"Escobilla","9.15","DI","2","MC","Z3","A1"
164.9,174.1,9.2,"Escobilla","9.16","DC","2","MC","Z3","A1"
174.1,181.5,7.4,"Escobilla","9.17","DI","2","MC","Z3","A1"
181.6,188.9,7.3,"Esociblla, cierre","9.18","DI","2","MI","Z3","A1"

