"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra","Dance_Step"
3.1,16.5,13.4,"Entrada","1","19.27","MI","DI","Z1","A3","19.48"
16.5,33.6,17.1,"Entrada","2","19.28","MI","DI","Z1","A3","19.49"
33.6,52.9,19.3,"Entrada","2","19.29","MI","DI","Z1","A3","19.50"
52.9,62.1,9.2,"Marcaje","1","19.30","MI","DI","Z2","A3","19.51"
62.1,71.7,9.6,"Escobilla","1","19.31","MI","DI","Z2","A3","19.52"
71.7,81.0,9.3,"Remate Cierre","1","19.32","MI","DI","Z3","A1","19.53"
81.0,90.7,9.7,"Respiro Interludio","1","19.33","MI","DI","Z1","A2","19.54"
90.7,99.8,9.1,"Marcaje","1","19.34","MI","DI","Z2","A3","19.55"
99.8,108.6,8.8,"Pies Marcaje","1","19.35","MI","DI","Z3","A3","19.56"
108.6,117.4,8.8,"Pitos Paseo","1","19.36","MI","DI","Z2","A3","19.57"
117.4,126.1,8.7,"Giros Pies","1","19.37","MI","DI","Z3","A3","19.58"
126.1,142.8,16.7,"Escobilla","2","19.38","MI","DI","Z3","A2","19.59"
142.8,151.5,8.7,"Llamada","1","19.39","MI","DI","Z3","A1","19.60"
151.5,159.7,8.2,"Escobilla","1","19.40","MI","DI","Z3","A1","19.61"
159.7,169.2,9.5,"Final","1","19.41","MI","DI","Z2","A2","19.62"

