"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category"
9.7,21.6,11.9,"Introduction","4","2.1","MC","DI"
21.7,34.1,12.4,"Introduction","4","2.2","MC","DI"
34.2,46.8,12.6,"Letra 1","4","2.3","MC","DI"
46.9,59.7,12.8,"Letra 1","4","2.4","MC","DI"
59.8,71.5,11.7,"Zapateado 1","4","2.5","MC","DC"
71.5,82.9,11.4,"Zapateado 1","4","2.6","MC","DC"
83.0,94.1,11.1,"Zapateado 1","4","2.7","MC","DC"
94.2,108.4,14.2,"Zpateado + Cierre (Impro)","6","2.8","MC","DC"
108.5,121.3,12.8,"Marcajes","4.5","2.9","MC","DI"
121.4,134.5,13.1,"Marcajes 2","4.5","2.10","MC","DI"
134.6,147.6,13.0,"Falseta","4.5","2.11","MC","DC"
147.7,159.6,11.9,"Falseta","4","2.12","MC","DI"
159.6,170.0,10.4,"Subida","4","2.13","MC","DC"
170.1,180.9,10.8,"Pasear","4","2.14","MC","DC"
181.0,192.0,11.0,"Remate","4","2.15","MC","DI"
192.1,198.8,6.7,"Cierre","2","2.16","MC","DC"

